,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Period,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,2395.0,3403.0,5482.0,8139.0,10539.0,11924.0,10941.0,14146.0,21782.0,18268.0,8549.0,9654.0,137.0,1143.0,2946.0,5000.0
Techniczny koszt wytworzenia produkcji sprzedanej,1995.0,2283.0,3536.0,5550.0,9254.0,12339.0,12275.0,16690.0,25028.0,23569.0,13363.0,13493.0,1299.0,2134.0,2029.0,4417.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,400.0,1120.0,1946.0,2589.0,1285.0,-415.0,-1334.0,-2544.0,-3246.0,-5301.0,-4814.0,-3839.0,-1162.0,-991.0,917.0,583.0
Pozostałe przychody operacyjne,0.0,2.0,65.0,129.0,164.0,114.0,100.0,43.0,4527.0,343.0,-97.0,-510.0,41.0,36.0,36.0,34.0
Pozostałe koszty operacyjne,29.0,2.0,79.0,118.0,9895.0,227.0,539.0,6637.0,914.0,4684.0,4802.0,1546.0,76.0,26.0,32.0,17.0
Zysk operacyjny (EBIT),371.0,1120.0,1932.0,2600.0,-8446.0,-528.0,-1773.0,-9138.0,367.0,-9642.0,-9713.0,-5895.0,-1197.0,-981.0,921.0,600.0
Przychody finansowe,7.0,27.0,11.0,41.0,791.0,511.0,156.0,65.0,213.0,168.0,170.0,188.0,178.0,171.0,13.0,21.0
Koszty finansowe,4.0,7.0,18.0,35.0,41.0,221.0,69.0,209.0,79.0,2603.0,281.0,521.0,504.0,104.0,131.0,8.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,374.0,1140.0,1925.0,2606.0,-7696.0,-238.0,-1486.0,-9282.0,501.0,-12077.0,-9824.0,-6228.0,-1523.0,-914.0,803.0,613.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,374.0,1140.0,1925.0,2606.0,-7696.0,-238.0,-1486.0,-9282.0,501.0,-12077.0,-9824.0,-6228.0,-1523.0,-914.0,803.0,613.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,669.0,0.0,-3866.0,0.0,0.0,0.0
Zysk netto,333.0,912.0,1526.0,2095.0,-7728.0,-205.0,-1393.0,-9133.0,444.0,-12327.0,-9851.0,-6228.0,-5389.0,-914.0,803.0,613.0
Zysk netto akcjonariuszy jednostki dominującej,333.0,918.0,1532.0,2084.0,-7736.0,-205.0,-1393.0,-9156.0,411.0,-12311.0,-9744.0,-6125.0,-5389.0,-914.0,803.0,613.0
Aktywa trwałe,1030.0,2555.0,3846.0,6064.0,2713.0,6951.0,12524.0,11408.0,14521.0,8660.0,2668.0,2036.0,15681.0,15602.0,15602.0,15602.0
