,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Period,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,29438.0,95977.0,168424.0,156196.0,168587.0,158125.0,139558.0,145987.0,145024.0,151834.0,168756.0,212793.0,254690.0,273860.0,282116.0,307432.0,338515.0,380540.0
Techniczny koszt wytworzenia produkcji sprzedanej,22802.0,68067.0,109860.0,105556.0,109943.0,103421.0,89044.0,100104.0,92231.0,91654.0,95993.0,118141.0,145790.0,153518.0,156938.0,174897.0,198867.0,225470.0
Koszty sprzedaży,2517.0,4262.0,9842.0,6292.0,3947.0,4057.0,3210.0,2865.0,8024.0,7853.0,7389.0,11773.0,13386.0,12951.0,12557.0,18027.0,17563.0,19623.0
Koszty ogólnego zarządu,2771.0,8730.0,20369.0,18121.0,17970.0,17147.0,16865.0,11060.0,10817.0,12104.0,13909.0,20765.0,19041.0,20439.0,20432.0,20454.0,22029.0,26882.0
Zysk ze sprzedaży,1348.0,14918.0,28353.0,26227.0,36727.0,33500.0,30439.0,31958.0,33952.0,40223.0,51465.0,62114.0,76473.0,86952.0,92189.0,94054.0,100056.0,108565.0
Pozostałe przychody operacyjne,136.0,344.0,968.0,1013.0,1020.0,1784.0,537.0,843.0,690.0,529.0,520.0,534.0,809.0,941.0,1298.0,697.0,1686.0,2149.0
Pozostałe koszty operacyjne,8.0,310.0,629.0,482.0,1969.0,344.0,294.0,979.0,419.0,303.0,425.0,460.0,705.0,217.0,947.0,168.0,974.0,1277.0
Zysk operacyjny (EBIT),1476.0,14952.0,28692.0,26758.0,35778.0,34940.0,30682.0,31822.0,34223.0,40449.0,51560.0,62188.0,76577.0,87676.0,92540.0,94583.0,100768.0,109437.0
Przychody finansowe,1112.0,679.0,1506.0,1640.0,1995.0,2410.0,2646.0,1707.0,1311.0,1158.0,1115.0,1374.0,414.0,896.0,196.0,251.0,681.0,2436.0
Koszty finansowe,118.0,299.0,451.0,353.0,132.0,318.0,268.0,15.0,9.0,10.0,196.0,1568.0,862.0,1849.0,3131.0,1209.0,2033.0,1894.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,2470.0,15332.0,29747.0,28045.0,37641.0,37032.0,33060.0,33514.0,35525.0,41597.0,52479.0,61994.0,76129.0,86723.0,89605.0,93625.0,99416.0,109979.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,2470.0,15332.0,29747.0,28045.0,37641.0,37032.0,33060.0,33514.0,35525.0,41597.0,52479.0,61994.0,76129.0,86723.0,89605.0,93625.0,99416.0,109979.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,3069.0,13949.0,24122.0,22427.0,30092.0,29834.0,26532.0,26828.0,28571.0,33509.0,42446.0,50138.0,62569.0,73439.0,76406.0,80648.0,85286.0,95030.0
Zysk netto akcjonariuszy jednostki dominującej,3069.0,13210.0,23090.0,22427.0,30092.0,29834.0,26532.0,26828.0,28571.0,33509.0,42446.0,50127.0,62569.0,73439.0,76406.0,80648.0,85286.0,95030.0
Aktywa trwałe,5934.0,151368.0,202301.0,200957.0,198144.0,198623.0,196223.0,194515.0,194069.0,194329.0,195877.0,302700.0,300778.0,343548.0,348832.0,365986.0,373941.0,383654.0
Wartości niematerialne i prawne,324.0,131618.0,181286.0,181782.0,180902.0,182556.0,183704.0,182845.0,181598.0,181655.0,181466.0,279689.0,277429.0,276091.0,277095.0,280162.0,285661.0,289909.0
Rzeczowe składniki majątku trwałego,4819.0,17555.0,18426.0,17725.0,15348.0,13826.0,10737.0,9822.0,10315.0,10277.0,11721.0,17851.0,20334.0,63485.0,67952.0,82924.0,84436.0,90906.0
Należności długoterminowe,0.0,356.0,1485.0,777.0,601.0,603.0,604.0,601.0,600.0,599.0,599.0,772.0,1085.0,881.0,178.0,223.0,499.0,409.0
Inwestycje długoterminowe,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,791.0,1693.0,1104.0,673.0,1293.0,1638.0,1178.0,1247.0,1556.0,1798.0,2091.0,4388.0,1930.0,3091.0,3607.0,2677.0,3345.0,2430.0
Aktywa obrotowe,36557.0,63938.0,81640.0,87959.0,99621.0,89685.0,80374.0,96881.0,90263.0,95710.0,105805.0,55450.0,61484.0,79093.0,91596.0,89979.0,103013.0,109565.0
Zapasy,88.0,1011.0,1179.0,806.0,865.0,943.0,1646.0,2646.0,583.0,365.0,194.0,476.0,390.0,726.0,432.0,409.0,430.0,269.0
Należności krótkoterminowe,8429.0,41829.0,45478.0,37116.0,36863.0,31227.0,29663.0,38871.0,31810.0,28825.0,34102.0,45342.0,47245.0,47469.0,41477.0,45424.0,52655.0,55085.0
Inwestycje krótkoterminowe,27448.0,20005.0,34096.0,49485.0,59389.0,57010.0,48538.0,54727.0,57483.0,65919.0,70456.0,8305.0,12800.0,15950.0,46614.0,42832.0,48282.0,53006.0
Środki pieniężne i inne aktywa pieniężne,1115.0,14063.0,33001.0,48429.0,59350.0,57010.0,48499.0,54727.0,57483.0,40658.0,70456.0,8014.0,12800.0,15950.0,6614.0,42832.0,48282.0,52999.0
Pozostałe aktywa obrotowe,592.0,1093.0,887.0,552.0,387.0,505.0,527.0,637.0,387.0,601.0,1053.0,1327.0,1049.0,14948.0,3073.0,1314.0,1646.0,1205.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,2117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,42491.0,215306.0,283941.0,288916.0,297765.0,288308.0,276597.0,291396.0,284332.0,290039.0,301682.0,358150.0,362262.0,422641.0,440428.0,455965.0,476954.0,493219.0
Kapitał własny akcjonariuszy jednostki dominującej,35166.0,180357.0,250980.0,259371.0,264399.0,264157.0,258608.0,259036.0,260653.0,265895.0,275008.0,279657.0,298529.0,316105.0,331952.0,346493.0,361648.0,379260.0
Kapitał (fundusz) podstawowy,50000.0,143069.0,167091.0,167091.0,167091.0,167091.0,167091.0,167091.0,167091.0,167091.0,167091.0,167091.0,167091.0,167091.0,167091.0,167091.0,167091.0,167091.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,0.0,29598.0,62423.0,62423.0,62423.0,62423.0,62423.0,62423.0,62423.0,62543.0,62543.0,62543.0,62543.0,62543.0,62543.0,62543.0,62543.0,62543.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,50.0,1910.0,1995.0,1002.0,396.0,346.0,320.0,394.0,720.0,781.0,888.0,15704.0,13012.0,49362.0,46976.0,56147.0,45225.0,44686.0
Z tytułu dostaw i usług,5037.0,16254.0,11338.0,9090.0,8581.0,5568.0,4688.0,13915.0,4496.0,4623.0,3005.0,4145.0,5029.0,6083.0,6474.0,5724.0,7399.0,5617.0
Kredyty i pożyczki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17578.0,6650.0,0.0,0.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,607.0,762.0,594.0,411.0,433.0,0.0,0.0,0.0,0.0,164.0,555.0,1688.0,8423.0,8415.0,10746.0,8487.0,7246.0
Inne zobowiązania długoterminowe,50.0,813.0,420.0,155.0,184.0,346.0,320.0,394.0,720.0,781.0,888.0,1434.0,1809.0,2499.0,3249.0,2548.0,1960.0,2902.0
Zobowiązania krótkoterminowe,7275.0,33039.0,30966.0,28543.0,32970.0,23805.0,17669.0,31966.0,22959.0,23363.0,25786.0,62789.0,50721.0,57174.0,61500.0,53325.0,70081.0,69273.0
Inne zobowiązania krótkoterminowe,2238.0,16178.0,18866.0,18859.0,23978.0,17804.0,12981.0,18051.0,18463.0,18740.0,22617.0,40511.0,37354.0,42668.0,46611.0,36855.0,54195.0,56410.0
