,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Period,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,1001087.0,1202138.0,1133680.0,1272323.0,1277670.0,1110127.0,1116742.0,1234553.0,1138588.0,1073935.0,1102417.0,1189340.0,1198432.0,1165479.0,1141158.0,1249663.0,836459.0,965874.0,1113119.0,1424311.0
Techniczny koszt wytworzenia produkcji sprzedanej,598342.0,677372.0,668517.0,722579.0,694889.0,664810.0,655824.0,790794.0,792745.0,752494.0,760363.0,795591.0,849236.0,814665.0,777437.0,842438.0,648537.0,691891.0,783672.0,927866.0
Koszty sprzedaży,183930.0,250325.0,298542.0,318835.0,350794.0,273656.0,252427.0,254612.0,221794.0,199639.0,221953.0,260088.0,226123.0,206142.0,206595.0,222474.0,156461.0,169109.0,189417.0,221008.0
Koszty ogólnego zarządu,108437.0,120062.0,120154.0,109721.0,140369.0,102350.0,112320.0,119216.0,115432.0,114408.0,120126.0,120619.0,125186.0,131440.0,141079.0,153911.0,135131.0,155748.0,175407.0,221672.0
Zysk ze sprzedaży,110378.0,154379.0,46467.0,121188.0,91618.0,69311.0,96171.0,69931.0,8617.0,7394.0,-25.0,13042.0,-2113.0,13232.0,16047.0,30840.0,-103670.0,-50874.0,-35377.0,53765.0
Pozostałe przychody operacyjne,18392.0,24236.0,19228.0,17835.0,15899.0,16125.0,25334.0,18902.0,23231.0,24657.0,13239.0,19917.0,29841.0,14334.0,22515.0,9472.0,41258.0,19815.0,24806.0,11165.0
Pozostałe koszty operacyjne,46485.0,27809.0,26055.0,18750.0,62907.0,32571.0,36617.0,36949.0,44933.0,24670.0,31511.0,14227.0,11046.0,100602.0,37687.0,15634.0,49296.0,10792.0,54251.0,20373.0
Zysk operacyjny (EBIT),82285.0,150806.0,39640.0,120273.0,44610.0,52865.0,84888.0,51884.0,-13085.0,7381.0,-18297.0,18732.0,16682.0,-73036.0,875.0,24678.0,-111708.0,-41851.0,-64822.0,44557.0
Przychody finansowe,14583.0,17904.0,14306.0,17077.0,21138.0,12173.0,14114.0,19686.0,17212.0,8910.0,10731.0,4109.0,3653.0,13386.0,29709.0,12867.0,13273.0,4730.0,6528.0,54171.0
Koszty finansowe,18602.0,14838.0,7742.0,8034.0,16230.0,9658.0,10147.0,16566.0,13940.0,11196.0,7472.0,5164.0,18671.0,10839.0,8924.0,28187.0,61696.0,22192.0,53897.0,45911.0
Pozostałe przychody (koszty),-1417.0,238.0,59.0,6.0,-1633.0,-1012.0,-980.0,11.0,-332.0,-223.0,-2887.0,-872.0,-1469.0,-4727.0,-772.0,4716.0,7431.0,9361.0,8536.0,48800.0
Zysk z działalności gospodarczej,76849.0,154110.0,46263.0,129322.0,47885.0,54368.0,87875.0,55015.0,-10145.0,4872.0,-17925.0,16805.0,195.0,-75216.0,20888.0,14074.0,-152700.0,-49952.0,-103655.0,101617.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,76849.0,154110.0,46263.0,129322.0,47885.0,54368.0,87875.0,55015.0,-10145.0,4872.0,-17925.0,16805.0,195.0,-75216.0,20888.0,14074.0,-152700.0,-49952.0,-103655.0,101617.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,68396.0,125613.0,32002.0,100181.0,23302.0,37307.0,71869.0,43789.0,-8105.0,1179.0,-11026.0,15319.0,-13184.0,-79293.0,9379.0,6006.0,-130239.0,-46642.0,-105663.0,85000.0
Zysk netto akcjonariuszy jednostki dominującej,67316.0,126713.0,32623.0,100264.0,23421.0,38330.0,71894.0,42171.0,-9035.0,460.0,-12574.0,12709.0,-16637.0,-83541.0,5088.0,3538.0,-117193.0,-44568.0,-102658.0,65367.0
Aktywa trwałe,1049741.0,1001186.0,975251.0,953065.0,1065819.0,1023508.0,1203414.0,1203299.0,1209283.0,1203987.0,1142802.0,1162356.0,1139452.0,991311.0,981298.0,1664541.0,1683598.0,1587395.0,1496287.0,1680307.0
Wartości niematerialne i prawne,253408.0,284165.0,284165.0,289871.0,396986.0,394166.0,427337.0,419236.0,422061.0,417216.0,399656.0,448064.0,462781.0,437942.0,420680.0,441047.0,422900.0,410192.0,365517.0,697748.0
Rzeczowe składniki majątku trwałego,742632.0,680144.0,644637.0,616036.0,650692.0,613083.0,763047.0,760157.0,765665.0,724636.0,686411.0,669689.0,627510.0,513965.0,519472.0,1048910.0,1060529.0,976838.0,944222.0,903603.0
