,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Period,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,33.76,33.46,6.97,10.33,271.5,26.49,30.65,13.91,16.07,19.48,11.05,36.01,93.03,10.49
Techniczny koszt wytworzenia produkcji sprzedanej,,21.1,14.57,2.13,-70.67,885.04,37.62,58.62,18.68,20.98,25.96,0.76,31.07,107.47,15.82
Koszty sprzedaży,,,,,,180.24,56.92,-8.3,-2.54,24.59,8.45,-7.88,34.52,-6.5,35.86
Koszty ogólnego zarządu,,,,,,115.64,-14.0,13.42,-1.19,24.37,14.38,37.08,34.51,89.21,4.37
Zysk ze sprzedaży,,406.64,166.46,21.63,21.88,99.01,1.34,-10.15,20.74,-36.83,-33.0,278.72,72.73,97.76,-23.02
Pozostałe przychody operacyjne,,-74.19,-21.88,556.0,20.12,69.54,65.27,-88.22,-10.77,51.72,52.27,-48.51,18.84,409.76,285.89
Pozostałe koszty operacyjne,,-12.5,2385.71,-82.76,-20.0,145.83,889.83,-75.68,-66.2,352.08,1.38,86.36,-71.95,3400.0,91.55
Zysk operacyjny (EBIT),,242.11,148.03,32.49,22.13,97.53,-2.01,-10.68,22.01,-38.2,-33.0,278.35,76.31,84.82,-29.59
Przychody finansowe,,162.32,-75.97,-2.87,-38.46,63.46,-41.18,149.0,-32.53,-19.05,-58.09,321.05,87.5,352.22,141.67
Koszty finansowe,,-19.14,4.83,-33.18,-77.93,1043.75,215.03,-74.33,210.47,-55.6,483.33,-6.05,1.88,2.33,275.72
Pozostałe przychody (koszty),,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,366.02,69.47,35.33,23.24,90.44,-11.49,0.44,13.42,-36.1,-69.59,660.2,88.82,96.89,-36.81
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,366.02,69.47,35.33,23.24,90.44,-11.49,0.44,13.42,-36.1,-69.59,660.2,88.82,96.89,-36.81
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,
Zysk netto,,396.95,59.75,31.55,26.1,81.42,-6.74,15.94,20.02,-45.22,-90.04,1789.98,80.94,125.88,-45.82
Zysk netto akcjonariuszy jednostki dominującej,,396.95,59.75,31.55,26.1,81.42,-6.74,15.94,20.02,-45.15,-90.05,1789.98,-20.96,77.48,-73.3
Aktywa trwałe,,-66.12,54.94,141.21,4.15,614.54,31.63,-3.11,0.08,-8.68,-3.87,34.99,32.3,113.79,7.9
Wartości niematerialne i prawne,,-2.57,-46.12,887.9,23.75,949.62,3.56,-1.55,-5.17,2.24,-4.3,6.45,54.59,157.31,0.83
Rzeczowe składniki majątku trwałego,,19.93,119.03,12.22,-5.62,42.57,407.07,-11.26,-9.54,-16.26,-27.01,206.94,-12.83,24.5,54.94
Należności długoterminowe,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,-99.43,-33.33,3157.14,-93.86,-21.43,-100.0,,,-96.29,382.17,-82.96,1247.17,-9.03,-40.11
Pozostałe aktywa trwałe,,,64.52,53.92,19.11,452.41,0.19,64.15,23.01,-37.46,178.96,-16.68,49.28,-64.19,1.35
Aktywa obrotowe,,37.97,115.37,-20.46,57.71,173.83,35.9,27.96,-1.78,22.63,-0.42,11.59,103.57,15.98,-0.02
Zapasy,,323.53,-28.09,-74.14,-15.9,357.59,360.8,-9.09,2.51,25.11,12.14,-44.15,-80.63,-33.62,-19.97
Należności krótkoterminowe,,27.22,143.36,-14.76,44.11,237.19,2.72,50.08,12.22,26.81,-4.4,-2.64,17.97,74.07,-19.22
Inwestycje krótkoterminowe,,-89.72,2458.82,-6.67,45.03,96.26,115.1,0.5,-49.98,-13.51,6.83,268.69,336.05,-19.13,25.45
Środki pieniężne i inne aktywa pieniężne,,-89.53,6947.22,-3.98,17.41,133.5,123.35,0.5,-52.78,-21.98,11.71,284.33,369.53,-19.7,26.3
Pozostałe aktywa obrotowe,,25.0,370.0,217.02,1002.01,-22.35,-65.02,115.7,84.51,50.54,34.09,-100.0,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,
Aktywa razem,,-22.62,99.97,11.46,34.82,319.28,33.5,10.73,-0.88,7.29,-1.86,21.15,71.13,50.4,3.94
Kapitał własny akcjonariuszy jednostki dominującej,,-37.93,129.57,34.71,32.36,248.07,21.38,11.35,8.93,6.51,0.25,9.38,39.84,6.68,-40.69
Kapitał (fundusz) podstawowy,,-0.1,10.74,0.55,0.0,59.14,6.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,-100.0,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,-84.66,260.46,53.3,45.74,240.05,15.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały niekontrolujące,,,,,,,,,,,,,,40.43,8.3
Zobowiązania długoterminowe,,,,-52.44,7.69,44776.19,58.1,-13.2,-22.57,-35.33,-35.63,183.19,-21.58,356.81,58.57
Z tytułu dostaw i usług,,-7.94,155.14,-52.53,72.08,29.84,109.44,24.88,5.37,71.88,-28.19,15.04,29.91,65.7,-4.32
Kredyty i pożyczki,,27.57,-40.28,-99.67,-100.0,,,1.16,96.97,-7.53,159.77,38.33,-99.51,13014.29,271.45
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,-21.0,-30.59,-100.0,,,
Zobowiązania z tytułu leasingu finansowego,,,,,-28.0,2494.44,6.71,-36.32,-10.71,-76.47,-100.0,,75.77,55.53,-17.12
Inne zobowiązania długoterminowe,,,,-52.44,-100.0,,598.65,1.09,-16.36,-33.92,-17.41,-58.85,-62.59,36.79,33.64
Zobowiązania krótkoterminowe,,0.49,63.99,-39.89,65.19,199.95,49.4,45.39,-6.99,42.33,4.96,12.77,1.32,71.91,19.66
