,0,1,2,3,4,5,6,7,8,9,10
Period,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,354858.0,425105.0,518638.0,705385.0,915438.0,1154993.0,1479373.0,1670441.0,2262018.0,2834701.0,3653384.0
Techniczny koszt wytworzenia produkcji sprzedanej,259300.0,313269.0,387741.0,524074.0,673172.0,847970.0,1092473.0,1193562.0,1604404.0,1987689.0,2663505.0
Koszty sprzedaży,57706.0,75962.0,91070.0,125997.0,171268.0,205869.0,274016.0,295562.0,381670.0,512542.0,645158.0
Koszty ogólnego zarządu,7201.0,8471.0,11349.0,9919.0,14188.0,18205.0,25060.0,29313.0,30778.0,50096.0,47185.0
Zysk ze sprzedaży,30651.0,27403.0,28478.0,45395.0,56810.0,82949.0,87824.0,152004.0,245166.0,284374.0,297536.0
Pozostałe przychody operacyjne,302.0,-2655.0,-1857.0,-510.0,-932.0,-1698.0,-3299.0,-1000.0,-1786.0,-1738.0,6194.0
Pozostałe koszty operacyjne,255.0,409.0,427.0,781.0,609.0,279.0,750.0,722.0,4370.0,1267.0,1006.0
Zysk operacyjny (EBIT),30698.0,24339.0,26194.0,44104.0,55269.0,80972.0,83775.0,150282.0,239010.0,281369.0,302724.0
Przychody finansowe,1681.0,177.0,213.0,5111.0,967.0,525.0,256.0,153.0,328.0,257.0,4147.0
Koszty finansowe,4247.0,5401.0,5724.0,6150.0,12120.0,7196.0,9795.0,12092.0,7883.0,25199.0,29616.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,28132.0,19115.0,20683.0,43065.0,44116.0,74301.0,74236.0,138343.0,231455.0,256427.0,277255.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,28132.0,19115.0,20683.0,43065.0,44116.0,74301.0,74236.0,138343.0,231455.0,256427.0,277255.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,22577.0,15110.0,16338.0,34489.0,34884.0,58642.0,58714.0,110982.0,186024.0,207268.0,223586.0
Zysk netto akcjonariuszy jednostki dominującej,22577.0,15110.0,16338.0,34489.0,34870.0,58642.0,58714.0,110982.0,186024.0,207268.0,223586.0
Aktywa trwałe,36976.0,31780.0,33960.0,41648.0,59045.0,67454.0,135893.0,147166.0,194702.0,284690.0,372542.0
Wartości niematerialne i prawne,5892.0,5897.0,5667.0,5105.0,5388.0,5508.0,7897.0,12726.0,20561.0,27043.0,34944.0
Rzeczowe składniki majątku trwałego,29870.0,23605.0,27040.0,34697.0,51633.0,60090.0,125953.0,132257.0,169337.0,251080.0,331960.0
Należności długoterminowe,223.0,1132.0,1192.0,1675.0,1864.0,1702.0,1896.0,2043.0,3638.0,4299.0,4494.0
Inwestycje długoterminowe,7.0,18.0,61.0,171.0,160.0,154.0,147.0,140.0,118.0,110.0,110.0
Pozostałe aktywa trwałe,984.0,1128.0,0.0,0.0,0.0,0.0,0.0,0.0,1048.0,2158.0,1034.0
Aktywa obrotowe,133371.0,169793.0,198405.0,300501.0,446377.0,543545.0,595633.0,642787.0,1008068.0,1285592.0,1421381.0
Zapasy,106436.0,129365.0,160302.0,248931.0,366912.0,434702.0,460584.0,481441.0,738506.0,955730.0,1006367.0
Należności krótkoterminowe,21357.0,25552.0,26975.0,40533.0,62697.0,86894.0,108922.0,139962.0,252393.0,294927.0,376397.0
Inwestycje krótkoterminowe,5578.0,5376.0,11128.0,11022.0,16633.0,21949.0,25977.0,21384.0,16948.0,34935.0,37360.0
Środki pieniężne i inne aktywa pieniężne,5562.0,5369.0,11007.0,10976.0,16609.0,21913.0,25947.0,21377.0,16936.0,34931.0,37360.0
Pozostałe aktywa obrotowe,0.0,0.0,0.0,15.0,135.0,0.0,150.0,0.0,221.0,0.0,1257.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,170347.0,201573.0,232365.0,342149.0,505422.0,610999.0,731526.0,789953.0,1202770.0,1570282.0,1793923.0
Kapitał własny akcjonariuszy jednostki dominującej,47981.0,59140.0,76067.0,160708.0,254620.0,315162.0,372197.0,482927.0,655496.0,842824.0,1046192.0
Kapitał (fundusz) podstawowy,5404.0,8856.0,9400.0,11700.0,12945.0,13012.0,13062.0,13062.0,13062.0,13062.0,13062.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,23977.0,41468.0,61741.0,114519.0,206805.0,243530.0,300461.0,106299.0,106299.0,106299.0,106299.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,32419.0,49874.0,77312.0,79727.0,44411.0,112730.0,156413.0,90926.0,180133.0,269396.0,291572.0
Z tytułu dostaw i usług,31243.0,30256.0,42563.0,59104.0,67141.0,97912.0,65761.0,103904.0,94878.0,130215.0,154107.0
Kredyty i pożyczki,22584.0,56915.0,31357.0,37239.0,130135.0,68634.0,83582.0,76597.0,168928.0,210616.0,196135.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,1426.0,2331.0,2790.0,3505.0,6611.0,7774.0,21818.0,26706.0,32509.0,39021.0,37306.0
Inne zobowiązania długoterminowe,52.0,78.0,172.0,1134.0,1625.0,3169.0,5370.0,7303.0,13627.0,18101.0,35013.0
Zobowiązania krótkoterminowe,89947.0,92559.0,78986.0,101714.0,206391.0,183107.0,202916.0,216100.0,367141.0,458062.0,456159.0
Inne zobowiązania krótkoterminowe,34694.0,3057.0,2276.0,1866.0,2504.0,8787.0,31755.0,8893.0,70826.0,78210.0,68611.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,170347.0,201573.0,232365.0,342149.0,505422.0,610999.0,731526.0,789953.0,1202770.0,1570282.0,1793923.0
Przepływy pieniężne z działalności operacyjnej,-7797.0,-2624.0,6478.0,-44571.0,-79212.0,22440.0,15337.0,127902.0,-96331.0,50064.0,180085.0
Amortyzacja,2543.0,3382.0,3921.0,4901.0,6706.0,8666.0,20084.0,23505.0,26177.0,32849.0,43504.0
Przepływy pieniężne z działalności inwestycyjnej,-3822.0,-6159.0,5315.0,-731.0,-15973.0,-5175.0,-13090.0,-10271.0,-18090.0,-37634.0,-37747.0
CAPEX (niematerialne i rzeczowe),3446.0,6195.0,3714.0,5277.0,12560.0,5094.0,13359.0,9987.0,18452.0,38034.0,37979.0
Przepływy pieniężne z działalności finansowej,3342.0,8560.0,-6152.0,45302.0,100867.0,-12064.0,1853.0,-122372.0,110135.0,5553.0,-139868.0
Emisja akcji,4848.0,3996.0,564.0,50600.0,58377.0,1336.0,980.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,32541.0,0.0,0.0,0.0,0.0,2603.0,0.0,13062.0,19593.0,19593.0
Przepływy pieniężne razem,-8277.0,-223.0,5641.0,0.0,5682.0,5201.0,4100.0,-4741.0,-4286.0,17983.0,2470.0
