,0,1,2,3,4,5,6,7,8,9,10,11
Period,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,7.3,10.93,21.71,80.27,17.01,46.68,4.89,31.82,-10.98,-16.2,120.35
Techniczny koszt wytworzenia produkcji sprzedanej,,19.39,-0.67,27.71,88.03,17.68,46.83,0.34,31.91,-16.21,-17.93,119.95
Koszty sprzedaży,,-12.19,31.52,-33.15,75.84,31.04,10.48,-7.73,9.98,4.32,12.34,93.58
Koszty ogólnego zarządu,,20.62,-10.43,45.5,49.04,53.99,21.5,29.87,18.22,-3.34,-0.18,31.42
Zysk ze sprzedaży,,-30.07,78.95,11.05,66.01,-0.63,67.32,15.65,39.92,2.26,-19.68,163.18
Pozostałe przychody operacyjne,,121.76,35.25,-7.57,-70.2,291.88,1.72,15.7,178.45,-82.28,-41.84,-47.77
Pozostałe koszty operacyjne,,19.22,-21.76,36.88,111.94,-47.07,256.68,-71.85,152.89,-53.98,-15.98,44.14
Zysk operacyjny (EBIT),,0.41,76.4,0.17,3.81,46.84,27.57,40.36,62.16,-22.78,-21.68,157.14
Przychody finansowe,,77.0,-32.85,211.59,-83.26,390.74,-59.72,42.39,-1.76,83.8,130.62,16.77
Koszty finansowe,,-61.56,55.46,-12.87,-54.01,78.32,46.15,27.13,89.57,-65.0,76.13,101.52
Pozostałe przychody (koszty),,,,,,,,,-87.18,-4.11,100.0,
Zysk z działalności gospodarczej,,50.68,64.08,14.79,-3.23,54.61,18.62,41.41,58.2,-17.09,-18.9,145.01
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,
Zysk przed opodatkowaniem,,50.68,64.08,14.79,-3.23,54.61,18.62,41.41,58.2,-17.09,-18.9,145.01
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,-80.4
Zysk netto,,80.13,33.86,12.85,-12.78,53.52,-2.19,74.62,38.2,-16.77,-2.05,122.46
Zysk netto akcjonariuszy jednostki dominującej,,17985.57,91.16,-22.8,45.76,51.32,-6.14,80.94,38.52,-15.7,-1.58,122.46
Aktywa trwałe,,-9.07,21.66,-45.52,32.24,1.49,23.7,21.03,-22.22,26.12,-64.67,107.82
Wartości niematerialne i prawne,,-38.71,69.74,101.55,299.62,112.42,0.77,-27.11,10.73,-10.25,191.62,109.6
Rzeczowe składniki majątku trwałego,,-4.73,-5.49,-2.12,-8.15,20.03,-6.99,140.42,-54.68,-23.86,-10.56,88.05
Należności długoterminowe,,-88.9,250.9,-99.65,-100.0,,,3096.61,-96.64,21048.9,-99.2,29.91
Inwestycje długoterminowe,,23.01,17.14,-45.61,42.41,2.62,25.9,8.58,-18.54,-2.26,-70.76,134.39
Pozostałe aktywa trwałe,,21.75,5.18,-20.92,7.53,-21.7,33.82,12.0,17.15,-7.07,12.38,76.5
Aktywa obrotowe,,-23.22,1.75,47.81,31.84,59.21,11.28,17.17,12.75,-13.21,14.03,81.47
Zapasy,,8.66,0.48,52.93,17.92,60.65,6.78,29.02,4.43,-29.71,-4.78,95.21
Należności krótkoterminowe,,-84.26,-20.23,45.47,243.09,8.72,33.07,-18.75,10.57,134.78,32.01,57.0
Inwestycje krótkoterminowe,,-63.69,13.07,19.29,104.77,78.99,27.28,-21.56,63.37,31.75,-1.54,107.82
Środki pieniężne i inne aktywa pieniężne,,-30.74,6.66,30.44,104.76,78.54,27.51,-21.5,33.93,50.55,0.76,93.23
Pozostałe aktywa obrotowe,,-1.9,179.49,-47.61,-24.73,23.05,8.15,10.41,41.27,-100.0,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,-100.0,,-0.47
Aktywa razem,,-17.6,10.49,2.71,31.94,44.38,13.52,17.93,5.69,-7.36,-1.89,83.39
Kapitał własny akcjonariuszy jednostki dominującej,,651.78,18.87,128.12,29.07,19.31,3.21,11.26,13.26,8.58,15.91,71.87
Kapitał (fundusz) podstawowy,,2504.0,0.77,14093.98,25.0,10.0,0.53,0.0,-0.28,0.0,0.0,127.87
Udziały (akcje) własne,,,,-100.0,,,-173.3,0.0,100.0,,,
Kapitał (fundusz) zapasowy,,,-37.74,29.99,22.03,9.87,0.0,0.0,0.0,0.0,0.0,533.41
Udziały niekontrolujące,,-71.89,16.58,-99.94,-100.0,,11.35,1.53,7.81,-100.0,,
Zobowiązania długoterminowe,,27.14,17.64,-49.99,58.08,64.42,2.43,23.86,43.25,-62.47,22.16,130.32
Z tytułu dostaw i usług,,26.81,-7.85,48.54,23.49,66.98,9.44,34.74,-21.11,9.2,-27.14,71.44
Kredyty i pożyczki,,-68.78,-16.34,-25.12,-49.12,221.38,672.62,-27.51,-42.12,244.93,-36.46,-34.7
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,-21.48,1626.5,45.25,2.11,32.58,185.8
Inne zobowiązania długoterminowe,,45.93,36.39,-5.39,3.2,78.12,48.56,33.29,-3.18,-19.63,4.46,101.36
Zobowiązania krótkoterminowe,,0.36,-8.59,41.89,24.42,64.02,33.72,22.84,-18.9,24.85,-27.36,83.79
Inne zobowiązania krótkoterminowe,,40.31,-7.96,17.61,211.04,-40.04,112.64,28.0,115.47,-32.87,7.15,25.89
Rozliczenia międzyokresowe,,,,,,,,,,,,
Pasywa razem,,-17.6,10.49,2.71,31.94,44.38,13.52,17.93,5.69,-7.36,-1.89,83.39
Przepływy pieniężne z działalności operacyjnej,,-27.3,-34.66,-270.5,50.76,94.7,11792.51,-82.68,-74.8,4694.06,-65.13,1306.51
Amortyzacja,,-3.01,-3.76,17.66,-19.4,62.96,19.38,47.07,1.22,-3.94,11.98,40.42
Przepływy pieniężne z działalności inwestycyjnej,,17.03,-97.45,513.86,-128.2,29.66,-291.09,112.75,740.58,-109.11,18.65,532.43
CAPEX (niematerialne i rzeczowe),,144.15,-47.97,-83.76,1639.94,-56.08,180.12,33.37,-21.24,-73.65,-42.22,32.63
Przepływy pieniężne z działalności finansowej,,-56.45,136.37,-858.15,213.81,-7.86,-73.62,-406.5,63.52,-523.35,52.41,241.34
Emisja akcji,,111.62,-100.0,,203.85,-100.0,,-100.0,,,,
Dywidenda,,,-100.0,,,12.07,53.64,28.62,36.94,-4.35,-49.17,72.35
Przepływy pieniężne razem,,-246.26,114.85,388.52,349.35,53.36,-37.46,-199.63,331.43,-18.14,-100.12,1609451.27
