,0,1,2,3,4,5,6,7,8,9,10
Period,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,0.0,16725.0,17481.0,22696.0,20521.0,20120.0,16654.0,25726.0,39075.0,38549.0,82492.0
Techniczny koszt wytworzenia produkcji sprzedanej,0.0,6157.0,4928.0,11152.0,12334.0,12117.0,8282.0,9936.0,9722.0,9125.0,10531.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,896.0,1263.0,566.0,9474.0,12979.0,41406.0
Koszty ogólnego zarządu,0.0,2312.0,2568.0,3118.0,2840.0,2570.0,2847.0,2601.0,4493.0,6541.0,6580.0
Zysk ze sprzedaży,0.0,8256.0,9985.0,8426.0,5347.0,4537.0,4262.0,12623.0,15386.0,9904.0,23975.0
Pozostałe przychody operacyjne,0.0,5.0,5.0,7.0,183.0,22.0,115.0,17.0,86.0,118.0,130.0
Pozostałe koszty operacyjne,0.0,668.0,534.0,961.0,10331.0,17654.0,18733.0,2637.0,139.0,111.0,121.0
Zysk operacyjny (EBIT),0.0,7593.0,9456.0,7472.0,-4801.0,-13095.0,-14356.0,10003.0,15333.0,9911.0,23984.0
Przychody finansowe,0.0,22.0,46.0,36.0,522.0,48.0,133.0,196.0,175.0,3417.0,4309.0
Koszty finansowe,0.0,502.0,593.0,213.0,29.0,350.0,208.0,5.0,808.0,791.0,856.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,0.0,7113.0,8909.0,7295.0,-4308.0,-13397.0,-14431.0,10194.0,14700.0,12537.0,27437.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,0.0,7113.0,8909.0,7295.0,-4308.0,-13397.0,-14431.0,10194.0,14700.0,12537.0,27437.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,0.0,5689.0,7044.0,5587.0,-3589.0,-10475.0,-13699.0,8243.0,13000.0,12066.0,24919.0
Zysk netto akcjonariuszy jednostki dominującej,0.0,5689.0,7044.0,5587.0,-3589.0,-10475.0,-13699.0,8243.0,13000.0,12066.0,24919.0
Aktywa trwałe,1425.0,1444.0,1579.0,1534.0,3270.0,5880.0,10248.0,7938.0,6029.0,5623.0,9413.0
