,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Period,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,514799.0,526831.0,868613.0,1340883.0,1448335.0,1532216.0,1499912.0,1338098.0,1631974.0,1912779.0,1600555.0,1907834.0,1918049.0,2259938.0,2392177.0,2691112.0
Techniczny koszt wytworzenia produkcji sprzedanej,401644.0,339493.0,508182.0,854562.0,1110282.0,1320431.0,941917.0,729471.0,935256.0,1482659.0,1392693.0,1702340.0,1606790.0,1913157.0,1781637.0,1970901.0
Koszty sprzedaży,28898.0,22694.0,28780.0,58558.0,65992.0,95730.0,98847.0,81024.0,93705.0,100661.0,104254.0,200239.0,105194.0,141390.0,113088.0,120592.0
Koszty ogólnego zarządu,49898.0,33334.0,36700.0,48360.0,81061.0,93955.0,91810.0,86683.0,98859.0,143992.0,184117.0,100573.0,142523.0,144766.0,311616.0,380876.0
Zysk ze sprzedaży,34360.0,131310.0,294951.0,379403.0,191001.0,22100.0,367338.0,440920.0,504155.0,185467.0,-80509.0,-95318.0,63541.0,60625.0,185837.0,218744.0
Pozostałe przychody operacyjne,80060.0,61163.0,68283.0,59070.0,77148.0,189087.0,65073.0,54564.0,77495.0,209713.0,202139.0,193519.0,249435.0,676328.0,367787.0,258136.0
Pozostałe koszty operacyjne,24951.0,25302.0,16669.0,26139.0,24435.0,55481.0,42453.0,35247.0,31154.0,53759.0,65721.0,35192.0,53264.0,46707.0,42101.0,60442.0
Zysk operacyjny (EBIT),89469.0,167171.0,346566.0,412335.0,243714.0,155707.0,389958.0,460238.0,550496.0,341422.0,55909.0,63009.0,259712.0,690246.0,511523.0,416438.0
Przychody finansowe,1694.0,916.0,329.0,10870.0,24419.0,11239.0,3205.0,5229.0,2867.0,7303.0,6841.0,5102.0,1597.0,1693.0,8742.0,8270.0
Koszty finansowe,174047.0,48382.0,48320.0,89158.0,100733.0,115031.0,682181.0,404506.0,182707.0,81537.0,66581.0,96391.0,49688.0,95732.0,38565.0,88964.0
Pozostałe przychody (koszty),37810.0,3024.0,16768.0,63447.0,13626.0,50077.0,2660.0,-1142.0,5685.0,-5702.0,-69006.0,31781.0,-169123.0,-3928.0,-128442.0,-14892.0
Zysk z działalności gospodarczej,-45074.0,122728.0,315343.0,397494.0,181025.0,101992.0,-286358.0,59819.0,376341.0,261486.0,-72838.0,3500.0,42498.0,592279.0,353257.0,320852.0
