,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Period,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,6.34,4.44,-10.17,56.57,180.69,32.98,38.35,0.79,1.27,-10.66,7.39,3.97,13.09,-6.93,51.09,55.07,-45.07
Techniczny koszt wytworzenia produkcji sprzedanej,,6.45,4.44,-5.12,49.52,164.03,47.12,38.13,-2.43,-5.73,-9.82,6.57,12.72,5.09,-5.47,53.55,61.61,-33.24
Koszty sprzedaży,,-8.08,1.36,5.99,26.9,84.62,19.98,146.13,29.79,8.98,5.68,0.63,-2.22,36.99,1.5,15.45,10.11,-16.13
Koszty ogólnego zarządu,,13.85,21.86,2.36,24.18,152.02,25.2,80.79,4.75,-0.46,-0.94,3.86,7.21,9.15,-9.28,3.08,18.17,0.39
Zysk ze sprzedaży,,9.93,-8.51,-101.59,9190.07,485.21,-42.12,-44.99,50.23,158.64,-37.51,30.35,-83.31,463.49,-33.82,162.94,50.25,-225.56
Pozostałe przychody operacyjne,,10.14,-3.2,-38.53,2376.35,-91.31,44.19,1125.95,-90.28,-18.41,-0.6,5.95,-1.19,32.08,150.37,-41.51,16.27,277.54
Pozostałe koszty operacyjne,,-42.56,-39.18,31.24,220.89,90.12,-45.51,34.34,-20.67,9.81,7.28,51.01,-50.29,52.73,-55.27,567.77,152.02,70.94
Zysk operacyjny (EBIT),,81.38,6.37,-116.1,3041.59,37.69,-36.05,89.01,-56.99,174.63,-41.44,22.87,-86.44,656.66,-9.31,57.71,-1.24,-515.9
Przychody finansowe,,54.73,177.35,128.27,-76.77,60.49,123.44,72.58,-37.95,-6.24,-20.24,-6.19,71.48,-46.59,22.85,72.88,117.81,167.19
Koszty finansowe,,55.7,286.52,85.32,-60.82,130.01,-2.71,45.39,3.86,-18.53,-6.8,55.45,57.75,-11.47,4.58,119.19,50.06,12.96
Pozostałe przychody (koszty),,46.75,-17.7,-64.52,396.97,1637.8,199.96,44.59,12.77,-1.46,10.43,5.57,-18.25,-4.58,19.58,4.43,16.34,51.85
Zysk z działalności gospodarczej,,80.53,2.38,-108.11,5949.45,35.14,-31.8,90.59,-58.56,176.43,-41.47,17.37,-92.99,1282.32,-9.37,44.99,-6.16,-620.3
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,80.53,2.38,-108.11,5949.45,35.14,-31.8,90.59,-58.56,176.43,-41.47,17.37,-92.99,1282.32,-9.37,44.99,-6.16,-620.3
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,-35.92,100.0,,,,,,,,
Zysk netto,,128.78,16.97,-105.01,10815.45,24.5,-36.81,126.3,-62.85,161.02,-45.78,30.3,-98.44,5229.06,-12.82,78.3,-7.87,-663.61
Zysk netto akcjonariuszy jednostki dominującej,,128.75,14.16,-105.86,9301.06,18.05,-36.22,130.86,-65.96,163.45,-43.67,33.01,-97.86,3720.64,-16.42,86.71,6.58,-555.1
Aktywa trwałe,,1.25,4.56,-5.53,129.66,45.59,7.39,86.78,2.19,6.55,5.9,5.47,22.51,8.28,26.21,10.32,13.71,1.87
Wartości niematerialne i prawne,,-1.33,-0.81,32.83,723.41,59.67,-0.57,81.68,-0.89,4.27,88.14,-11.81,100.55,-28.71,5.05,-2.98,-3.19,-55.68
Rzeczowe składniki majątku trwałego,,1.45,-1.78,-2.4,125.83,34.79,3.57,103.5,3.03,7.77,-0.65,6.14,13.07,17.34,26.83,11.88,10.88,2.02
Należności długoterminowe,,0.0,29600.0,128.11,158.38,-65.7,307.16,-30.31,-13.97,-38.71,248.3,2102.43,34.49,-15.39,212.26,10.76,16.12,-3.29
Inwestycje długoterminowe,,-0.09,213.72,-63.19,86.56,201.0,175.55,-47.46,-4.42,-8.73,3.11,-4.31,-18.49,12.25,-1.26,9.83,218.02,-14.27
Pozostałe aktywa trwałe,,-3.63,70.37,4.53,-99.67,99800.8,-84.94,469.53,-14.44,-25.78,-32.72,52.84,8.61,28.46,-3.0,11.96,212.29,254.51
Aktywa obrotowe,,4.39,69.29,6.28,64.63,68.11,10.16,84.33,-4.77,12.16,-4.27,7.87,16.52,11.68,-1.63,86.11,2.04,-21.15
Zapasy,,-1.95,15.76,32.23,49.16,142.11,28.54,39.43,15.14,-12.41,-27.32,16.92,49.91,11.03,-8.13,50.79,48.9,-28.31
Należności krótkoterminowe,,0.76,13.27,-7.49,171.91,72.45,-5.66,92.6,-11.08,-7.5,-0.31,3.3,45.7,1.32,0.33,145.27,-49.04,-28.14
Inwestycje krótkoterminowe,,20.73,364.15,1.09,9.08,-12.31,7.13,212.3,-23.51,100.3,15.96,5.1,-26.48,26.61,4.99,58.15,43.32,-9.71
Środki pieniężne i inne aktywa pieniężne,,20.41,-16.69,443.72,13.37,-12.4,-0.55,192.9,-21.66,34.83,-14.8,69.22,-22.04,-9.03,19.9,155.83,-41.73,-26.46
Pozostałe aktywa obrotowe,,170.93,-100.0,,,190.42,19.11,5.64,14.76,32.88,-74.75,34.48,33.96,6.02,12.94,2.94,21.06,-7.35
Aktywa trwałe przeznaczone do sprzedaży,,-53.33,0.0,8657.14,-79.61,0.0,177.6,128.24,-86.49,2818.69,-77.87,1427.5,-14.26,128.38,-99.54,-100.0,,
Aktywa razem,,2.01,20.56,-1.43,105.32,52.35,8.31,85.95,-0.13,8.33,2.55,6.21,20.64,9.31,17.63,29.86,9.39,-6.07
Kapitał własny akcjonariuszy jednostki dominującej,,8.74,33.45,-3.7,35.19,83.1,11.86,80.77,3.55,10.56,2.62,4.93,-2.23,4.97,4.3,8.21,12.5,-33.39
Kapitał (fundusz) podstawowy,,0.0,62.98,0.0,0.0,63.91,0.0,54.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,0.0,0.0,224.15,0.0,255.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały niekontrolujące,,30.64,149.35,-37.59,20608.55,-10.21,2.95,71.27,2.81,5.46,-22.57,-1.3,6.39,5.18,44.44,4.26,3.17,-49.42
Zobowiązania długoterminowe,,-16.79,-6.26,-10.96,83.7,74.12,12.47,96.54,-15.35,49.28,16.09,12.75,52.22,20.57,33.02,4.33,22.57,-58.91
Z tytułu dostaw i usług,,21.47,96.23,-11.11,312.38,27.56,-7.54,88.37,8.53,-5.49,18.98,10.37,46.86,-3.15,22.89,88.42,5.39,-12.26
Kredyty i pożyczki,,192.29,262.75,420.45,155.62,-40.09,18.53,202.04,-15.71,-76.66,-56.23,34.93,416.49,-43.22,-6.05,323.11,-15.73,895.7
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,95.56,5861.82,-95.88,375.14,1199.32,-3.01,21.88,0.52,-27.36,17.04,-53.35,529.33,-69.96,1156.45,144.17,-25.39,66.38
Inne zobowiązania długoterminowe,,-23.64,-16.78,-3.15,93.56,19.15,5.69,83.75,-7.51,3.27,-5.04,6.85,40.64,31.74,6.66,-14.17,2.98,55.98
Zobowiązania krótkoterminowe,,2.15,-1.23,20.53,246.55,24.2,-0.6,98.52,-0.61,-18.04,-0.3,5.82,67.28,6.74,20.52,107.92,-1.67,72.15
Inne zobowiązania krótkoterminowe,,-9.19,-89.88,-1.88,279.23,219.79,12.55,51.81,-11.17,32.73,-61.5,-31.85,33.63,513.6,-74.84,61.06,45.62,-26.99
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,
Pasywa razem,,2.01,20.56,-1.43,105.32,52.35,8.31,85.95,-0.13,8.33,2.55,6.21,20.64,9.31,17.63,29.86,9.39,-6.07
Przepływy pieniężne z działalności operacyjnej,,21.44,-39.12,-169.62,366.03,-245.12,425.37,82.15,-17.24,98.86,-31.56,-0.14,-2.84,87.84,33.03,113.84,-3.05,16.95
Amortyzacja,,0.41,-5.49,10.92,14.21,104.56,26.86,129.63,-5.45,-6.8,7.2,13.46,15.9,18.7,-5.61,-0.54,-0.74,6.9
Przepływy pieniężne z działalności inwestycyjnej,,-62.1,-293.69,41.56,71.26,-428.97,-76.1,-15.5,5.88,-131.98,13.32,45.58,-148.37,32.64,-138.64,14.41,-15.89,11.19
CAPEX (niematerialne i rzeczowe),,53.37,45.76,-48.01,25.28,262.22,15.48,129.51,-25.82,56.97,16.9,-13.87,2.63,-4.33,186.07,-17.45,14.18,-11.82
Przepływy pieniężne z działalności finansowej,,113.1,7901.45,-92.96,-175.22,2919.43,-90.05,268.61,-293.59,120.89,8.58,-26.76,695.47,-312.24,127.7,-852.62,-97.76,-16.53
Emisja akcji,,,,-100.0,,,-100.0,,,,,,,,,,,
Dywidenda,,-61.06,-93.21,4145.9,-100.0,,,,-75.55,-38.84,277.87,3.93,43.89,-98.13,250.54,-40.18,191.67,-19.98
Przepływy pieniężne razem,,279.06,-198.43,-2588.81,114.24,-224.97,85.28,7468.08,-133.16,224.98,-157.83,506.67,-153.42,70.26,276.03,1023.49,-168.78,64.26
