,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Period,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,1217484.0,1294672.0,1352156.0,1214638.0,1901784.0,5338029.0,7098735.0,9821023.0,9898476.0,10024405.0,8955690.0,9617495.0,9998967.0,11307915.0,10524527.0,15901259.0,24657853.0,13545094.0
Techniczny koszt wytworzenia produkcji sprzedanej,996849.0,1061177.0,1108307.0,1051564.0,1572293.0,4151389.0,6107680.0,8436709.0,8231565.0,7760211.0,6997921.0,7457734.0,8406424.0,8833939.0,8351020.0,12822820.0,20722832.0,13833787.0
Koszty sprzedaży,65529.0,60233.0,61054.0,64713.0,82123.0,151617.0,181916.0,447750.0,581145.0,633314.0,669315.0,673555.0,658602.0,902195.0,915699.0,1057156.0,1164041.0,976300.0
Koszty ogólnego zarządu,70217.0,79942.0,97418.0,99720.0,123834.0,312087.0,390733.0,706391.0,739977.0,736546.0,729629.0,757767.0,812368.0,886734.0,804475.0,829280.0,979960.0,983820.0
Zysk ze sprzedaży,84889.0,93320.0,85377.0,-1359.0,123534.0,722936.0,418406.0,230173.0,345789.0,894334.0,558825.0,728439.0,121573.0,685047.0,453333.0,1192003.0,1791020.0,-2248813.0
Pozostałe przychody operacyjne,24095.0,26539.0,25691.0,15791.0,391040.0,34000.0,49024.0,601010.0,58421.0,47664.0,47379.0,50200.0,49604.0,65518.0,164040.0,95940.0,111552.0,421151.0
Pozostałe koszty operacyjne,62785.0,36062.0,21933.0,28785.0,92368.0,175609.0,95698.0,128558.0,101980.0,111987.0,120142.0,181425.0,90186.0,137741.0,61614.0,411438.0,1036923.0,1772560.0
Zysk operacyjny (EBIT),46199.0,83797.0,89135.0,-14353.0,422206.0,581327.0,371732.0,702625.0,302230.0,830011.0,486062.0,597214.0,80991.0,612824.0,555759.0,876505.0,865649.0,-3600222.0
Przychody finansowe,5237.0,8103.0,22474.0,51301.0,11919.0,19129.0,42741.0,73761.0,45767.0,42910.0,34227.0,32107.0,55057.0,29407.0,36126.0,62453.0,136027.0,363453.0
Koszty finansowe,3955.0,6158.0,23802.0,44110.0,17282.0,39750.0,38672.0,56225.0,58398.0,47576.0,44343.0,68931.0,108740.0,96265.0,100675.0,220674.0,331140.0,374055.0
Pozostałe przychody (koszty),77.0,113.0,93.0,33.0,164.0,2850.0,8549.0,12361.0,13940.0,13737.0,15170.0,16015.0,13092.0,12493.0,14939.0,15601.0,18150.0,27560.0
