,0,1,2,3,4,5,6,7,8
Period,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,2892.0,5031.0,7485.0,11827.0,15652.0,13372.0,15794.0,22170.0,27721.0
Techniczny koszt wytworzenia produkcji sprzedanej,754.0,1469.0,4096.0,6037.0,7057.0,6658.0,6908.0,8640.0,12441.0
Koszty sprzedaży,804.0,1806.0,2257.0,3658.0,5459.0,3742.0,4288.0,5431.0,5832.0
Koszty ogólnego zarządu,1662.0,2053.0,1627.0,3345.0,3640.0,3152.0,3346.0,4585.0,4843.0
Zysk ze sprzedaży,-328.0,-297.0,-495.0,-1213.0,-504.0,-180.0,1252.0,3514.0,4605.0
Pozostałe przychody operacyjne,3.0,4.0,3.0,-547.0,14.0,-675.0,12.0,42.0,-80.0
Pozostałe koszty operacyjne,26.0,14.0,65.0,117.0,390.0,171.0,504.0,770.0,64.0
Zysk operacyjny (EBIT),-351.0,-307.0,-557.0,-1877.0,-880.0,-1026.0,760.0,2786.0,4461.0
Przychody finansowe,0.0,1.0,0.0,1.0,0.0,0.0,55.0,478.0,737.0
Koszty finansowe,24.0,63.0,143.0,138.0,225.0,470.0,330.0,1053.0,1489.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,-375.0,-369.0,-700.0,-2014.0,-1105.0,-1496.0,485.0,2211.0,3709.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-375.0,-369.0,-700.0,-2014.0,-1105.0,-1496.0,485.0,2211.0,3709.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,-315.0,-403.0,-700.0,-1755.0,-997.0,-1349.0,264.0,1547.0,3513.0
Zysk netto akcjonariuszy jednostki dominującej,-315.0,-403.0,-700.0,-1755.0,-997.0,-1349.0,264.0,1547.0,3513.0
Aktywa trwałe,591.0,806.0,1015.0,4223.0,9500.0,8363.0,8435.0,9146.0,15736.0
Wartości niematerialne i prawne,505.0,740.0,876.0,3655.0,3544.0,4449.0,5463.0,7342.0,8664.0
Rzeczowe składniki majątku trwałego,9.0,15.0,89.0,137.0,5176.0,2827.0,2006.0,1233.0,5633.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,82.0,67.0,67.0,212.0
Inwestycje długoterminowe,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,77.0,49.0,50.0,431.0,780.0,1005.0,899.0,504.0,1227.0
Aktywa obrotowe,1890.0,1067.0,3663.0,1871.0,1726.0,1824.0,2958.0,5069.0,8776.0
Zapasy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Należności krótkoterminowe,481.0,649.0,732.0,1118.0,1297.0,734.0,1041.0,2145.0,1427.0
Inwestycje krótkoterminowe,1361.0,196.0,2573.0,636.0,358.0,972.0,1731.0,2406.0,6699.0
Środki pieniężne i inne aktywa pieniężne,1361.0,196.0,2573.0,636.0,358.0,972.0,1731.0,2406.0,6699.0
Pozostałe aktywa obrotowe,48.0,222.0,358.0,117.0,71.0,118.0,186.0,518.0,650.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,2481.0,1873.0,4678.0,6094.0,11226.0,10187.0,11393.0,14215.0,24512.0
Kapitał własny akcjonariuszy jednostki dominującej,1749.0,1337.0,3734.0,2340.0,1699.0,3814.0,4485.0,6607.0,10675.0
Kapitał (fundusz) podstawowy,164.0,173.0,189.0,201.0,202.0,216.0,220.0,221.0,223.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,613.0,1988.0,1988.0,5185.0,5185.0,7831.0,7811.0,7831.0,7831.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,0.0,0.0,3.0,523.0,3557.0,2023.0,2484.0,2911.0,7000.0
Z tytułu dostaw i usług,109.0,113.0,390.0,620.0,1462.0,820.0,999.0,1299.0,1388.0
Kredyty i pożyczki,101.0,120.0,4.0,11.0,1397.0,1053.0,999.0,293.0,308.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,2.0,1192.0,1704.0,1126.0,988.0,820.0,1313.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,8.0,206.0,308.0,1429.0,2213.0,2979.0
Zobowiązania krótkoterminowe,584.0,303.0,733.0,3231.0,5970.0,4350.0,4424.0,4697.0,6837.0
Inne zobowiązania krótkoterminowe,374.0,70.0,337.0,1408.0,1407.0,1351.0,1438.0,2285.0,3828.0
Rozliczenia międzyokresowe,148.0,233.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,2481.0,1873.0,4678.0,6094.0,11226.0,10187.0,11393.0,14215.0,24512.0
Przepływy pieniężne z działalności operacyjnej,-284.0,-570.0,-442.0,994.0,2524.0,2060.0,3403.0,5192.0,7241.0
Amortyzacja,85.0,119.0,300.0,1946.0,2432.0,2501.0,2193.0,2497.0,3272.0
Przepływy pieniężne z działalności inwestycyjnej,-231.0,-321.0,-316.0,-1264.0,-2213.0,-1749.0,-1255.0,-2786.0,-2058.0
CAPEX (niematerialne i rzeczowe),231.0,319.0,316.0,1264.0,2214.0,1756.0,2134.0,3368.0,3704.0
Przepływy pieniężne z działalności finansowej,1763.0,-275.0,3225.0,-1666.0,-589.0,304.0,-1390.0,-1731.0,-890.0
Emisja akcji,1383.0,9.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,1248.0,-1166.0,2467.0,-1936.0,-278.0,615.0,758.0,675.0,4293.0
