,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Period,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,1181.0,2777.0,3946.0,3853.0,11317.0,990.0,67131.0,69639.0,77758.0,69618.0,47287.0,22136.0,89513.0,27008.0,10319.0,20770.0,84501.0,20901.0,16273.0,24444.0
Techniczny koszt wytworzenia produkcji sprzedanej,5131.0,3776.0,2084.0,5272.0,10459.0,7677.0,16394.0,42434.0,67327.0,64701.0,36144.0,7066.0,70231.0,15683.0,7869.0,16637.0,68706.0,11866.0,9052.0,9180.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1934.0,2337.0,2048.0,1677.0,1541.0,1012.0,211.0,102.0,102.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10555.0,9703.0,10885.0,11177.0,11374.0,11837.0,10761.0,11238.0,11924.0
Zysk ze sprzedaży,-3950.0,-999.0,1862.0,-1419.0,858.0,-6687.0,50737.0,27205.0,10431.0,4917.0,11143.0,2581.0,7242.0,-1608.0,-10404.0,-8782.0,2946.0,-1937.0,-4119.0,3238.0
Pozostałe przychody operacyjne,-1665.0,1108.0,1230.0,532.0,874.0,1303.0,3219.0,320.0,233.0,173.0,73.0,151.0,124.0,870.0,10266.0,6502.0,-249.0,472.0,2757.0,65448.0
Pozostałe koszty operacyjne,0.0,0.0,57.0,674.0,635.0,2486.0,25605.0,3151.0,590.0,3832.0,8766.0,2333.0,5017.0,11284.0,4919.0,51779.0,823.0,127.0,653.0,15737.0
Zysk operacyjny (EBIT),-5615.0,109.0,3035.0,-1561.0,1097.0,-7870.0,28351.0,24374.0,10074.0,1258.0,2450.0,399.0,2349.0,-12022.0,-5057.0,-54059.0,1874.0,-1592.0,-2015.0,52949.0
Przychody finansowe,0.0,0.0,1128.0,1283.0,1114.0,120.0,1006.0,992.0,1338.0,477.0,215.0,1967.0,279.0,717.0,843.0,12421.0,8286.0,3356.0,3859.0,9432.0
Koszty finansowe,0.0,0.0,0.0,141.0,281.0,485.0,5895.0,3451.0,5274.0,5296.0,16652.0,5336.0,5791.0,7541.0,10394.0,14175.0,6183.0,7578.0,9388.0,10693.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3044.0,-500.0,-26.0,-209.0,-111.0,5842.0
