,0,1,2,3,4,5,6,7,8
Period,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,0.0,14059.0,20464.0,37525.0,49734.0,140236.0,238995.0,294040.0,245536.0
Techniczny koszt wytworzenia produkcji sprzedanej,0.0,5168.0,7275.0,19753.0,45108.0,115307.0,208959.0,267678.0,218639.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,1372.0,2116.0,7316.0,9576.0,9293.0,11147.0,16329.0,16872.0
Zysk ze sprzedaży,0.0,7519.0,11073.0,10456.0,-4950.0,15636.0,18889.0,10033.0,10025.0
Pozostałe przychody operacyjne,0.0,6.0,2.0,504.0,154.0,349.0,3662.0,2647.0,305.0
Pozostałe koszty operacyjne,0.0,55.0,551.0,428.0,6176.0,6320.0,196.0,1702.0,6404.0
Zysk operacyjny (EBIT),0.0,7470.0,10524.0,10532.0,-10972.0,9665.0,22355.0,10978.0,3926.0
Przychody finansowe,0.0,0.0,0.0,5.0,92.0,8624.0,185.0,272.0,10563.0
Koszty finansowe,0.0,0.0,0.0,78.0,236.0,62.0,635.0,2187.0,180.0
Pozostałe przychody (koszty),0.0,0.0,0.0,-46.0,-66.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,0.0,7470.0,10524.0,10413.0,-11182.0,18227.0,21905.0,9063.0,14309.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,0.0,7470.0,10524.0,10413.0,-11182.0,18227.0,21905.0,9063.0,14309.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,0.0,5945.0,8481.0,8991.0,-9878.0,14585.0,17764.0,9237.0,9535.0
Zysk netto akcjonariuszy jednostki dominującej,0.0,5945.0,8481.0,8991.0,-9882.0,12528.0,13314.0,13237.0,15811.0
Aktywa trwałe,4177.0,5659.0,9944.0,40053.0,47982.0,47652.0,47777.0,50822.0,70312.0
Wartości niematerialne i prawne,3872.0,5321.0,8322.0,36321.0,44025.0,36365.0,35164.0,40497.0,52430.0
Rzeczowe składniki majątku trwałego,271.0,310.0,1568.0,1520.0,1581.0,1506.0,1338.0,2213.0,1896.0
Należności długoterminowe,0.0,0.0,0.0,0.0,512.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,0.0,0.0,0.0,211.0,393.0,8609.0,9786.0,5752.0,13308.0
Pozostałe aktywa trwałe,34.0,28.0,54.0,2001.0,1471.0,1172.0,1489.0,2360.0,2678.0
Aktywa obrotowe,4928.0,6117.0,10947.0,9699.0,18713.0,42690.0,71853.0,89222.0,71513.0
Zapasy,22.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Należności krótkoterminowe,2864.0,2970.0,9646.0,6631.0,10972.0,20816.0,38558.0,37911.0,37323.0
Inwestycje krótkoterminowe,2042.0,3131.0,1301.0,3068.0,7741.0,21874.0,33295.0,51311.0,34190.0
Środki pieniężne i inne aktywa pieniężne,2042.0,3131.0,1301.0,2594.0,3530.0,20748.0,33295.0,44997.0,31683.0
Pozostałe aktywa obrotowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,9105.0,11776.0,20891.0,49752.0,66695.0,90342.0,119630.0,140044.0,141825.0
Kapitał własny akcjonariuszy jednostki dominującej,7274.0,10009.0,15408.0,34781.0,51038.0,64764.0,75865.0,77732.0,75033.0
Kapitał (fundusz) podstawowy,4000.0,4000.0,4000.0,6000.0,6710.0,6710.0,6710.0,6750.0,6770.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,0.0,0.0,0.0,9205.0,32063.0,32063.0,32063.0,32063.0,32063.0
Udziały niekontrolujące,0.0,0.0,0.0,-21.0,-17.0,2058.0,3206.0,-4127.0,-1460.0
Zobowiązania długoterminowe,714.0,1071.0,1629.0,3338.0,2465.0,3684.0,2979.0,2506.0,6925.0
Z tytułu dostaw i usług,121.0,208.0,699.0,5119.0,9442.0,15650.0,34376.0,40639.0,60041.0
Kredyty i pożyczki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,1549.0,38.0,103.0,576.0,21657.0,978.0
Inne zobowiązania długoterminowe,714.0,1071.0,1629.0,3338.0,2465.0,3508.0,2933.0,2319.0,6775.0
Zobowiązania krótkoterminowe,1117.0,696.0,3854.0,11654.0,13209.0,19836.0,37580.0,63933.0,61327.0
Inne zobowiązania krótkoterminowe,996.0,488.0,3155.0,4986.0,3729.0,4083.0,2628.0,1637.0,308.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,9105.0,11776.0,20891.0,49752.0,66695.0,90342.0,119630.0,140044.0,141825.0
Przepływy pieniężne z działalności operacyjnej,0.0,9621.0,8332.0,9820.0,2967.0,23658.0,30153.0,44282.0,21098.0
Amortyzacja,0.0,3838.0,4903.0,4332.0,6626.0,12619.0,12661.0,12503.0,11873.0
Przepływy pieniężne z działalności inwestycyjnej,0.0,-5322.0,-9162.0,-7172.0,-23574.0,-6659.0,-9876.0,-18219.0,-24263.0
CAPEX (niematerialne i rzeczowe),0.0,5323.0,9162.0,16679.0,19679.0,9976.0,9871.0,19823.0,27551.0
