,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Period,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Przychody ze sprzedaży,,30.73,-26.75,69.18,11.69,-56.79,36.65,-14.3,-3.86,38.06,-13.07,12.07,17.53,27.72,-32.35,-10.46,4.64,28.58,13.38
Techniczny koszt wytworzenia produkcji sprzedanej,,33.08,-30.82,77.9,13.13,-59.4,45.14,-20.09,-4.77,44.18,-12.33,12.59,18.29,27.16,-35.29,-10.58,10.13,28.85,10.83
Koszty sprzedaży,,49.63,1.28,14.35,3.52,-6.25,-8.73,-14.35,-11.18,8.14,-8.83,0.48,54.55,2.0,0.29,5.03,-8.61,20.02,36.21
Koszty ogólnego zarządu,,38.74,3.08,11.99,22.23,-5.04,4.84,-16.28,23.99,0.39,-19.4,6.06,-3.78,38.31,-2.16,-16.94,-2.79,36.83,38.88
Zysk ze sprzedaży,,-80.3,199.81,53.2,-50.39,-311.49,-29.7,166.98,-0.22,15.19,-39.88,42.38,-75.81,510.59,-47.46,-68.83,-532.14,-21.0,-47.79
Pozostałe przychody operacyjne,,-17.56,-42.91,46.95,-78.28,20.0,16.67,-12.38,-36.23,36.93,109.54,-73.47,8.96,11.64,64.42,-34.7,17.14,1979.51,-7.98
Pozostałe koszty operacyjne,,-63.77,-14.47,-0.38,-66.41,68.97,-34.69,-11.46,212.94,-91.35,404.35,18.1,-42.34,75.95,122.3,-53.4,473.61,-85.84,158.12
Zysk operacyjny (EBIT),,-56.41,39.33,57.88,-58.08,-280.71,-27.26,177.87,-11.85,30.31,-30.58,13.45,-72.71,445.97,-49.11,-66.18,-619.11,147.47,-133.84
Przychody finansowe,,-43.18,-25.99,-25.19,30.61,-46.48,56.93,13.49,20.9,65.76,-15.13,-15.66,-28.0,-20.24,-88.56,652.17,-71.1,916.0,-48.82
Koszty finansowe,,-30.06,8.43,5.96,52.08,84.41,-54.05,9.11,-59.65,12.93,-28.63,12.3,20.48,-5.53,-3.77,-66.52,742.86,-59.94,96.54
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,-57.9,31.03,56.98,-67.3,-450.92,0.99,161.05,5.18,36.92,-28.23,7.94,-74.4,440.5,-54.94,-54.73,-634.45,146.43,-144.1
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,-57.9,31.03,56.98,-67.3,-450.92,0.99,161.05,5.18,36.92,-28.23,7.94,-74.4,440.5,-54.94,-54.73,-634.45,146.43,-144.1
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,
Zysk netto,,-62.69,35.78,54.3,-76.52,-644.75,6.39,158.69,4.86,40.26,-28.74,7.05,-76.58,498.83,-55.77,-57.74,-699.58,158.97,-152.19
Zysk netto akcjonariuszy jednostki dominującej,,-62.69,35.78,54.3,-76.52,-644.75,6.39,158.69,4.86,40.26,-28.74,7.05,-76.58,498.83,-55.77,-57.74,-699.58,157.96,-96.15
Aktywa trwałe,,114.92,34.13,3.96,9.3,6.68,8.95,-18.35,-4.12,-20.1,9.34,25.8,20.07,-22.41,27.22,-10.56,-34.0,124.8,-11.91
Wartości niematerialne i prawne,,52.3,3.93,-20.09,233.61,27.87,-0.47,-16.8,-23.95,-35.8,32.79,-47.87,10.91,81.09,38.32,39.35,-28.45,96.75,-15.23
Rzeczowe składniki majątku trwałego,,163.79,34.44,-14.02,-21.58,-39.83,31.21,-15.7,-11.97,-27.32,-37.64,178.65,7.5,-29.74,-22.95,-42.83,-39.36,503.53,-14.23
Należności długoterminowe,,,,,,,-16.35,20.3,114.25,4.67,-43.37,12.2,-52.37,-96.87,-100.0,,,,316.57
