,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Period,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Przychody ze sprzedaży,88799.0,116089.0,85040.0,143873.0,160695.0,69435.0,94881.0,81312.0,78171.0,107920.0,93811.0,105131.0,123557.0,157810.0,106756.0,95589.0,100029.0,128614.0,145821.0
Techniczny koszt wytworzenia produkcji sprzedanej,78767.0,104827.0,72523.0,129018.0,145952.0,59253.0,85999.0,68724.0,65445.0,94357.0,82726.0,93142.0,110177.0,140096.0,90661.0,81065.0,89277.0,115036.0,127495.0
Koszty sprzedaży,5068.0,7583.0,7680.0,8782.0,9091.0,8523.0,7779.0,6663.0,5918.0,6400.0,5835.0,5863.0,9061.0,9242.0,9269.0,9735.0,8897.0,10678.0,14545.0
Koszty ogólnego zarządu,2269.0,3148.0,3245.0,3634.0,4442.0,4218.0,4422.0,3702.0,4590.0,4608.0,3714.0,3939.0,3790.0,5242.0,5129.0,4260.0,4141.0,5666.0,7869.0
Zysk ze sprzedaży,2695.0,531.0,1592.0,2439.0,1210.0,-2559.0,-3319.0,2223.0,2218.0,2555.0,1536.0,2187.0,529.0,3230.0,1697.0,529.0,-2286.0,-2766.0,-4088.0
Pozostałe przychody operacyjne,1498.0,1235.0,705.0,1036.0,225.0,270.0,315.0,276.0,176.0,241.0,505.0,134.0,146.0,163.0,268.0,175.0,205.0,4263.0,3923.0
Pozostałe koszty operacyjne,839.0,304.0,260.0,259.0,87.0,147.0,96.0,85.0,266.0,23.0,116.0,137.0,79.0,139.0,309.0,144.0,826.0,117.0,302.0
Zysk operacyjny (EBIT),3354.0,1462.0,2037.0,3216.0,1348.0,-2436.0,-3100.0,2414.0,2128.0,2773.0,1925.0,2184.0,596.0,3254.0,1656.0,560.0,-2907.0,1380.0,-467.0
Przychody finansowe,623.0,354.0,262.0,196.0,256.0,137.0,215.0,244.0,295.0,489.0,415.0,350.0,252.0,201.0,23.0,173.0,50.0,508.0,260.0
Koszty finansowe,509.0,356.0,386.0,409.0,622.0,1147.0,527.0,575.0,232.0,262.0,187.0,210.0,253.0,239.0,230.0,77.0,649.0,260.0,511.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,3468.0,1460.0,1913.0,3003.0,982.0,-3446.0,-3412.0,2083.0,2191.0,3000.0,2153.0,2324.0,595.0,3216.0,1449.0,656.0,-3506.0,1628.0,-718.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
