,0,1,2,3,4,5
Period,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,21897.06,52.87,62.49,38.78,-35.51
Techniczny koszt wytworzenia produkcji sprzedanej,,224.8,37.08,61.84,54.21,61.5
Koszty sprzedaży,,,,,,
Koszty ogólnego zarządu,,,,,,
Zysk ze sprzedaży,,1030.49,58.7,62.69,33.89,-70.96
Pozostałe przychody operacyjne,,-79.26,-29.27,-100.0,,
Pozostałe koszty operacyjne,,2683.33,-77.84,3037.84,61.33,44.21
Zysk operacyjny (EBIT),,,60.91,48.44,31.43,-83.63
Przychody finansowe,,,-39.13,1392.86,276.56,-82.21
Koszty finansowe,,,-92.0,600.0,307.14,675.44
Pozostałe przychody (koszty),,,,,,
Zysk z działalności gospodarczej,,,61.9,50.34,34.74,-88.46
Wynik zdarzeń nadzwyczajnych,,,,,,
Zysk przed opodatkowaniem,,,61.9,50.34,34.74,-88.46
Zysk (strata) netto z działalności zaniechanej,,,,,,
Zysk netto,,,62.68,50.78,34.87,-85.81
Zysk netto akcjonariuszy jednostki dominującej,,,62.68,50.78,34.87,-85.81
Aktywa trwałe,,,411.11,3397.83,-18.27,14.45
Wartości niematerialne i prawne,,,,,,
Rzeczowe składniki majątku trwałego,,,33.33,13150.0,-17.36,-21.0
Należności długoterminowe,,,,,,
Inwestycje długoterminowe,,,,,,
Pozostałe aktywa trwałe,,,,-44.12,-94.74,46600.0
Aktywa obrotowe,,533.37,65.04,112.31,44.69,-29.12
Zapasy,,20.57,12.31,285.31,67.61,71.31
Należności krótkoterminowe,,1607.5,155.05,40.47,128.99,-72.39
Inwestycje krótkoterminowe,,1288.24,42.02,133.73,8.62,-31.43
Środki pieniężne i inne aktywa pieniężne,,1288.24,42.02,133.73,8.87,-31.59
Pozostałe aktywa obrotowe,,,,-38.03,-25.0,-100.0
Aktywa trwałe przeznaczone do sprzedaży,,,,,,
Aktywa razem,,534.3,65.55,127.27,40.28,-27.34
Kapitał własny akcjonariuszy jednostki dominującej,,531.97,65.37,109.08,42.3,-31.08
Kapitał (fundusz) podstawowy,,4.44,0.0,3.5,0.0,0.0
Udziały (akcje) własne,,,,,,
Kapitał (fundusz) zapasowy,,128.1,16.3,688.01,0.0,0.0
Udziały niekontrolujące,,,,,,
Zobowiązania długoterminowe,,,,,-10.79,-47.2
Z tytułu dostaw i usług,,822.22,80.72,222.67,174.38,56.85
Kredyty i pożyczki,,,,,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,216.47,33.09
Inne zobowiązania długoterminowe,,,,,1030.77,-93.2
Zobowiązania krótkoterminowe,,736.36,77.17,537.42,55.92,53.33
Inne zobowiązania krótkoterminowe,,350.0,44.44,3515.38,-95.11,86.96
Rozliczenia międzyokresowe,,,,,,
Pasywa razem,,534.3,65.55,127.27,40.28,-27.34
Przepływy pieniężne z działalności operacyjnej,,691.69,52.97,56.12,2.94,-27.01
Amortyzacja,,,-98.92,4550.0,284.95,36.03
Przepływy pieniężne z działalności inwestycyjnej,,,97.44,-860.0,20.83,-244.74
CAPEX (niematerialne i rzeczowe),,,-97.44,860.0,-20.83,244.74
Przepływy pieniężne z działalności finansowej,,-100.0,,60.79,-398.93,-36.45
Emisja akcji,,-100.0,,,-100.0,
Dywidenda,,,,39.53,33.7,37.62
Przepływy pieniężne razem,,1205.96,-54.67,351.75,-84.52,-488.14
