,0,1,2,3,4,5
Period,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,34.0,7479.0,11433.0,18577.0,25782.0,16628.0
Techniczny koszt wytworzenia produkcji sprzedanej,621.0,2017.0,2765.0,4475.0,6901.0,11145.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,-587.0,5462.0,8668.0,14102.0,18881.0,5483.0
Pozostałe przychody operacyjne,593.0,123.0,87.0,0.0,0.0,3.0
Pozostałe koszty operacyjne,6.0,167.0,37.0,1161.0,1873.0,2701.0
Zysk operacyjny (EBIT),0.0,5418.0,8718.0,12941.0,17008.0,2785.0
Przychody finansowe,0.0,23.0,14.0,209.0,787.0,140.0
Koszty finansowe,0.0,50.0,4.0,28.0,114.0,884.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,0.0,5391.0,8728.0,13122.0,17681.0,2041.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,0.0,5391.0,8728.0,13122.0,17681.0,2041.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,0.0,5059.0,8230.0,12409.0,16736.0,2375.0
Zysk netto akcjonariuszy jednostki dominującej,0.0,5059.0,8230.0,12409.0,16736.0,2375.0
Aktywa trwałe,0.0,9.0,46.0,1609.0,1315.0,1505.0
Wartości niematerialne i prawne,0.0,0.0,0.0,0.0,0.0,0.0
Rzeczowe składniki majątku trwałego,0.0,9.0,12.0,1590.0,1314.0,1038.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,0.0,0.0,34.0,19.0,1.0,467.0
Aktywa obrotowe,962.0,6093.0,10056.0,21350.0,30892.0,21897.0
Zapasy,593.0,715.0,803.0,3094.0,5186.0,8884.0
Należności krótkoterminowe,80.0,1366.0,3484.0,4894.0,11207.0,3094.0
Inwestycje krótkoterminowe,289.0,4012.0,5698.0,13318.0,14466.0,9919.0
Środki pieniężne i inne aktywa pieniężne,289.0,4012.0,5698.0,13318.0,14499.0,9919.0
Pozostałe aktywa obrotowe,0.0,0.0,71.0,44.0,33.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,962.0,6102.0,10102.0,22959.0,32207.0,23402.0
Kapitał własny akcjonariuszy jednostki dominującej,951.0,6010.0,9939.0,20780.0,29570.0,20381.0
Kapitał (fundusz) podstawowy,383.0,400.0,400.0,414.0,414.0,414.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,242.0,552.0,642.0,5059.0,5059.0,5059.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,0.0,0.0,0.0,1140.0,1017.0,537.0
Z tytułu dostaw i usług,9.0,83.0,150.0,484.0,1328.0,2083.0
Kredyty i pożyczki,0.0,0.0,0.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,85.0,269.0,358.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,13.0,147.0,10.0
Zobowiązania krótkoterminowe,11.0,92.0,163.0,1039.0,1620.0,2484.0
Inne zobowiązania krótkoterminowe,2.0,9.0,13.0,470.0,23.0,43.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,962.0,6102.0,10102.0,22959.0,32207.0,23402.0
Przepływy pieniężne z działalności operacyjnej,-662.0,3917.0,5992.0,9355.0,9630.0,7029.0
Amortyzacja,0.0,186.0,2.0,93.0,358.0,487.0
Przepływy pieniężne z działalności inwestycyjnej,0.0,-195.0,-5.0,-48.0,-38.0,-131.0
CAPEX (niematerialne i rzeczowe),0.0,195.0,5.0,48.0,38.0,131.0
Przepływy pieniężne z działalności finansowej,947.0,0.0,-4300.0,-1686.0,-8412.0,-11478.0
Emisja akcji,947.0,0.0,0.0,4431.0,0.0,0.0
Dywidenda,0.0,0.0,4300.0,6000.0,8022.0,11040.0
Przepływy pieniężne razem,285.0,3722.0,1687.0,7621.0,1180.0,-4580.0
