,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Period,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,2150660.0,2702877.0,3043184.0,3075911.0,3274251.0,3289866.0,4430269.0,5516675.0,6077660.0,4749459.0,4949939.0,5133994.0,5572290.0,6369309.0,7387137.0,7569663.0,8382240.0,7911192.0,8619054.0,9801515.0
Techniczny koszt wytworzenia produkcji sprzedanej,2144252.0,2597002.0,2918440.0,2927660.0,2885823.0,2877223.0,3946002.0,5055141.0,5617789.0,4354043.0,4517259.0,4641280.0,4821025.0,5559485.0,6758048.0,7018111.0,7445207.0,7077395.0,7746611.0,8676934.0
Koszty sprzedaży,29455.0,25404.0,28029.0,26239.0,30216.0,22762.0,23488.0,24529.0,24371.0,28364.0,27660.0,29742.0,32671.0,34016.0,30650.0,30478.0,31273.0,11733.0,13530.0,13516.0
Koszty ogólnego zarządu,107056.0,109758.0,108002.0,114630.0,135471.0,129425.0,123251.0,138087.0,193362.0,162917.0,177743.0,190081.0,198766.0,216627.0,229593.0,198992.0,276966.0,269011.0,317153.0,371396.0
Zysk ze sprzedaży,-130103.0,-29287.0,-11287.0,7382.0,222741.0,260456.0,337528.0,298918.0,242138.0,204135.0,227277.0,272891.0,519828.0,559181.0,368846.0,322082.0,628794.0,553053.0,541760.0,739669.0
Pozostałe przychody operacyjne,42242.0,33276.0,43501.0,84394.0,45036.0,71032.0,91796.0,86338.0,79443.0,238293.0,60191.0,56205.0,46451.0,61070.0,111988.0,99453.0,138737.0,85043.0,65235.0,125722.0
Pozostałe koszty operacyjne,33050.0,54408.0,45359.0,63735.0,159829.0,130977.0,97958.0,65820.0,139172.0,109122.0,40150.0,36878.0,61172.0,31933.0,63824.0,103141.0,128959.0,51011.0,44568.0,84264.0
Zysk operacyjny (EBIT),-120911.0,-50419.0,-13145.0,28041.0,107948.0,200511.0,331366.0,319436.0,182409.0,333306.0,247318.0,292218.0,505107.0,588318.0,417010.0,318394.0,638572.0,587085.0,562427.0,781127.0
Przychody finansowe,21531.0,20415.0,24607.0,21242.0,46633.0,43473.0,39993.0,54457.0,67063.0,30498.0,42841.0,39545.0,43227.0,37084.0,28291.0,60127.0,34708.0,13583.0,131961.0,203048.0
Koszty finansowe,18101.0,16199.0,24174.0,37319.0,31702.0,21481.0,36471.0,44777.0,40723.0,28256.0,41688.0,31535.0,34657.0,40771.0,40118.0,50949.0,51385.0,46239.0,45589.0,54868.0
Pozostałe przychody (koszty),127160.0,53517.0,24889.0,1619.0,2939.0,1681.0,-3136.0,-2537.0,-6121.0,-4277.0,-5852.0,-3427.0,-2272.0,-4199.0,-1795.0,4785.0,145.0,67.0,135.0,305.0
Zysk z działalności gospodarczej,9679.0,7314.0,12177.0,13583.0,125818.0,224184.0,331752.0,326579.0,202628.0,331271.0,242619.0,296801.0,511405.0,580432.0,403388.0,332357.0,622040.0,554496.0,648934.0,929612.0
