,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Period,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,1349.0,1133.0,1642.0,2669.0,3434.0,6292.0,11657.0,15937.0,14372.0,24642.0,28884.0,49947.0,62768.0,84796.0,94010.0
Techniczny koszt wytworzenia produkcji sprzedanej,1745.0,1395.0,1795.0,2830.0,3559.0,4651.0,6979.0,9736.0,13362.0,19895.0,26212.0,42316.0,49908.0,72352.0,80992.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22284.0
Zysk ze sprzedaży,-396.0,-262.0,-153.0,-161.0,-125.0,1641.0,4678.0,6201.0,1010.0,4747.0,2672.0,7631.0,12860.0,12444.0,-9266.0
Pozostałe przychody operacyjne,6.0,501.0,16.0,2.0,86.0,306.0,219.0,78.0,62.0,888.0,3387.0,2836.0,11171.0,6041.0,14894.0
Pozostałe koszty operacyjne,3.0,3.0,24.0,19.0,1052.0,2323.0,483.0,36.0,3535.0,926.0,1350.0,1114.0,1246.0,151.0,826.0
Zysk operacyjny (EBIT),-393.0,236.0,-161.0,-178.0,-1091.0,-376.0,4414.0,6243.0,-2463.0,4709.0,4709.0,9353.0,22785.0,18334.0,4802.0
Przychody finansowe,35.0,16.0,936.0,9.0,0.0,71.0,82.0,2349.0,12.0,254.0,6.0,2996.0,1644.0,2561.0,1354.0
Koszty finansowe,52.0,81.0,450.0,24.0,867.0,450.0,349.0,83.0,670.0,201.0,419.0,921.0,234.0,533.0,2641.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,-410.0,171.0,325.0,-193.0,-1958.0,-755.0,4147.0,8509.0,-3121.0,4762.0,4296.0,11428.0,24195.0,20362.0,3515.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-410.0,171.0,325.0,-193.0,-1958.0,-755.0,4147.0,8509.0,-3121.0,4762.0,4296.0,11428.0,24195.0,20362.0,3515.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,-410.0,168.0,325.0,-157.0,-1791.0,-610.0,3310.0,6838.0,-2689.0,4027.0,3153.0,10497.0,20942.0,16367.0,2703.0
Zysk netto akcjonariuszy jednostki dominującej,-410.0,168.0,325.0,-157.0,-1740.0,-602.0,3318.0,6850.0,-2526.0,3628.0,3103.0,10330.0,20954.0,16469.0,2703.0
Aktywa trwałe,530.0,153.0,1882.0,1758.0,796.0,2117.0,1589.0,1507.0,2537.0,4751.0,23904.0,36207.0,34186.0,54548.0,93951.0
Wartości niematerialne i prawne,134.0,49.0,40.0,853.0,554.0,1130.0,1258.0,777.0,227.0,210.0,13645.0,26186.0,16436.0,15638.0,66681.0
Rzeczowe składniki majątku trwałego,82.0,11.0,55.0,87.0,5.0,234.0,144.0,506.0,726.0,1672.0,1472.0,2709.0,3656.0,6023.0,15442.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652.0,652.0
