,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Period,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,22.22,35.14,30.97,30.98,18.85,16.82,14.57,8.63,16.97,12.71,21.13,24.56,15.65,14.98,10.34,4.51,33.66,24.86,17.96
Techniczny koszt wytworzenia produkcji sprzedanej,,23.75,32.42,27.86,25.09,12.98,19.76,14.88,10.97,15.78,14.44,21.53,23.65,18.29,15.27,9.74,3.8,32.33,25.2,20.15
Koszty sprzedaży,,22.24,22.66,24.36,76.95,22.37,18.66,-1.96,-18.83,59.98,8.04,32.46,17.89,18.77,14.07,13.01,-5.12,26.74,26.27,27.45
Koszty ogólnego zarządu,,37.2,49.52,31.72,53.64,24.65,7.2,20.66,40.02,-12.25,10.7,18.51,26.04,11.41,17.15,9.71,6.03,27.74,23.09,8.94
Zysk ze sprzedaży,,-35.68,155.14,108.08,-20.98,94.28,-0.98,49.84,-10.21,27.25,8.1,-5.13,56.52,-15.45,8.05,12.83,47.87,76.71,21.76,-6.79
Pozostałe przychody operacyjne,,-34.92,20.99,263.5,28.15,-66.78,-16.58,2.01,50.48,-41.29,32.67,22.11,46.21,112.24,49.55,13.27,-12.77,6.08,34.12,16.2
Pozostałe koszty operacyjne,,15.45,84.81,81.06,-16.07,4.96,11.98,95.22,-13.11,-4.21,-47.38,115.3,39.94,-33.46,64.75,54.81,-12.61,11.84,111.15,-35.89
Zysk operacyjny (EBIT),,-44.83,140.97,139.91,-10.62,59.05,-3.85,39.69,-6.87,28.91,17.5,-12.48,58.82,-6.72,6.42,5.92,52.76,79.21,14.69,-0.69
Przychody finansowe,,17.7,-10.69,23.55,76.57,-6.63,32.95,17.25,-1.12,-21.12,37.67,18.22,22.04,-36.28,0.13,441.55,7.54,-5.73,111.41,-28.69
Koszty finansowe,,52.51,-10.62,49.57,123.24,-2.05,21.82,-18.16,-0.95,-25.15,-11.98,19.42,24.69,27.4,7.94,52.44,0.2,-27.62,195.07,29.72
Pozostałe przychody (koszty),,-130.38,57.33,619.79,-369.96,52.76,102.89,-464.0,35.82,161.3,-1420.67,90.82,-1217.05,312.84,-154.22,138.36,-871.78,138.26,-142.73,51.63
Zysk z działalności gospodarczej,,-89.16,836.95,191.93,-53.3,145.07,-8.08,68.1,-8.15,43.01,20.39,-14.5,61.69,-7.84,2.41,4.0,59.01,97.37,5.54,-6.12
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,-89.16,836.95,191.93,-53.3,145.07,-8.08,68.1,-8.15,43.01,20.39,-14.5,61.69,-7.84,2.41,4.0,59.01,97.37,5.54,-6.12
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,
Zysk netto,,-96.96,3218.13,201.71,-56.15,168.41,-6.65,63.9,-4.02,47.58,20.2,-15.01,52.33,-5.93,3.08,1.8,46.77,109.88,6.59,-6.09
Zysk netto akcjonariuszy jednostki dominującej,,-99.81,52864.86,195.78,-56.15,168.41,-6.65,69.95,-6.87,46.68,20.2,-15.01,52.33,-5.93,3.08,1.8,46.77,109.88,6.66,-6.15
Aktywa trwałe,,10.43,8.05,83.35,161.83,2.25,-0.97,4.13,2.16,3.03,12.0,28.97,9.21,3.4,3.65,59.31,1.26,-2.52,22.56,18.62
