,0,1,2,3,4,5
Period,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,86.83,49.55,-31.47,79.73,29.75
Techniczny koszt wytworzenia produkcji sprzedanej,,111.11,11.81,-30.18,145.88,4.07
Koszty sprzedaży,,131.04,-100.0,,,
Koszty ogólnego zarządu,,-0.83,14.31,98.29,10.97,-89.85
Zysk ze sprzedaży,,44.08,291.07,-288.83,4.51,313.57
Pozostałe przychody operacyjne,,-46.41,83.15,24.76,-57.26,-11.35
Pozostałe koszty operacyjne,,25.66,12.86,430.72,-25.07,-48.72
Zysk operacyjny (EBIT),,-48.17,105.21,-1.83,-67.17,79.12
Przychody finansowe,,157.84,-51.92,-64.51,431.96,943.3
Koszty finansowe,,19.15,143.55,-23.48,60.97,50.95
Pozostałe przychody (koszty),,,,3898.61,-68.7,-251.01
Zysk z działalności gospodarczej,,-50.45,85.15,17.82,-85.17,225.23
Wynik zdarzeń nadzwyczajnych,,,,,,
Zysk przed opodatkowaniem,,-50.45,85.15,17.82,-85.17,225.23
Zysk (strata) netto z działalności zaniechanej,,,,,,
Zysk netto,,-50.89,70.01,30.13,-85.68,233.37
Zysk netto akcjonariuszy jednostki dominującej,,-50.89,70.01,30.13,-85.68,233.37
Aktywa trwałe,,35.54,-2.38,66.44,7.11,17.92
Wartości niematerialne i prawne,,-5.29,10.95,-0.06,0.0,-0.05
Rzeczowe składniki majątku trwałego,,-18.6,207.11,835.99,8.36,3.68
Należności długoterminowe,,,-100.0,,,
Inwestycje długoterminowe,,39.33,-2.04,66.25,6.9,19.28
Pozostałe aktywa trwałe,,19.33,-78.82,44.4,147.21,-2.96
Aktywa obrotowe,,41.16,-36.1,208.07,-12.29,37.06
Zapasy,,127.41,-43.53,94.83,0.51,259.29
Należności krótkoterminowe,,26.47,-3.9,68.62,50.04,-68.38
Inwestycje krótkoterminowe,,9.74,-66.6,610.75,-33.2,0.84
Środki pieniężne i inne aktywa pieniężne,,92.77,-74.25,881.67,-64.59,32.81
Pozostałe aktywa obrotowe,,89.73,109.72,115.02,-15.02,-9.79
Aktywa trwałe przeznaczone do sprzedaży,,,,,,
Aktywa razem,,36.18,-6.35,77.82,4.41,20.15
Kapitał własny akcjonariuszy jednostki dominującej,,17.78,33.49,57.41,2.57,8.38
Kapitał (fundusz) podstawowy,,0.0,0.0,43.11,2.12,0.0
Udziały (akcje) własne,,,,,,
Kapitał (fundusz) zapasowy,,0.0,-100.0,,7.54,0.0
Udziały niekontrolujące,,,,,,
Zobowiązania długoterminowe,,42.91,-12.87,101.09,8.01,34.05
Z tytułu dostaw i usług,,53.47,-79.6,62.26,39.63,54.99
Kredyty i pożyczki,,157.28,-23.33,90.25,38.71,-1.04
Z tytułu emisji dłużnych papierów wartościowych,,88.53,-100.0,,-100.0,
Zobowiązania z tytułu leasingu finansowego,,-94.35,1250.44,465.09,-92.76,10.95
Inne zobowiązania długoterminowe,,593.32,15.4,68.15,-19.89,22.68
Zobowiązania krótkoterminowe,,72.73,-30.73,83.91,-0.87,10.86
Inne zobowiązania krótkoterminowe,,51.72,36.99,48.65,-5.23,-29.26
Rozliczenia międzyokresowe,,21.03,-100.0,,,
Pasywa razem,,36.18,-6.35,77.82,4.41,20.15
Przepływy pieniężne z działalności operacyjnej,,246.2,-1066.98,14.77,-3.1,84.44
Amortyzacja,,0.59,-55.31,57.05,52.91,35.79
Przepływy pieniężne z działalności inwestycyjnej,,16.46,207.77,-356.21,95.59,-1654.85
CAPEX (niematerialne i rzeczowe),,45.48,42.14,32.96,28.2,-38.63
Przepływy pieniężne z działalności finansowej,,-22.55,-142.84,1000.02,-91.65,583.53
Emisja akcji,,,,,,
Dywidenda,,,-60.0,-100.0,,
Przepływy pieniężne razem,,22.46,-212.9,517.98,-171.92,117.99
