,0,1,2,3,4,5
Period,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,21124.0,39466.0,59021.0,40445.0,72691.0,94317.0
Techniczny koszt wytworzenia produkcji sprzedanej,11045.0,23317.0,26070.0,18201.0,44752.0,46575.0
Koszty sprzedaży,1250.0,2888.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,19247.0,19087.0,21819.0,43265.0,48011.0,4874.0
Zysk ze sprzedaży,-10418.0,-5826.0,11132.0,-21021.0,-20072.0,42868.0
Pozostałe przychody operacyjne,247492.0,132632.0,242917.0,303059.0,129524.0,114819.0
Pozostałe koszty operacyjne,5320.0,6685.0,7545.0,40043.0,30006.0,15386.0
Zysk operacyjny (EBIT),231754.0,120121.0,246504.0,241995.0,79446.0,142301.0
Przychody finansowe,3207.0,8269.0,3976.0,1411.0,7506.0,78310.0
Koszty finansowe,17199.0,20492.0,49909.0,38192.0,61476.0,92797.0
Pozostałe przychody (koszty),0.0,0.0,-794.0,30161.0,9440.0,-14255.0
Zysk z działalności gospodarczej,217762.0,107898.0,199777.0,235375.0,34916.0,113559.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,217762.0,107898.0,199777.0,235375.0,34916.0,113559.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,174536.0,85710.0,145713.0,189620.0,27147.0,90501.0
Zysk netto akcjonariuszy jednostki dominującej,174536.0,85710.0,145713.0,189620.0,27147.0,90501.0
Aktywa trwałe,976455.0,1323464.0,1292025.0,2150469.0,2303263.0,2715918.0
Wartości niematerialne i prawne,78585.0,74429.0,82576.0,82523.0,82525.0,82482.0
Rzeczowe składniki majątku trwałego,3022.0,2460.0,7555.0,70714.0,76626.0,79444.0
Należności długoterminowe,0.0,3260.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,877283.0,1222355.0,1197455.0,1990822.0,2128266.0,2538615.0
Pozostałe aktywa trwałe,17565.0,20960.0,4439.0,6410.0,15846.0,15377.0
Aktywa obrotowe,125117.0,176621.0,112864.0,347700.0,304979.0,418009.0
Zapasy,25661.0,58356.0,32954.0,64203.0,64531.0,231852.0
Należności krótkoterminowe,24146.0,30537.0,29346.0,49484.0,74246.0,23478.0
Inwestycje krótkoterminowe,68954.0,75669.0,25274.0,179634.0,119989.0,120991.0
Środki pieniężne i inne aktywa pieniężne,27093.0,52226.0,13449.0,132025.0,46748.0,62087.0
Pozostałe aktywa obrotowe,6356.0,12059.0,25290.0,54379.0,46213.0,41688.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,1101572.0,1500085.0,1404889.0,2498169.0,2608242.0,3133927.0
Kapitał własny akcjonariuszy jednostki dominującej,425825.0,501540.0,669521.0,1053900.0,1081032.0,1171594.0
Kapitał (fundusz) podstawowy,226177.0,226177.0,226177.0,323677.0,330538.0,330538.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,100.0,100.0,0.0,84061.0,90395.0,90395.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,429387.0,613650.0,534674.0,1075174.0,1161310.0,1556684.0
Z tytułu dostaw i usług,31265.0,47982.0,9790.0,15885.0,22181.0,34379.0
Kredyty i pożyczki,33957.0,87364.0,66984.0,127436.0,176771.0,174929.0
Z tytułu emisji dłużnych papierów wartościowych,36566.0,68938.0,0.0,9793.0,0.0,76986.0
Zobowiązania z tytułu leasingu finansowego,9998.0,565.0,7630.0,43116.0,3123.0,3465.0
Inne zobowiązania długoterminowe,5465.0,37890.0,43725.0,73523.0,58898.0,72257.0
Zobowiązania krótkoterminowe,167737.0,289740.0,200694.0,369095.0,365900.0,405649.0
Inne zobowiązania krótkoterminowe,55951.0,84891.0,116290.0,172865.0,163825.0,115890.0
Rozliczenia międzyokresowe,78623.0,95155.0,0.0,0.0,0.0,0.0
Pasywa razem,1101572.0,1500085.0,1404889.0,2498169.0,2608242.0,3133927.0
Przepływy pieniężne z działalności operacyjnej,-10080.0,14737.0,-142504.0,-121452.0,-125217.0,-19486.0
Amortyzacja,5288.0,5319.0,2377.0,3733.0,5708.0,7751.0
Przepływy pieniężne z działalności inwestycyjnej,-218632.0,-182644.0,196839.0,-504328.0,-22232.0,-390139.0
CAPEX (niematerialne i rzeczowe),191855.0,279115.0,396731.0,527512.0,676268.0,415026.0
Przepływy pieniężne z działalności finansowej,249232.0,193035.0,-82704.0,744356.0,62172.0,424964.0
Emisja akcji,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,10000.0,4000.0,0.0,0.0,0.0
Przepływy pieniężne razem,20520.0,25128.0,-28369.0,118576.0,-85277.0,15339.0
