,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Period,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,19.04,21.13,35.83,38.53,22.29,11.51,6.1,20.73,24.72,22.27,14.83,38.07,31.67,12.68,23.68,-3.53,34.63,20.18,3.48
Techniczny koszt wytworzenia produkcji sprzedanej,,-4.31,18.3,21.27,31.27,26.44,7.01,1.34,33.57,26.19,11.96,15.32,44.56,35.8,15.25,25.48,7.65,26.22,20.95,3.88
Koszty sprzedaży,,81.28,41.41,76.67,40.49,35.74,12.39,5.7,21.23,19.69,24.44,15.54,36.63,32.58,18.78,31.23,2.89,24.74,17.52,1.36
Koszty ogólnego zarządu,,39.84,-17.47,-50.15,31.67,57.87,12.27,24.76,-60.84,306.9,167.19,47.09,-5.38,0.28,72.19,25.77,6.55,55.83,1.65,-3.65
Zysk ze sprzedaży,,72.6,13.39,34.24,57.86,-18.45,27.04,21.85,-8.72,22.39,37.0,0.87,36.26,20.36,-39.17,-51.81,-425.14,83.86,179.0,179.92
Pozostałe przychody operacyjne,,-7.74,56.54,-75.5,1215.36,-38.81,-15.92,-2.01,7.21,15.3,69.99,51.73,-15.76,-151.15,982.84,-62.13,-172.1,505.26,-86.4,359.55
Pozostałe koszty operacyjne,,-43.67,67.54,271.71,-13.64,-43.33,58.12,-3.33,25.58,46.22,3.24,-2.19,-100.0,,,,473.39,-68.03,91.23,-66.56
Zysk operacyjny (EBIT),,84.84,13.07,1.94,108.58,-18.01,19.38,23.18,-11.14,18.53,45.2,5.54,45.46,8.33,-7.91,-64.27,-570.85,100.62,-1415.38,458.48
Przychody finansowe,,1117.92,215.34,-91.18,-28.97,236.86,-44.94,17.55,32.01,10.63,278.69,-96.75,800.0,255.56,15.62,3772.97,-31.82,-56.29,26.46,129.81
Koszty finansowe,,-66.36,-14.66,313.13,87.51,-6.31,-25.24,17.91,91.22,8.31,24.17,12.4,40.34,100.3,79.22,92.91,20.36,-27.84,100.05,11.1
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,-17600.0,-819.43,100.25,-25.0,0.0
Zysk z działalności gospodarczej,,115.96,18.62,-10.09,109.65,-18.43,23.01,23.46,-16.55,19.75,48.82,3.49,46.31,-0.03,-24.77,-89.24,-3608.33,84.11,-159.19,65.35
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,115.96,18.62,-10.09,109.65,-18.43,23.01,23.46,-16.55,19.75,48.82,3.49,46.31,-0.03,-24.77,-89.24,-3608.33,84.11,-159.19,65.35
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,72.48,-534.86,109.85,-247.74,100.0
Zysk netto,,111.33,21.41,-10.46,115.02,-18.41,40.97,4.17,-13.41,17.78,235.48,-38.25,21.63,-4.18,-81.24,-148.5,-4555.64,84.98,-130.84,71.91
Zysk netto akcjonariuszy jednostki dominującej,,111.33,21.41,-10.46,115.02,-18.41,40.97,4.17,-13.41,17.78,235.48,-38.34,18.34,-6.39,-79.33,-146.21,-4570.44,82.54,-86.93,86.57
Aktywa trwałe,,28.09,48.86,48.38,41.73,13.77,28.61,36.0,5.51,11.06,88.87,13.27,39.88,-10.35,209.69,17.81,-19.84,0.55,6.11,3.87
Wartości niematerialne i prawne,,-0.71,-1.07,24.19,270.35,-15.78,-17.8,-20.07,1003.55,-6.49,27.97,-36.63,4771.19,5.67,668.62,-76.68,-7.0,1.9,12.58,8.7
Rzeczowe składniki majątku trwałego,,29.39,47.59,47.74,39.44,14.35,18.91,40.27,5.03,10.43,32.91,13.64,14.82,15.8,45.4,194.21,-20.0,-0.59,5.39,0.84
Należności długoterminowe,,,,,-20.48,-25.32,-34.48,2945.61,-86.61,-55.7,7181.55,-33.33,-100.0,,,,-97.72,-16.67,-100.0,
Inwestycje długoterminowe,,-100.0,,,,,,,,,,,,,,,-83.75,7.66,-37.24,0.0
Pozostałe aktywa trwałe,,-42.28,278.7,70.37,134.54,4.19,362.42,-10.69,-3.35,27.21,767.34,16.9,2.5,-80.21,50.63,15.5,37.9,15.38,4.73,35.31
Aktywa obrotowe,,7.29,5.22,26.06,59.07,11.11,19.65,46.59,-1.29,16.72,42.38,17.31,19.98,60.36,42.7,-7.23,11.56,25.5,-15.68,4.12
Zapasy,,32.09,17.84,19.48,66.83,19.44,4.02,92.05,-17.67,15.99,60.1,-8.2,52.08,36.99,27.4,7.54,12.89,19.76,2.49,8.19
Należności krótkoterminowe,,-34.81,52.63,51.6,1.48,-38.58,93.34,8.22,-16.33,25.67,-5.76,44.32,70.87,43.92,58.04,1.39,-8.02,31.56,-29.91,6.91
Inwestycje krótkoterminowe,,9.22,-65.43,-4.37,41.07,296.5,36.41,-57.95,259.93,14.34,13.0,120.79,-56.92,237.35,-20.41,31.92,-15.81,104.95,-58.12,-32.47
