,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Period,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,277986.0,330926.0,400857.0,544493.0,754281.0,922408.0,1028559.0,1091260.0,1317457.0,1643139.0,2009059.0,2307000.0,3185300.0,4194000.0,4725800.0,5844700.0,5638600.0,7591500.0,9123200.0,9440300.0
Techniczny koszt wytworzenia produkcji sprzedanej,193629.0,185291.0,219199.0,265815.0,348942.0,441206.0,472127.0,478447.0,639059.0,806434.0,902847.0,1041200.0,1505200.0,2044100.0,2355900.0,2956100.0,3182100.0,4016400.0,4857800.0,5046200.0
Koszty sprzedaży,41850.0,75866.0,107283.0,189535.0,266274.0,361448.0,406234.0,429373.0,520542.0,623016.0,775298.0,895800.0,1223900.0,1622700.0,1927500.0,2529400.0,2602600.0,3246400.0,3815100.0,3867000.0
Koszty ogólnego zarządu,10981.0,15356.0,12674.0,6318.0,8319.0,13133.0,14744.0,18395.0,7204.0,29313.0,78322.0,115200.0,109000.0,109300.0,188200.0,236700.0,252200.0,393000.0,399500.0,384900.0
Zysk ze sprzedaży,31526.0,54413.0,61701.0,82825.0,130746.0,106621.0,135454.0,165045.0,150652.0,184376.0,252592.0,254800.0,347200.0,417900.0,254200.0,122500.0,-398300.0,-64300.0,50800.0,142200.0
Pozostałe przychody operacyjne,4158.0,3836.0,6005.0,1471.0,19349.0,11840.0,9955.0,9755.0,10458.0,12058.0,20497.0,31100.0,26200.0,-13400.0,118300.0,44800.0,-32300.0,130900.0,17800.0,81800.0
Pozostałe koszty operacyjne,6000.0,3380.0,5663.0,21050.0,18179.0,10302.0,16290.0,15748.0,19776.0,28917.0,29855.0,29200.0,0.0,0.0,0.0,34200.0,196100.0,62700.0,119900.0,40100.0
Zysk operacyjny (EBIT),29684.0,54869.0,62043.0,63246.0,131916.0,108159.0,129119.0,159052.0,141334.0,167517.0,243234.0,256700.0,373400.0,404500.0,372500.0,133100.0,-626700.0,3900.0,-51300.0,183900.0
Przychody finansowe,106.0,1291.0,4071.0,359.0,255.0,859.0,473.0,556.0,734.0,812.0,3075.0,100.0,900.0,3200.0,3700.0,143300.0,97700.0,42700.0,54000.0,124100.0
Koszty finansowe,4483.0,1508.0,1287.0,5317.0,9970.0,9341.0,6983.0,8234.0,15745.0,17053.0,21174.0,23800.0,33400.0,66900.0,119900.0,231300.0,278400.0,200900.0,401900.0,446500.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-17500.0,-160900.0,400.0,300.0,300.0
Zysk z działalności gospodarczej,25307.0,54652.0,64827.0,58288.0,122201.0,99677.0,122609.0,151374.0,126323.0,151276.0,225135.0,233000.0,340900.0,340800.0,256400.0,27600.0,-968300.0,-153900.0,-398900.0,-138200.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,25307.0,54652.0,64827.0,58288.0,122201.0,99677.0,122609.0,151374.0,126323.0,151276.0,225135.0,233000.0,340900.0,340800.0,256400.0,27600.0,-968300.0,-153900.0,-398900.0,-138200.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-166800.0,-45900.0,-291400.0,28700.0,-42400.0,0.0
Zysk netto,20743.0,43836.0,53222.0,47653.0,102463.0,83603.0,117856.0,122776.0,106314.0,125217.0,420075.0,259400.0,315500.0,302300.0,56700.0,-27500.0,-1280300.0,-192300.0,-443900.0,-124700.0
Zysk netto akcjonariuszy jednostki dominującej,20743.0,43836.0,53222.0,47653.0,102463.0,83603.0,117856.0,122776.0,106314.0,125217.0,420075.0,259000.0,306500.0,286900.0,59300.0,-27400.0,-1279700.0,-223400.0,-417600.0,-56100.0
Aktywa trwałe,46011.0,58936.0,87735.0,130178.0,184506.0,209908.0,269959.0,367139.0,387368.0,430195.0,812507.0,920300.0,1287300.0,1154100.0,3574100.0,4210500.0,3375100.0,3393800.0,3601300.0,3740500.0
Wartości niematerialne i prawne,282.0,280.0,277.0,344.0,1274.0,1073.0,882.0,705.0,7780.0,7275.0,9310.0,5900.0,287400.0,303700.0,2334300.0,544300.0,506200.0,515800.0,580700.0,631200.0
Rzeczowe składniki majątku trwałego,45035.0,58271.0,86000.0,127057.0,177173.0,202591.0,240894.0,337894.0,354894.0,391893.0,520875.0,591900.0,679600.0,787000.0,1144300.0,3366600.0,2693400.0,2677600.0,2821800.0,2845600.0
Należności długoterminowe,0.0,0.0,0.0,293.0,233.0,174.0,114.0,3472.0,465.0,206.0,15000.0,10000.0,0.0,0.0,0.0,52700.0,1200.0,1000.0,0.0,0.0
Inwestycje długoterminowe,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136600.0,22200.0,23900.0,15000.0,15000.0
Pozostałe aktywa trwałe,667.0,385.0,1458.0,2484.0,5826.0,6070.0,28069.0,25068.0,24229.0,30821.0,267322.0,312500.0,320300.0,63400.0,95500.0,110300.0,152100.0,175500.0,183800.0,248700.0
Aktywa obrotowe,135662.0,145555.0,153147.0,193058.0,307091.0,341217.0,408263.0,598474.0,590746.0,689532.0,981725.0,1151700.0,1381800.0,2215800.0,3161900.0,2933200.0,3272300.0,4106900.0,3462800.0,3605500.0
Zapasy,65488.0,86506.0,101940.0,121800.0,203196.0,242693.0,252446.0,484815.0,399163.0,463008.0,741286.0,680500.0,1034900.0,1417700.0,1806100.0,1942300.0,2192600.0,2625800.0,2691100.0,2911600.0
Należności krótkoterminowe,40022.0,26090.0,39822.0,60371.0,61262.0,37629.0,72752.0,78733.0,65875.0,82788.0,78020.0,112600.0,192400.0,276900.0,437600.0,443700.0,408100.0,536900.0,376300.0,402300.0
Inwestycje krótkoterminowe,30152.0,32931.0,11385.0,10887.0,15358.0,60895.0,83065.0,34926.0,125708.0,143736.0,162419.0,358600.0,154500.0,521200.0,414800.0,547200.0,460700.0,944200.0,395400.0,267000.0
Środki pieniężne i inne aktywa pieniężne,30152.0,32931.0,8874.0,10887.0,15358.0,60895.0,83065.0,34926.0,125708.0,143736.0,161906.0,340600.0,143400.0,511600.0,375800.0,542600.0,458700.0,941100.0,395400.0,266500.0
Pozostałe aktywa obrotowe,0.0,28.0,0.0,0.0,27275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503400.0,0.0,210900.0,0.0,0.0,24600.0
Aktywa razem,181673.0,204491.0,240882.0,323236.0,491597.0,551125.0,678222.0,965613.0,978114.0,1119727.0,1794232.0,2072000.0,2669100.0,3369900.0,6736000.0,7143700.0,6647400.0,7500700.0,7064100.0,7346000.0
Kapitał własny akcjonariuszy jednostki dominującej,125757.0,168704.0,183441.0,192828.0,295157.0,340209.0,422848.0,495085.0,528711.0,591856.0,952239.0,1123600.0,1183700.0,1100500.0,1020900.0,963600.0,181700.0,985200.0,416300.0,841100.0
Kapitał (fundusz) podstawowy,3840.0,3840.0,3840.0,3840.0,3840.0,3840.0,3840.0,3840.0,3840.0,3840.0,3840.0,3840.0,3840.0,4100.0,4100.0,4100.0,5500.0,5500.0,5500.0,6900.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,74899.0,74586.0,74586.0,74586.0,74586.0,74586.0,74586.0,74586.0,74586.0,74586.0,74586.0,78400.0,123100.0,644900.0,645100.0,645100.0,1148000.0,1148000.0,1148000.0,1648200.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52400.0,67800.0,126900.0,126000.0,128100.0,166400.0,166400.0,112400.0
Zobowiązania długoterminowe,10907.0,783.0,4306.0,1202.0,13823.0,81361.0,105117.0,208560.0,124099.0,193290.0,256935.0,335000.0,660400.0,1277800.0,2650900.0,3095800.0,2785400.0,3410200.0,2741400.0,1959300.0
Z tytułu dostaw i usług,29825.0,22729.0,23809.0,41234.0,73217.0,81297.0,86770.0,146356.0,116252.0,155364.0,176345.0,78100.0,182300.0,235800.0,864200.0,1158200.0,1269300.0,1480100.0,1389500.0,1820200.0
Kredyty i pożyczki,10638.0,0.0,19016.0,81790.0,95901.0,39986.0,46006.0,71972.0,200648.0,169809.0,362007.0,422800.0,429500.0,481100.0,806800.0,830400.0,1196900.0,545000.0,1155700.0,1418800.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,462.0,114.0,46.0,63.0,69.0,127.0,136.0,53.0,3.0,0.0,0.0,0.0,0.0,0.0,425200.0,557200.0,450500.0,491600.0,512900.0,519000.0
Inne zobowiązania długoterminowe,803.0,783.0,1744.0,989.0,1066.0,1056.0,1675.0,1635.0,35933.0,34956.0,40935.0,33735.0,294400.0,841800.0,956900.0,884200.0,897300.0,191700.0,104100.0,69500.0
Zobowiązania krótkoterminowe,45009.0,35004.0,53135.0,129206.0,182617.0,129555.0,150257.0,261968.0,325304.0,334581.0,585058.0,613400.0,772600.0,923800.0,2937300.0,2958300.0,3552200.0,2938900.0,3740000.0,4433200.0
Inne zobowiązania krótkoterminowe,4084.0,12161.0,10264.0,6119.0,13430.0,8145.0,17345.0,43587.0,8401.0,9408.0,46706.0,112500.0,160800.0,206900.0,841100.0,412500.0,635500.0,422200.0,681900.0,675200.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,181673.0,204491.0,240882.0,323236.0,491597.0,551125.0,678222.0,965613.0,978114.0,1119727.0,1794232.0,2072000.0,2669100.0,3369900.0,6736000.0,7143700.0,6647400.0,7500700.0,7064100.0,7346000.0
Przepływy pieniężne z działalności operacyjnej,-1334.0,45984.0,20419.0,30537.0,43560.0,124659.0,89202.0,-13360.0,207441.0,145354.0,54045.0,325400.0,174700.0,78200.0,995800.0,986600.0,-62100.0,50300.0,466500.0,710600.0
Amortyzacja,2384.0,3905.0,5405.0,9133.0,13026.0,18346.0,22166.0,24242.0,38980.0,37683.0,52707.0,66900.0,72700.0,92700.0,602400.0,716300.0,683600.0,577300.0,584500.0,594500.0
Przepływy pieniężne z działalności inwestycyjnej,-4410.0,-21306.0,-23963.0,-49237.0,-57689.0,-44838.0,-51580.0,-96180.0,-51194.0,-92625.0,-205194.0,-155500.0,-362000.0,-222300.0,-620800.0,-713600.0,-261800.0,-219200.0,-409100.0,-315600.0
CAPEX (niematerialne i rzeczowe),5014.0,21795.0,36274.0,38753.0,58090.0,46370.0,60637.0,116357.0,56040.0,96844.0,196826.0,156900.0,160000.0,244700.0,438700.0,496900.0,206400.0,312900.0,455100.0,325100.0
Przepływy pieniężne z działalności finansowej,33938.0,-21920.0,-20513.0,20713.0,18600.0,-34284.0,-15452.0,61401.0,-65465.0,-34701.0,169319.0,8800.0,-9900.0,514800.0,-514800.0,-104700.0,240000.0,651300.0,-677300.0,-634200.0
Emisja akcji,55367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44700.0,525800.0,0.0,0.0,506900.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,38400.0,38400.0,0.0,38400.0,38400.0,57600.0,61440.0,61440.0,61440.0,115200.0,85700.0,101400.0,94700.0,23900.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,28194.0,2758.0,-24057.0,2013.0,4471.0,45537.0,22170.0,-48139.0,90782.0,18028.0,18170.0,178700.0,-197200.0,370700.0,-139800.0,168300.0,-83900.0,482400.0,-619900.0,-239200.0
