,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Period,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,8963.0,18294.0,29880.0,29600.0,89037.0,81718.0,41205.0,107290.0,109020.0,25019.0,24231.0,103029.0,21985.0,47478.0,46010.0,105528.0,56694.0,244983.0
Techniczny koszt wytworzenia produkcji sprzedanej,3855.0,6293.0,14998.0,22073.0,35885.0,43210.0,30227.0,57590.0,77543.0,18477.0,21450.0,52875.0,17131.0,29013.0,26683.0,39602.0,15949.0,108558.0
Koszty sprzedaży,671.0,3361.0,8612.0,10093.0,10271.0,10540.0,9691.0,18269.0,20228.0,7061.0,9203.0,26908.0,3759.0,13551.0,5777.0,16349.0,15896.0,85907.0
Koszty ogólnego zarządu,1887.0,3882.0,5742.0,4662.0,4938.0,5900.0,5973.0,6612.0,5569.0,8472.0,6008.0,6117.0,5886.0,5806.0,5479.0,7733.0,16346.0,17203.0
Zysk ze sprzedaży,2550.0,4758.0,528.0,-7228.0,37943.0,22068.0,-4686.0,24819.0,5680.0,-8991.0,-12430.0,17129.0,-4791.0,-892.0,8071.0,41844.0,8503.0,33315.0
Pozostałe przychody operacyjne,286.0,151.0,499.0,726.0,1056.0,669.0,329.0,1175.0,656.0,1695.0,626.0,1647.0,166.0,4729.0,1332.0,1235.0,64.0,-552.0
Pozostałe koszty operacyjne,401.0,716.0,2046.0,9430.0,4812.0,1617.0,17074.0,10236.0,3925.0,1705.0,2544.0,6063.0,17753.0,2790.0,674.0,2812.0,748.0,1274.0
Zysk operacyjny (EBIT),2435.0,4193.0,-1019.0,-15932.0,34187.0,21120.0,-21431.0,15758.0,2411.0,-9001.0,-14348.0,12713.0,-22378.0,1047.0,8729.0,40267.0,7819.0,31489.0
Przychody finansowe,78.0,99.0,3221.0,234.0,48.0,1546.0,442.0,107.0,382.0,1081.0,743.0,41.0,820.0,10.0,141.0,2783.0,4011.0,0.0
Koszty finansowe,290.0,406.0,1539.0,892.0,1692.0,358.0,2383.0,1827.0,479.0,145.0,230.0,1630.0,389.0,838.0,338.0,231.0,444.0,5205.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,2223.0,3886.0,663.0,-16590.0,32543.0,22308.0,-23372.0,14038.0,2314.0,-8065.0,-13835.0,11124.0,-21947.0,219.0,8532.0,42819.0,11386.0,26284.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,2223.0,3886.0,663.0,-16590.0,32543.0,22308.0,-23372.0,14038.0,2314.0,-8065.0,-13835.0,11124.0,-21947.0,219.0,8532.0,42819.0,11386.0,26284.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,1746.0,3388.0,3233.0,-13562.0,26893.0,16923.0,-19794.0,29713.0,2084.0,-7860.0,-16240.0,5454.0,-22693.0,-2877.0,7097.0,38343.0,8575.0,14467.0
Zysk netto akcjonariuszy jednostki dominującej,1746.0,3388.0,3233.0,-13562.0,26893.0,16923.0,-19794.0,29713.0,2084.0,-7860.0,-16240.0,5454.0,-22693.0,-2877.0,6959.0,36808.0,8196.0,13047.0
Aktywa trwałe,1026.0,8284.0,17752.0,14961.0,16789.0,28779.0,44883.0,68237.0,56997.0,71396.0,83648.0,79089.0,72755.0,62297.0,69137.0,90767.0,158466.0,187526.0
Wartości niematerialne i prawne,811.0,7745.0,14944.0,10272.0,13115.0,25071.0,38117.0,43784.0,30114.0,45943.0,59299.0,52794.0,52282.0,54828.0,58987.0,80959.0,152044.0,168707.0
Rzeczowe składniki majątku trwałego,215.0,454.0,1419.0,591.0,441.0,1385.0,1425.0,1967.0,1292.0,971.0,917.0,913.0,1083.0,1509.0,6921.0,6165.0,4925.0,3643.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,538.0
Inwestycje długoterminowe,0.0,0.0,0.0,0.0,12.0,18.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,0.0,85.0,1389.0,4098.0,3221.0,2305.0,5323.0,22481.0,25591.0,24482.0,23432.0,25382.0,19390.0,5960.0,3229.0,3643.0,1017.0,14638.0
Aktywa obrotowe,4676.0,27823.0,26999.0,20752.0,42828.0,41875.0,27574.0,29760.0,42261.0,19282.0,34194.0,28043.0,19433.0,34803.0,41150.0,61345.0,20795.0,87468.0
Zapasy,195.0,1975.0,3679.0,5518.0,5244.0,4945.0,2357.0,3336.0,2963.0,4333.0,3396.0,4920.0,2687.0,3118.0,1576.0,2014.0,1171.0,1502.0
Należności krótkoterminowe,2898.0,6635.0,16505.0,11336.0,17208.0,16316.0,6208.0,12652.0,27945.0,5663.0,2690.0,5919.0,3146.0,19946.0,7265.0,20827.0,12660.0,55733.0
Inwestycje krótkoterminowe,756.0,17961.0,4381.0,1499.0,16422.0,17103.0,16517.0,11235.0,9511.0,7186.0,25424.0,13859.0,12612.0,6659.0,28705.0,37904.0,6964.0,30233.0
Środki pieniężne i inne aktywa pieniężne,756.0,12894.0,2239.0,1422.0,15521.0,16700.0,16474.0,11235.0,9509.0,7183.0,25424.0,13484.0,12612.0,6659.0,28207.0,37843.0,6618.0,30233.0
Pozostałe aktywa obrotowe,827.0,1252.0,2434.0,2399.0,3954.0,3511.0,2492.0,2537.0,1842.0,2100.0,2684.0,3345.0,988.0,5080.0,3604.0,600.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,5702.0,36107.0,44751.0,35713.0,59617.0,70654.0,72457.0,97997.0,99258.0,90678.0,117842.0,107132.0,92188.0,97100.0,110287.0,152112.0,179261.0,274994.0
Kapitał własny akcjonariuszy jednostki dominującej,3455.0,30008.0,30184.0,16804.0,42961.0,57772.0,39657.0,80547.0,83041.0,75227.0,83643.0,89427.0,66814.0,60318.0,96375.0,133405.0,140813.0,157597.0
Kapitał (fundusz) podstawowy,50.0,1254.0,1254.0,1265.0,1265.0,1265.0,1265.0,1391.0,1391.0,1391.0,1501.0,1511.0,1511.0,1619.0,1829.0,1829.0,1829.0,1829.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,0.0,20457.0,20457.0,20555.0,4555.0,4838.0,4556.0,15530.0,15530.0,15530.0,39975.0,40567.0,40588.0,49759.0,78653.0,78653.0,78653.0,78653.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,1704.0,1404.0,2681.0
Zobowiązania długoterminowe,0.0,126.0,2113.0,242.0,201.0,342.0,114.0,1122.0,4467.0,2748.0,2751.0,9569.0,17209.0,6474.0,8173.0,6839.0,4644.0,23053.0
Z tytułu dostaw i usług,2128.0,5388.0,6849.0,9980.0,9805.0,8021.0,8030.0,8290.0,9541.0,4586.0,6507.0,2395.0,3375.0,4675.0,3169.0,4972.0,11641.0,29640.0
Kredyty i pożyczki,0.0,379.0,2825.0,7243.0,5134.0,26.0,20602.0,5720.0,11.0,5677.0,23917.0,0.0,3468.0,24051.0,33.0,13.0,18575.0,57750.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,10.0,0.0,0.0,0.0,2954.0,51.0,25.0,14.0,0.0,0.0,53.0,224.0,634.0,324.0,955.0,1219.0,1025.0
Inne zobowiązania długoterminowe,0.0,112.0,1842.0,155.0,147.0,313.0,75.0,1122.0,4467.0,2748.0,2751.0,9473.0,4162.0,6205.0,2306.0,2914.0,1861.0,21694.0
Zobowiązania krótkoterminowe,2247.0,5973.0,12454.0,18667.0,16455.0,12540.0,32686.0,16328.0,11750.0,12703.0,31448.0,8136.0,8165.0,30308.0,5570.0,10164.0,32400.0,91663.0
Inne zobowiązania krótkoterminowe,119.0,196.0,2780.0,1444.0,1516.0,1539.0,4003.0,2293.0,2184.0,2440.0,1024.0,5688.0,1098.0,948.0,2044.0,4224.0,965.0,3248.0
