,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Period,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,,-53.97,-34.48,-50.88,39.29,10851.28,253.14,104.61,230.93,221.72,7.19,-15.76,-22.59
Techniczny koszt wytworzenia produkcji sprzedanej,,,-14.81,-91.06,-17.58,9.33,2411.89,238.58,108.49,223.23,203.86,22.13,-6.4,-24.22
Koszty sprzedaży,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,
Zysk ze sprzedaży,,,11.45,93.59,2.4,-2.46,221.2,648.84,56.9,356.74,428.17,-92.22,-992.35,40.48
Pozostałe przychody operacyjne,,,,85.71,9546.15,-99.76,100.0,8233.33,161.0,333.56,124.43,-83.8,131.55,329.71
Pozostałe koszty operacyjne,,,-53.85,47361.11,-99.66,103.45,-67.8,852.63,161.88,249.79,218.46,85.76,110.92,-31.83
Zysk operacyjny (EBIT),,,11.98,-124.61,111.17,-131.19,194.77,792.41,69.67,361.4,360.51,-101.15,-6960.0,61.45
Przychody finansowe,,,0.0,0.0,85700.0,94.29,-97.72,-100.0,,,,,6.72,215.47
Koszty finansowe,,,66.04,42.05,388.0,-97.7,742.86,635.59,103.11,205.28,113.29,11.9,278.27,-15.13
Pozostałe przychody (koszty),,,,,,,,,-7.41,-84.0,38975.0,-190.21,20.12,-68.54
Zysk z działalności gospodarczej,,,11.06,-122.82,113.8,9.6,-84.41,757.62,50.08,450.87,480.99,-117.48,-721.88,47.0
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,11.06,-122.82,113.8,9.6,-84.41,757.62,50.08,450.87,480.99,-117.48,-721.88,47.0
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,
Zysk netto,,,11.07,-123.97,112.25,16.74,-87.62,717.72,54.02,486.58,502.32,-123.34,-598.73,43.17
Zysk netto akcjonariuszy jednostki dominującej,,,11.07,-123.97,111.6,23.29,-87.62,717.72,54.02,486.98,503.69,-132.39,-393.85,44.16
Aktywa trwałe,,-21.01,-25.74,-98.73,375.22,-99.44,2126133.4,39.86,-69.41,-8.76,1319.78,43.96,-45.99,-32.91
Wartości niematerialne i prawne,,-21.68,-25.35,-98.96,-72.83,-100.0,,1.73,-93.95,1.2,0.91,102.25,119.48,29.17
Rzeczowe składniki majątku trwałego,,225.71,-79.82,-43.48,-30.77,-100.0,,43.16,69.12,4508.26,2624.53,47.84,-58.86,-48.76
Należności długoterminowe,,,,,,,,-100.0,,,,,23.97,-11.59
Inwestycje długoterminowe,,,,,,-100.0,,2353700.0,-1.91,-55.89,469.99,-10.55,-29.41,-12.39
Pozostałe aktywa trwałe,,,85.71,-69.23,0.0,-62.5,0.0,29233.33,-92.95,158.06,1594.37,123.42,313.95,-12.54
Aktywa obrotowe,,682.22,-79.83,-25.35,654.72,420.0,432.21,-55.92,295.43,507.48,148.14,5.29,65.34,-9.12
Zapasy,,,,,,-100.0,,122.73,-31.34,13172.4,26.56,10.53,20.93,-54.26
Należności krótkoterminowe,,962.5,-51.76,-82.93,1871.43,907.25,499.06,-53.91,300.39,76.4,173.25,72.63,-31.34,-24.47
Inwestycje krótkoterminowe,,5180.0,-88.64,53.33,460.87,167.44,251.01,-85.3,871.63,698.03,398.79,-33.95,-65.56,-39.37
Środki pieniężne i inne aktywa pieniężne,,5180.0,-88.64,53.33,28.26,35.59,2262.5,-81.16,678.65,760.28,451.87,-53.35,-65.28,-82.53
Pozostałe aktywa obrotowe,,-90.62,-100.0,,,,,-100.0,,,,,,
