,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Period,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,68322.0,87902.0,137511.0,180280.0,317236.0,240731.0,259917.0,429018.0,390782.0,523336.0,581842.0,714547.0,563656.0,541053.0,677919.0,734770.0,720877.0,820921.0,750555.0,997503.0
Techniczny koszt wytworzenia produkcji sprzedanej,35454.0,53030.0,80095.0,116216.0,239380.0,137832.0,168904.0,283548.0,270861.0,361789.0,397270.0,539823.0,426667.0,387710.0,480492.0,507931.0,523825.0,580202.0,531852.0,721589.0
Koszty sprzedaży,11090.0,11170.0,16579.0,17171.0,22957.0,40368.0,24807.0,42462.0,44441.0,49208.0,61467.0,61423.0,55152.0,53738.0,77824.0,89263.0,91329.0,100707.0,109334.0,114302.0
Koszty ogólnego zarządu,15023.0,14416.0,22546.0,21327.0,36178.0,40093.0,41594.0,67048.0,68157.0,66739.0,72963.0,73152.0,71644.0,73593.0,74047.0,83109.0,71112.0,75494.0,76638.0,85629.0
Zysk ze sprzedaży,6755.0,9286.0,18291.0,25566.0,18721.0,22438.0,24612.0,35960.0,7323.0,45600.0,50142.0,40149.0,10193.0,26012.0,45556.0,54467.0,34611.0,64518.0,32731.0,75983.0
Pozostałe przychody operacyjne,3814.0,3028.0,3023.0,1565.0,1309.0,2998.0,1703.0,4056.0,10867.0,10769.0,8646.0,9490.0,19619.0,12554.0,7459.0,8208.0,17604.0,12315.0,8451.0,7888.0
Pozostałe koszty operacyjne,2958.0,1286.0,2855.0,661.0,2147.0,3248.0,2780.0,5490.0,17826.0,6934.0,9797.0,8460.0,11569.0,15716.0,10647.0,13537.0,18465.0,13451.0,13935.0,17813.0
Zysk operacyjny (EBIT),7611.0,11028.0,18459.0,26470.0,17883.0,22188.0,23535.0,34526.0,364.0,49435.0,48991.0,41179.0,18243.0,22850.0,42368.0,49138.0,33750.0,63382.0,27247.0,66058.0
Przychody finansowe,2727.0,2511.0,618.0,4119.0,1796.0,993.0,4241.0,11263.0,1900.0,2153.0,1420.0,1589.0,1557.0,2077.0,2564.0,2664.0,4193.0,1539.0,1184.0,2108.0
Koszty finansowe,758.0,1441.0,2249.0,3016.0,3042.0,3178.0,5991.0,8414.0,7986.0,5058.0,10545.0,8936.0,18084.0,17364.0,20251.0,18450.0,11468.0,15708.0,19668.0,24631.0
Pozostałe przychody (koszty),0.0,-593.0,221.0,0.0,3818.0,4429.0,5063.0,3797.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,9580.0,11505.0,17049.0,27573.0,20455.0,24432.0,26848.0,41172.0,-5543.0,46530.0,39866.0,33832.0,1716.0,7563.0,24681.0,33352.0,26475.0,49213.0,8763.0,43535.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,9580.0,11505.0,17049.0,27573.0,20455.0,24432.0,26848.0,41172.0,-5543.0,46530.0,39866.0,33832.0,1716.0,7563.0,24681.0,33352.0,26475.0,49213.0,8763.0,43535.0
Zysk (strata) netto z działalności zaniechanej,-7030.0,265.0,2684.0,0.0,0.0,815.0,4823.0,0.0,-4032.0,-4224.0,-3523.0,0.0,0.0,-5313.0,38514.0,-6369.0,-2928.0,0.0,-19981.0,-75566.0
Zysk netto,-1853.0,9590.0,16376.0,25110.0,17160.0,21000.0,25277.0,36950.0,-10936.0,34084.0,26397.0,26595.0,-5074.0,677.0,55680.0,18132.0,13264.0,34783.0,-8603.0,-50879.0
Zysk netto akcjonariuszy jednostki dominującej,-2731.0,9045.0,13453.0,23888.0,17029.0,20231.0,25427.0,28772.0,-11763.0,31949.0,21887.0,24423.0,-6467.0,505.0,56828.0,18585.0,15216.0,35978.0,-361.0,-44462.0
Aktywa trwałe,17859.0,21710.0,73468.0,244171.0,246219.0,284500.0,301724.0,350712.0,366265.0,373471.0,455041.0,486493.0,509172.0,512338.0,546315.0,583263.0,593884.0,590319.0,618771.0,538251.0
Wartości niematerialne i prawne,5493.0,10220.0,43844.0,159923.0,172348.0,193431.0,205394.0,282045.0,289252.0,306535.0,386751.0,399690.0,417340.0,431426.0,445347.0,455910.0,473688.0,481215.0,487844.0,417538.0
Rzeczowe składniki majątku trwałego,6951.0,6306.0,11486.0,11700.0,12293.0,18931.0,13963.0,46361.0,42639.0,45024.0,49669.0,62652.0,71627.0,69851.0,68843.0,90143.0,71263.0,72609.0,62181.0,62611.0
Należności długoterminowe,1862.0,1304.0,691.0,633.0,91.0,271.0,147.0,530.0,427.0,292.0,755.0,683.0,279.0,419.0,2805.0,2896.0,4322.0,2965.0,4331.0,3954.0
Inwestycje długoterminowe,2459.0,2868.0,15387.0,69744.0,56504.0,68530.0,76618.0,6665.0,3574.0,7354.0,7913.0,9030.0,8445.0,1730.0,1360.0,2367.0,20872.0,16831.0,10675.0,2738.0
Pozostałe aktywa trwałe,1094.0,1012.0,2060.0,2171.0,4983.0,3337.0,5602.0,15111.0,30373.0,14266.0,9953.0,14438.0,11481.0,8912.0,27960.0,31947.0,23739.0,16699.0,53740.0,51410.0
Aktywa obrotowe,53295.0,101942.0,124275.0,187180.0,207007.0,135770.0,158495.0,267238.0,240811.0,266515.0,348291.0,358991.0,311095.0,336431.0,388628.0,459743.0,402140.0,363222.0,423977.0,380246.0
Zapasy,6785.0,6211.0,18808.0,13438.0,12612.0,9090.0,12819.0,55186.0,52455.0,57928.0,52828.0,54490.0,50466.0,58841.0,87418.0,82751.0,97251.0,91110.0,118643.0,84378.0
Należności krótkoterminowe,35583.0,66621.0,78645.0,138419.0,165123.0,88715.0,105463.0,136408.0,104157.0,121778.0,179639.0,176715.0,165516.0,168637.0,197177.0,294815.0,226629.0,193983.0,194697.0,155920.0
Inwestycje krótkoterminowe,3917.0,22132.0,22305.0,25019.0,22795.0,30413.0,17136.0,48519.0,38528.0,29053.0,41001.0,83175.0,48035.0,39706.0,54489.0,55133.0,49098.0,29839.0,52513.0,88639.0
Środki pieniężne i inne aktywa pieniężne,3917.0,22132.0,22305.0,25019.0,22795.0,30413.0,17136.0,46007.0,34815.0,23149.0,37435.0,70831.0,37946.0,34963.0,53793.0,53088.0,46644.0,37218.0,52487.0,88611.0
Pozostałe aktywa obrotowe,7010.0,6978.0,4517.0,10304.0,6477.0,7552.0,23077.0,23976.0,17393.0,28956.0,34275.0,31920.0,37678.0,36526.0,42098.0,25632.0,28456.0,45874.0,57325.0,51309.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3149.0,28278.0,28800.0,40548.0,12691.0,9400.0,32721.0,7446.0,1412.0,706.0,2416.0,799.0,0.0
