,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Period,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,62237.0,46616.0,41630.0,16728.0,13880.0,15067.0,18735.0,20022.0,19924.0,21485.0,46834.0,18559.0,19080.0,17758.0,24089.0
Techniczny koszt wytworzenia produkcji sprzedanej,42270.0,24158.0,29721.0,30644.0,9429.0,3648.0,3499.0,2051.0,2522.0,4621.0,4357.0,3131.0,3022.0,2616.0,6680.0
Koszty sprzedaży,361.0,957.0,1999.0,1387.0,119.0,561.0,334.0,427.0,622.0,1011.0,347.0,270.0,303.0,121.0,42.0
Koszty ogólnego zarządu,43355.0,49983.0,46443.0,21465.0,26040.0,20377.0,20721.0,15431.0,15128.0,15328.0,17608.0,18504.0,17156.0,11186.0,0.0
Zysk ze sprzedaży,-23749.0,-28482.0,-36533.0,-36768.0,-21708.0,-9519.0,-5819.0,2113.0,1652.0,525.0,24522.0,-3346.0,-1401.0,3835.0,17367.0
Pozostałe przychody operacyjne,161881.0,18917.0,643.0,2303.0,-12693.0,115189.0,63991.0,8789.0,23156.0,-10595.0,40465.0,38562.0,36126.0,13644.0,2.0
Pozostałe koszty operacyjne,0.0,5325.0,246967.0,134423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0
Zysk operacyjny (EBIT),138132.0,-14890.0,-282857.0,-168888.0,-34401.0,105670.0,58172.0,10902.0,24808.0,-10070.0,64987.0,35216.0,34725.0,17479.0,17317.0
Przychody finansowe,14452.0,23965.0,5205.0,9040.0,909.0,9734.0,8626.0,8146.0,7966.0,1552.0,1621.0,1387.0,794.0,1002.0,601.0
Koszty finansowe,11494.0,6075.0,8964.0,5691.0,7042.0,10546.0,13380.0,16575.0,14415.0,8617.0,4775.0,12741.0,3736.0,891.0,3339.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,141090.0,3000.0,-286616.0,-165539.0,-40534.0,104858.0,53418.0,2473.0,18359.0,-17135.0,61833.0,23862.0,31783.0,17590.0,14579.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,141090.0,3000.0,-286616.0,-165539.0,-40534.0,104858.0,53418.0,2473.0,18359.0,-17135.0,61833.0,23862.0,31783.0,17590.0,14579.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25220.0,0.0
Zysk netto,109051.0,81847.0,-286198.0,-162844.0,-43061.0,103040.0,46348.0,-3856.0,2238.0,-1867.0,60000.0,16307.0,31173.0,-13290.0,20815.0
Zysk netto akcjonariuszy jednostki dominującej,109051.0,81847.0,-286198.0,-162844.0,-43061.0,103040.0,46348.0,-3856.0,2238.0,-1867.0,60000.0,16307.0,31173.0,-13290.0,20815.0
Aktywa trwałe,936605.0,813579.0,560844.0,439174.0,447304.0,585907.0,667182.0,592502.0,536455.0,256574.0,132856.0,193314.0,181654.0,5658.0,0.0
Wartości niematerialne i prawne,51866.0,49825.0,23062.0,137.0,108.0,92.0,60.0,30.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Rzeczowe składniki majątku trwałego,1224.0,1067.0,1032.0,978.0,853.0,914.0,964.0,829.0,734.0,512.0,364.0,212.0,103.0,0.0,0.0
Należności długoterminowe,0.0,553.0,45.0,0.0,0.0,0.0,0.0,365.0,931.0,550.0,263.0,263.0,494.0,0.0,0.0
Inwestycje długoterminowe,861876.0,754250.0,534441.0,438016.0,445983.0,584816.0,665606.0,591278.0,534787.0,255512.0,132229.0,192839.0,181057.0,5658.0,0.0
Pozostałe aktywa trwałe,21639.0,7884.0,2264.0,43.0,360.0,85.0,552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa obrotowe,159792.0,138178.0,116764.0,82677.0,27619.0,35149.0,44295.0,123473.0,224545.0,326194.0,393729.0,279032.0,93668.0,109868.0,70.0
Zapasy,93298.0,76300.0,66283.0,15496.0,7773.0,6525.0,5296.0,5468.0,5421.0,2915.0,3594.0,3601.0,3887.0,6631.0,0.0
Należności krótkoterminowe,16375.0,24572.0,23361.0,17186.0,7865.0,9854.0,9256.0,10229.0,7282.0,7981.0,8395.0,20035.0,3264.0,2899.0,59.0
Inwestycje krótkoterminowe,50119.0,37306.0,16249.0,27101.0,11981.0,18770.0,29743.0,93701.0,143303.0,102405.0,139035.0,170146.0,81773.0,76293.0,11.0
Środki pieniężne i inne aktywa pieniężne,50119.0,37306.0,16249.0,27101.0,11981.0,18770.0,26073.0,89999.0,143303.0,102405.0,139035.0,170146.0,81773.0,76293.0,11.0
Pozostałe aktywa obrotowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,10871.0,22894.0,0.0,0.0,0.0,14075.0,68539.0,212893.0,242705.0,85250.0,4744.0,24045.0,0.0
Aktywa razem,1096397.0,951757.0,677608.0,521851.0,474923.0,621056.0,711477.0,715975.0,761000.0,582768.0,526585.0,472346.0,275322.0,115526.0,70.0
Kapitał własny akcjonariuszy jednostki dominującej,774890.0,825480.0,543281.0,383621.0,329362.0,404493.0,450831.0,446903.0,471719.0,326879.0,343858.0,285048.0,144663.0,81129.0,-102.0
Kapitał (fundusz) podstawowy,1197085.0,3483.0,3407.0,3431.0,3460.0,3286.0,3286.0,3286.0,3935.0,3935.0,2637.0,2637.0,2637.0,897.0,897.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,-12300.0,0.0,0.0,0.0,0.0,-160110.0,-43010.0,-117396.0,-288973.0,-50010.0,-128103.0
Kapitał (fundusz) zapasowy,0.0,0.0,1161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389802.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,216373.0,103756.0,52467.0,121908.0,35879.0,129240.0,235126.0,190959.0,151893.0,99186.0,82909.0,27626.0,74412.0,9028.0,0.0
Z tytułu dostaw i usług,16954.0,18725.0,22627.0,13804.0,15370.0,15830.0,16712.0,35171.0,106722.0,101244.0,43626.0,51740.0,16694.0,23539.0,172.0
Kredyty i pożyczki,87859.0,3084.0,56602.0,2142.0,94045.0,71493.0,7529.0,7206.0,26902.0,4893.0,4573.0,101847.0,37309.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,1279.0,31131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inne zobowiązania długoterminowe,130264.0,25449.0,17221.0,10427.0,13468.0,32197.0,32541.0,20248.0,36283.0,19392.0,17445.0,19352.0,14232.0,8841.0,0.0
Zobowiązania krótkoterminowe,105134.0,22521.0,81860.0,16322.0,109682.0,87323.0,25520.0,78113.0,137388.0,156703.0,99818.0,159672.0,56247.0,25369.0,172.0
Inne zobowiązania krótkoterminowe,321.0,712.0,2631.0,376.0,267.0,0.0,0.0,4605.0,3764.0,50566.0,51619.0,6085.0,2244.0,1830.0,0.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,1096397.0,951757.0,677608.0,521851.0,474923.0,621056.0,711477.0,715975.0,761000.0,582768.0,526585.0,472346.0,275322.0,115526.0,70.0
Przepływy pieniężne z działalności operacyjnej,3169.0,-25083.0,-17653.0,-65664.0,-3946.0,-12636.0,-6583.0,8824.0,22636.0,-172.0,-37353.0,-24660.0,-5011.0,-5917.0,-6169.0
Amortyzacja,380.0,516.0,536.0,373.0,213.0,205.0,224.0,236.0,239.0,240.0,200.0,200.0,200.0,6.0,0.0
Przepływy pieniężne z działalności inwestycyjnej,-25153.0,34626.0,-5876.0,47718.0,3607.0,-16788.0,-21244.0,59975.0,82564.0,106578.0,121542.0,135130.0,100135.0,130141.0,62751.0
CAPEX (niematerialne i rzeczowe),550.0,543.0,5876.0,6632.0,9776.0,16547.0,29224.0,11461.0,8196.0,4019.0,2063.0,54.0,721.0,3621.0,0.0
Przepływy pieniężne z działalności finansowej,7030.0,-22356.0,2472.0,28798.0,-14781.0,36213.0,35130.0,-4873.0,-52344.0,-147304.0,-47559.0,-79369.0,-183382.0,-130092.0,-80943.0
Emisja akcji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,-14954.0,-12813.0,-21057.0,10852.0,-15120.0,6789.0,7303.0,63926.0,52856.0,-40898.0,36630.0,31101.0,-88258.0,-5868.0,-24361.0
