,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Period,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,138.5,151.96,75.14,92.09,31.39,9.2,-13.45,36.72,17.9,-0.85,-9.84,71.4,9.08,0.4
Techniczny koszt wytworzenia produkcji sprzedanej,,12.87,134.83,105.73,91.88,56.76,35.43,4.94,13.46,17.08,-16.45,-12.09,57.13,9.1,14.97
Koszty sprzedaży,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,231.64,195.24,13.67,92.84,-60.41,-366.55,-120.42,43.89,-12.16,115.01,81.82,352.19,8.92,-99.48
Pozostałe przychody operacyjne,,-100.0,,6660.0,73.37,73.38,17.52,-0.92,-28.06,54.52,-92.17,43.69,-72.97,2675.0,-78.38
Pozostałe koszty operacyjne,,-100.0,,0.0,-100.0,,-0.24,950.84,-92.56,1292.33,-89.14,-39.96,16.55,-12.75,143.19
Zysk operacyjny (EBIT),,229.71,195.69,39.19,89.53,-49.77,-229.34,-340.18,67.47,-131.31,103.2,318.57,388.91,32.45,-107.21
Przychody finansowe,,-100.0,,-80.77,560.0,360.61,-53.29,-76.06,-58.82,0.0,-28.57,-100.0,,364.29,-43.08
Koszty finansowe,,,650.0,-13.33,123.08,-51.72,-7.14,15.38,446.67,270.73,-76.64,-53.52,87.88,114.52,35.34
Pozostałe przychody (koszty),,,,,,,-100.0,,,,,,,,
Zysk z działalności gospodarczej,,229.88,199.54,37.41,90.59,18.79,-153.21,-351.81,66.7,-135.08,102.22,460.82,400.73,32.36,-109.53
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,229.88,199.54,37.41,90.59,18.79,-153.21,-351.81,66.7,-135.08,102.22,460.82,400.73,32.36,-109.53
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,
Zysk netto,,229.88,184.28,26.04,72.66,55.19,-155.54,-278.56,61.89,-123.22,103.12,411.06,216.57,34.35,-111.3
