,0,1,2,3,4,5,6
Period,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,0.0,3466.0,6986.0,37671.0,46128.0,54910.0,37500.0
Techniczny koszt wytworzenia produkcji sprzedanej,643.0,1079.0,6520.0,12160.0,15932.0,18659.0,20989.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,-643.0,2387.0,466.0,25511.0,30196.0,36251.0,16511.0
Pozostałe przychody operacyjne,0.0,55.0,9.0,0.0,15.0,18.0,216.0
Pozostałe koszty operacyjne,0.0,0.0,16.0,5.0,18.0,211.0,969.0
Zysk operacyjny (EBIT),-643.0,2442.0,459.0,25506.0,30193.0,36058.0,15758.0
Przychody finansowe,10.0,60.0,0.0,125.0,1233.0,4028.0,5377.0
Koszty finansowe,1.0,8.0,135.0,1159.0,37.0,491.0,408.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,-634.0,2494.0,324.0,24472.0,31389.0,39595.0,20727.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-634.0,2494.0,324.0,24472.0,31389.0,39595.0,20727.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,-634.0,2204.0,139.0,22409.0,29103.0,36459.0,18327.0
Zysk netto akcjonariuszy jednostki dominującej,-634.0,2204.0,139.0,22409.0,29103.0,36459.0,18327.0
Aktywa trwałe,409.0,409.0,233.0,3187.0,5377.0,9439.0,17808.0
Wartości niematerialne i prawne,404.0,404.0,0.0,14.0,877.0,1603.0,818.0
Rzeczowe składniki majątku trwałego,5.0,4.0,58.0,725.0,717.0,635.0,1212.0
Należności długoterminowe,0.0,0.0,0.0,0.0,3.0,3.0,3.0
Inwestycje długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,0.0,1.0,175.0,2448.0,3780.0,7198.0,15775.0
Aktywa obrotowe,2011.0,6863.0,7352.0,34695.0,68992.0,94289.0,84350.0
Zapasy,0.0,1977.0,0.0,0.0,0.0,0.0,0.0
Należności krótkoterminowe,353.0,1864.0,1160.0,6607.0,8836.0,8070.0,4890.0
Inwestycje krótkoterminowe,610.0,3022.0,6174.0,27977.0,59940.0,86041.0,79116.0
Środki pieniężne i inne aktywa pieniężne,610.0,3022.0,6170.0,27977.0,59706.0,5488.0,59630.0
Pozostałe aktywa obrotowe,1048.0,0.0,18.0,111.0,216.0,178.0,344.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,2420.0,7272.0,7585.0,37882.0,74369.0,103728.0,102158.0
Kapitał własny akcjonariuszy jednostki dominującej,2367.0,6673.0,7042.0,35481.0,71048.0,100022.0,97690.0
Kapitał (fundusz) podstawowy,647.0,679.0,679.0,679.0,679.0,679.0,699.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,2353.0,3790.0,3790.0,3502.0,3502.0,3428.0,6183.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,0.0,0.0,0.0,422.0,228.0,65.0,462.0
Z tytułu dostaw i usług,44.0,137.0,269.0,125.0,531.0,898.0,1264.0
Kredyty i pożyczki,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,111.0,156.0,162.0,259.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania krótkoterminowe,46.0,140.0,470.0,1832.0,2500.0,3418.0,3777.0
Inne zobowiązania krótkoterminowe,2.0,3.0,201.0,1596.0,1813.0,2358.0,2254.0
Rozliczenia międzyokresowe,7.0,459.0,73.0,147.0,593.0,223.0,229.0
Pasywa razem,2420.0,7272.0,7585.0,37882.0,74369.0,103728.0,102158.0
Przepływy pieniężne z działalności operacyjnej,-1951.0,442.0,5535.0,25078.0,35506.0,45426.0,23515.0
Amortyzacja,31.0,183.0,4608.0,1146.0,1598.0,1042.0,1313.0
Przepływy pieniężne z działalności inwestycyjnej,-40.0,-31.0,-2320.0,-3174.0,-3600.0,-84892.0,56002.0
CAPEX (niematerialne i rzeczowe),40.0,31.0,2320.0,3298.0,3671.0,5079.0,8910.0
Przepływy pieniężne z działalności finansowej,2600.0,2001.0,0.0,-148.0,-163.0,-14787.0,25560.0
Emisja akcji,2600.0,2001.0,0.0,0.0,0.0,0.0,2774.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,14608.0,27975.0
Przepływy pieniężne razem,609.0,2412.0,3215.0,21756.0,31743.0,-54253.0,105077.0
