,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Period,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,29943.0,31085.0,38451.0,61940.0,90027.0,105473.0,186913.0,99201.0,45004.0,82277.0,77585.0,69793.0,68410.0,65290.0,84732.0,85361.0,82225.0
Techniczny koszt wytworzenia produkcji sprzedanej,18800.0,19415.0,22614.0,35630.0,51855.0,61079.0,98234.0,60279.0,33732.0,51013.0,46440.0,41710.0,41466.0,38779.0,52468.0,50486.0,48622.0
Koszty sprzedaży,4239.0,5944.0,7690.0,18361.0,19520.0,23372.0,49425.0,27306.0,11187.0,25752.0,24511.0,23733.0,23488.0,20633.0,23588.0,25724.0,24338.0
Koszty ogólnego zarządu,4308.0,4334.0,4082.0,2618.0,5941.0,8628.0,16228.0,18594.0,9274.0,10488.0,9500.0,9008.0,9718.0,8977.0,8363.0,12643.0,14466.0
Zysk ze sprzedaży,2596.0,1392.0,4065.0,5331.0,12711.0,12394.0,23026.0,-6978.0,-9189.0,-4976.0,-2866.0,-4658.0,-6262.0,-3099.0,313.0,-3492.0,-5201.0
Pozostałe przychody operacyjne,376.0,947.0,363.0,792.0,843.0,1790.0,7136.0,2002.0,3672.0,649.0,3882.0,1385.0,19476.0,2769.0,1855.0,1650.0,1484.0
Pozostałe koszty operacyjne,515.0,510.0,1217.0,1025.0,787.0,448.0,11127.0,25524.0,4072.0,3467.0,9731.0,24076.0,47452.0,6974.0,2236.0,2472.0,1641.0
Zysk operacyjny (EBIT),2457.0,1829.0,3211.0,5098.0,12767.0,13736.0,19035.0,-30500.0,-9589.0,-7794.0,-8715.0,-27349.0,-34238.0,-7304.0,-68.0,-4314.0,-5358.0
Przychody finansowe,286.0,557.0,1386.0,3104.0,2572.0,6123.0,3514.0,14612.0,370.0,308.0,4797.0,225.0,637.0,1176.0,3946.0,3156.0,3302.0
Koszty finansowe,378.0,479.0,1135.0,2011.0,3288.0,4389.0,7015.0,45336.0,7250.0,17738.0,573.0,800.0,7529.0,6694.0,1965.0,4847.0,1890.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1489.0,-6267.0,7377.0,2590.0,3052.0,0.0,-121.0,-156.0,-237.0,-83.0
Zysk z działalności gospodarczej,2365.0,1907.0,3462.0,6191.0,12051.0,15470.0,15534.0,-62713.0,-22736.0,-17847.0,-1901.0,-24872.0,-41130.0,-12943.0,1757.0,-6242.0,-4029.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,2365.0,1907.0,3462.0,6191.0,12051.0,15470.0,15534.0,-62713.0,-22736.0,-17847.0,-1901.0,-24872.0,-41130.0,-12943.0,1757.0,-6242.0,-4029.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,1728.0,1420.0,2956.0,6130.0,14008.0,15405.0,12646.0,-63557.0,-22423.0,-17940.0,-2217.0,-24978.0,-40974.0,-12821.0,1678.0,-7039.0,-4544.0
Zysk netto akcjonariuszy jednostki dominującej,1728.0,1420.0,2956.0,6130.0,13711.0,15382.0,7818.0,-42427.0,-5157.0,-10990.0,-2021.0,-24982.0,-40535.0,-12665.0,1635.0,-6963.0,-4496.0
Aktywa trwałe,6575.0,8076.0,9568.0,23509.0,74215.0,88746.0,308993.0,142589.0,150601.0,141187.0,139301.0,73065.0,31336.0,29823.0,36247.0,43074.0,46786.0
Wartości niematerialne i prawne,544.0,660.0,608.0,5621.0,37736.0,39511.0,180818.0,7898.0,659.0,61821.0,62527.0,50600.0,12803.0,14085.0,15853.0,20555.0,21596.0
Rzeczowe składniki majątku trwałego,5957.0,7193.0,8155.0,10801.0,19335.0,20408.0,81986.0,36435.0,22928.0,27663.0,25744.0,21102.0,17510.0,14730.0,19264.0,21286.0,24306.0
Należności długoterminowe,0.0,139.0,590.0,5162.0,11396.0,21810.0,38027.0,0.0,0.0,0.0,172.0,240.0,177.0,235.0,49.0,52.0,52.0
Inwestycje długoterminowe,0.0,0.0,0.0,1020.0,1711.0,1711.0,1711.0,97081.0,74908.0,48695.0,49134.0,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,74.0,84.0,215.0,905.0,4037.0,5306.0,6451.0,1175.0,52106.0,3008.0,1724.0,1123.0,846.0,773.0,1081.0,1181.0,832.0
Aktywa obrotowe,13254.0,19752.0,41186.0,61556.0,85445.0,159257.0,178205.0,102713.0,76539.0,47022.0,35245.0,88433.0,71139.0,63917.0,63440.0,58901.0,47117.0
Zapasy,6536.0,9079.0,12161.0,23272.0,32961.0,37634.0,65396.0,28619.0,22568.0,25292.0,16984.0,17015.0,19523.0,15168.0,18587.0,26793.0,23713.0
Należności krótkoterminowe,5639.0,5158.0,7015.0,12945.0,20130.0,26005.0,54796.0,19645.0,25661.0,17793.0,15245.0,13371.0,12659.0,12864.0,14235.0,17161.0,13384.0
Inwestycje krótkoterminowe,1079.0,5515.0,20890.0,25279.0,31259.0,95618.0,58013.0,52943.0,24005.0,3327.0,2153.0,2346.0,38395.0,35885.0,30618.0,14947.0,10020.0
Środki pieniężne i inne aktywa pieniężne,1066.0,5515.0,20890.0,25279.0,31259.0,95618.0,58013.0,52943.0,24005.0,3327.0,2153.0,2346.0,7260.0,9737.0,2506.0,1292.0,3831.0
Pozostałe aktywa obrotowe,0.0,0.0,1120.0,60.0,1095.0,0.0,0.0,323.0,177.0,610.0,863.0,1166.0,562.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1183.0,4128.0,0.0,0.0,54535.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,19829.0,27828.0,50754.0,85065.0,159660.0,248003.0,487198.0,245302.0,227140.0,188209.0,174546.0,161498.0,102475.0,93740.0,99687.0,101975.0,93903.0
Kapitał własny akcjonariuszy jednostki dominującej,12933.0,18953.0,42806.0,66448.0,108530.0,172534.0,200694.0,96011.0,125936.0,102016.0,128889.0,111733.0,72162.0,62436.0,64852.0,60865.0,55256.0
Kapitał (fundusz) podstawowy,9877.0,11862.0,21862.0,24862.0,30562.0,31862.0,31862.0,31862.0,63724.0,63724.0,77205.0,77205.0,84205.0,84205.0,84205.0,84205.0,84205.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,673.0,3245.0,14237.0,13997.0,50639.0,117406.0,136697.0,103634.0,51365.0,46768.0,53351.0,51481.0,26373.0,92811.0,92811.0,92811.0,92811.0
Udziały niekontrolujące,2.0,2.0,2.0,2.0,-1167.0,19930.0,31323.0,71597.0,48209.0,42800.0,6793.0,6967.0,1656.0,880.0,851.0,496.0,412.0
Zobowiązania długoterminowe,855.0,792.0,740.0,5633.0,26853.0,28091.0,152162.0,25641.0,19005.0,12212.0,15162.0,12771.0,3432.0,5118.0,4412.0,4790.0,5462.0
Z tytułu dostaw i usług,4603.0,6821.0,6296.0,8286.0,15529.0,18625.0,32318.0,29553.0,17115.0,19168.0,12856.0,15323.0,13694.0,10496.0,13663.0,20648.0,17176.0
Kredyty i pożyczki,1199.0,1058.0,386.0,2942.0,7370.0,8381.0,60159.0,9958.0,0.0,0.0,1386.0,1743.0,0.0,0.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,135.0,141.0,135.0,1219.0,1283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1574.0,1273.0,1212.0,1279.0
Inne zobowiązania długoterminowe,150.0,243.0,336.0,2171.0,5941.0,10299.0,39131.0,10849.0,11126.0,12212.0,15162.0,12771.0,3432.0,2047.0,1594.0,1928.0,1827.0
Zobowiązania krótkoterminowe,6039.0,8081.0,7206.0,12982.0,25444.0,27448.0,103019.0,52053.0,33990.0,31181.0,23702.0,30027.0,25225.0,25306.0,29572.0,35824.0,32773.0
Inne zobowiązania krótkoterminowe,102.0,61.0,389.0,535.0,1262.0,442.0,10542.0,12542.0,16875.0,12013.0,9460.0,12961.0,11531.0,13236.0,14636.0,13964.0,14318.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
