,0,1,2,3,4,5,6,7,8,9,10,11,12
Period,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,60.0,1055.0,1402.0,601.0,1118.0,1747.0,1747.0,1731.0,3512.0,15722.0,30780.0,33350.0,25764.0
Techniczny koszt wytworzenia produkcji sprzedanej,331.0,705.0,2638.0,3504.0,7793.0,9321.0,10763.0,12796.0,14633.0,22259.0,37374.0,157430.0,37844.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,-271.0,350.0,-1236.0,-2903.0,-6675.0,-7574.0,-9016.0,-11065.0,-11121.0,-6537.0,-6594.0,-124080.0,-12080.0
Pozostałe przychody operacyjne,0.0,1.0,49.0,144.0,63.0,48.0,103.0,321.0,2540.0,406.0,931.0,-164.0,1190.0
Pozostałe koszty operacyjne,6.0,25.0,74.0,173.0,87.0,407.0,134.0,3119.0,2471.0,96.0,2.0,5249.0,9273.0
Zysk operacyjny (EBIT),-277.0,326.0,-1261.0,-2932.0,-6699.0,-7933.0,-9047.0,-13863.0,-11052.0,-6227.0,-5665.0,-129493.0,-20163.0
Przychody finansowe,0.0,2.0,6.0,6.0,146.0,365.0,181.0,177.0,89.0,49.0,513.0,1329.0,1242.0
Koszty finansowe,0.0,1.0,6.0,43.0,16.0,5.0,234.0,20.0,64.0,98.0,55.0,73.0,219.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,-277.0,327.0,-1261.0,-2969.0,-6569.0,-7573.0,-9100.0,-13706.0,-11027.0,-6276.0,-5207.0,-128237.0,-19140.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
