,0,1,2,3,4,5,6
Period,2016,2017,2018,2019,2020,2021,2022
Przychody ze sprzedaży,4104.0,6842.0,16543.0,24570.0,27526.0,79345.0,55367.0
Techniczny koszt wytworzenia produkcji sprzedanej,2743.0,5621.0,15456.0,20708.0,25301.0,67095.0,50778.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,1361.0,1221.0,1087.0,3862.0,2225.0,12250.0,4589.0
Pozostałe przychody operacyjne,25.0,166.0,243.0,71.0,997.0,600.0,267.0
Pozostałe koszty operacyjne,68.0,207.0,6.0,0.0,173.0,1402.0,161.0
Zysk operacyjny (EBIT),1318.0,1180.0,1324.0,3933.0,3049.0,11448.0,4695.0
Przychody finansowe,19.0,30.0,13.0,53.0,20.0,668.0,1371.0
Koszty finansowe,38.0,106.0,146.0,132.0,325.0,1880.0,2370.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,1299.0,1104.0,1191.0,3854.0,2744.0,10236.0,3696.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,1299.0,1104.0,1191.0,3854.0,2744.0,10236.0,3696.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,1050.0,885.0,968.0,3082.0,2101.0,8234.0,2990.0
Zysk netto akcjonariuszy jednostki dominującej,1050.0,885.0,968.0,3082.0,2101.0,8234.0,2990.0
Aktywa trwałe,898.0,2682.0,4987.0,5755.0,8836.0,9211.0,9324.0
Wartości niematerialne i prawne,45.0,28.0,11.0,0.0,158.0,6726.0,101.0
Rzeczowe składniki majątku trwałego,260.0,224.0,162.0,101.0,2213.0,2290.0,9028.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,0.0,0.0,578.0,582.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,593.0,2430.0,4236.0,5072.0,6465.0,195.0,195.0
Aktywa obrotowe,2808.0,3258.0,15087.0,15337.0,23056.0,74114.0,89946.0
Zapasy,0.0,0.0,1077.0,2051.0,2562.0,9426.0,11752.0
Należności krótkoterminowe,1262.0,326.0,11192.0,10590.0,9120.0,56466.0,65100.0
Inwestycje krótkoterminowe,1438.0,2817.0,2560.0,2545.0,9689.0,7669.0,12937.0
Środki pieniężne i inne aktywa pieniężne,1376.0,2739.0,2560.0,2545.0,9554.0,7669.0,12937.0
Pozostałe aktywa obrotowe,108.0,115.0,258.0,151.0,1685.0,553.0,157.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,3706.0,5940.0,20074.0,21092.0,31892.0,83325.0,99270.0
Kapitał własny akcjonariuszy jednostki dominującej,2197.0,3082.0,7136.0,10079.0,11620.0,20206.0,32519.0
Kapitał (fundusz) podstawowy,276.0,276.0,306.0,306.0,306.0,306.0,348.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,868.0,1921.0,5862.0,6691.0,9773.0,3029.0,12258.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,0.0,0.0,0.0,0.0,9144.0,35964.0,31265.0
Z tytułu dostaw i usług,41.0,41.0,0.0,0.0,1221.0,6793.0,10154.0
Kredyty i pożyczki,0.0,0.0,0.0,0.0,1733.0,1763.0,6680.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,686.0,919.0,624.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0,3637.0,7200.0
Zobowiązania krótkoterminowe,1230.0,1011.0,9394.0,5545.0,5155.0,27155.0,35486.0
Inne zobowiązania krótkoterminowe,1189.0,970.0,9394.0,5545.0,1515.0,17680.0,18028.0
Rozliczenia międzyokresowe,279.0,1847.0,3544.0,5468.0,5973.0,0.0,0.0
Pasywa razem,3706.0,5940.0,20074.0,21092.0,31892.0,83325.0,99270.0
Przepływy pieniężne z działalności operacyjnej,857.0,93.0,-4432.0,-2416.0,775.0,-20814.0,1228.0
Amortyzacja,42.0,172.0,142.0,76.0,735.0,757.0,780.0
Przepływy pieniężne z działalności inwestycyjnej,-256.0,-95.0,-652.0,-11.0,-39.0,-377.0,-554.0
CAPEX (niematerialne i rzeczowe),254.0,125.0,664.0,33.0,39.0,456.0,728.0
Przepływy pieniężne z działalności finansowej,525.0,1365.0,4905.0,2050.0,6727.0,19171.0,4593.0
Emisja akcji,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,1126.0,1363.0,-179.0,-377.0,7463.0,-2020.0,5267.0
