,0,1,2,3,4,5,6,7,8,9,10,11,12
Period,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,179356.0,162980.0,194506.0,251081.0,310440.0,258713.0,578992.0,837034.0,772119.0,1054978.0,1255783.0,1386848.0,1568829.0
Techniczny koszt wytworzenia produkcji sprzedanej,167290.0,154476.0,163940.0,218291.0,275264.0,213515.0,491271.0,743708.0,688799.0,917617.0,1090125.0,1182208.0,1343012.0
Koszty sprzedaży,329.0,1676.0,2134.0,3774.0,8849.0,17719.0,26393.0,27889.0,22757.0,34930.0,33913.0,45272.0,51097.0
Koszty ogólnego zarządu,5127.0,5538.0,5322.0,4482.0,6920.0,6086.0,10881.0,19038.0,17228.0,21088.0,31308.0,38958.0,46941.0
Zysk ze sprzedaży,6610.0,1290.0,23110.0,24534.0,19407.0,21393.0,50447.0,46399.0,43335.0,81343.0,100437.0,120410.0,127779.0
Pozostałe przychody operacyjne,919.0,10177.0,3396.0,2635.0,2673.0,15002.0,3648.0,26987.0,37749.0,20393.0,30305.0,19616.0,20044.0
Pozostałe koszty operacyjne,1069.0,2428.0,1484.0,1446.0,3087.0,5636.0,7012.0,21133.0,10125.0,20692.0,17754.0,19976.0,31947.0
Zysk operacyjny (EBIT),6460.0,9039.0,25022.0,25723.0,18993.0,30759.0,47083.0,52253.0,70959.0,81044.0,112988.0,120050.0,115876.0
Przychody finansowe,57.0,241.0,88.0,131.0,175.0,112.0,223.0,287.0,157.0,1825.0,2532.0,13597.0,35285.0
Koszty finansowe,3164.0,5211.0,3523.0,3346.0,3762.0,5544.0,6030.0,7323.0,8388.0,15796.0,25882.0,35760.0,34264.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,3353.0,4069.0,21587.0,22508.0,15406.0,25327.0,41276.0,45217.0,62728.0,67073.0,89638.0,97887.0,116897.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,3353.0,4069.0,21587.0,22508.0,15406.0,25327.0,41276.0,45217.0,62728.0,67073.0,89638.0,97887.0,116897.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,2561.0,3321.0,17788.0,18002.0,12406.0,22905.0,32979.0,33932.0,50788.0,52771.0,75756.0,78909.0,90366.0
Zysk netto akcjonariuszy jednostki dominującej,2561.0,3321.0,17788.0,18002.0,12406.0,22905.0,32979.0,33932.0,50788.0,52771.0,75798.0,78791.0,89332.0
Aktywa trwałe,37551.0,35375.0,46378.0,26556.0,84609.0,116128.0,162646.0,207758.0,239195.0,252569.0,279532.0,282275.0,294106.0
Wartości niematerialne i prawne,483.0,357.0,599.0,366.0,222.0,182.0,195.0,307.0,428.0,216.0,5750.0,6745.0,7122.0
Rzeczowe składniki majątku trwałego,17450.0,15798.0,10423.0,24446.0,80144.0,36145.0,53462.0,79957.0,81888.0,81796.0,122387.0,148754.0,148418.0
Należności długoterminowe,335.0,618.0,2191.0,434.0,2887.0,4037.0,3912.0,599.0,782.0,1737.0,13079.0,17583.0,6836.0
Inwestycje długoterminowe,16596.0,14721.0,29696.0,519.0,538.0,74464.0,100201.0,116872.0,148168.0,152685.0,106559.0,85098.0,96547.0
Pozostałe aktywa trwałe,2687.0,3881.0,3469.0,791.0,818.0,1300.0,4876.0,10023.0,7929.0,16135.0,31757.0,24095.0,35183.0
Aktywa obrotowe,80361.0,97847.0,125875.0,190295.0,243288.0,350667.0,388235.0,693059.0,715786.0,700928.0,1077617.0,1104504.0,1248691.0
