,0,1,2,3,4
Period,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,16.84,2753.71,7.59,18.71
Techniczny koszt wytworzenia produkcji sprzedanej,,60.41,743.78,60.01,14.61
Koszty sprzedaży,,,,,
Koszty ogólnego zarządu,,,,,
Zysk ze sprzedaży,,-150.79,1198.31,-71.59,53.62
Pozostałe przychody operacyjne,,-93.38,-65.0,-71.43,1800.0
Pozostałe koszty operacyjne,,-100.0,,4800.0,-56.12
Zysk operacyjny (EBIT),,-505.36,1247.8,-73.46,63.92
Przychody finansowe,,-100.0,,,-100.0
Koszty finansowe,,-77.78,11500.0,-99.57,48400.0
Pozostałe przychody (koszty),,,,,
Zysk z działalności gospodarczej,,-518.35,1191.89,-63.11,-2.99
Wynik zdarzeń nadzwyczajnych,,,,,
Zysk przed opodatkowaniem,,-518.35,1191.89,-63.11,-2.99
Zysk (strata) netto z działalności zaniechanej,,,,,
Zysk netto,,-530.19,1124.56,-69.63,-0.7
Zysk netto akcjonariuszy jednostki dominującej,,-530.19,1124.56,-69.63,-0.7
Aktywa trwałe,,,,70.75,34.26
Wartości niematerialne i prawne,,,,,
Rzeczowe składniki majątku trwałego,,,,24.58,-19.05
Należności długoterminowe,,,,,
Inwestycje długoterminowe,,,,,
Pozostałe aktywa trwałe,,,,258.62,-17.31
Aktywa obrotowe,,398.04,155.92,30.87,4.33
Zapasy,,175.3,57.07,27.57,126.87
Należności krótkoterminowe,,104.55,3366.67,92.82,-21.64
Inwestycje krótkoterminowe,,9111.11,175.63,12.69,-69.63
Środki pieniężne i inne aktywa pieniężne,,9111.11,175.63,12.69,-69.63
Pozostałe aktywa obrotowe,,,3550.0,-23.29,41.07
Aktywa trwałe przeznaczone do sprzedaży,,,,,
Aktywa razem,,398.04,160.04,31.5,4.95
Kapitał własny akcjonariuszy jednostki dominującej,,487.16,136.25,17.66,12.4
Kapitał (fundusz) podstawowy,,37.97,0.0,0.0,0.0
Udziały (akcje) własne,,,,,
Kapitał (fundusz) zapasowy,,243.68,0.0,111.62,8.08
Udziały niekontrolujące,,,,,
Zobowiązania długoterminowe,,,,,
Z tytułu dostaw i usług,,11.43,1400.0,238.29,-30.42
Kredyty i pożyczki,,,-100.0,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,
Inne zobowiązania długoterminowe,,,,,
Zobowiązania krótkoterminowe,,3.82,730.88,114.34,-25.68
Inne zobowiązania krótkoterminowe,,-4.17,492.39,-18.72,-4.51
Rozliczenia międzyokresowe,,0.0,4100.0,471.43,17.92
Pasywa razem,,398.04,160.04,31.5,4.95
Przepływy pieniężne z działalności operacyjnej,,-171.85,301.52,-72.48,-433.1
Amortyzacja,,37.5,1181.82,86.52,31.56
Przepływy pieniężne z działalności inwestycyjnej,,,-2254.55,-13.13,-53.24
CAPEX (niematerialne i rzeczowe),,,2254.55,13.13,53.24
Przepływy pieniężne z działalności finansowej,,667.62,-100.0,,
Emisja akcji,,676.71,-100.0,,
Dywidenda,,,,,
Przepływy pieniężne razem,,1130.82,77.73,-80.09,-718.1
