,0,1,2,3,4
Period,2019,2020,2021,2022,2023
Przychody ze sprzedaży,392.0,458.0,13070.0,14062.0,16693.0
Techniczny koszt wytworzenia produkcji sprzedanej,581.0,932.0,7864.0,12583.0,14421.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,-189.0,-474.0,5206.0,1479.0,2272.0
Pozostałe przychody operacyjne,302.0,20.0,7.0,2.0,38.0
Pozostałe koszty operacyjne,1.0,0.0,2.0,98.0,43.0
Zysk operacyjny (EBIT),112.0,-454.0,5211.0,1383.0,2267.0
Przychody finansowe,6.0,0.0,0.0,455.0,0.0
Koszty finansowe,9.0,2.0,232.0,1.0,485.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,109.0,-456.0,4979.0,1837.0,1782.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,109.0,-456.0,4979.0,1837.0,1782.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0
Zysk netto,106.0,-456.0,4672.0,1419.0,1409.0
Zysk netto akcjonariuszy jednostki dominującej,106.0,-456.0,4672.0,1419.0,1409.0
Aktywa trwałe,0.0,0.0,147.0,251.0,337.0
Wartości niematerialne i prawne,0.0,0.0,0.0,0.0,132.0
Rzeczowe składniki majątku trwałego,0.0,0.0,118.0,147.0,119.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,0.0,0.0,29.0,104.0,86.0
Aktywa obrotowe,716.0,3566.0,9126.0,11943.0,12460.0
Zapasy,676.0,1861.0,2923.0,3729.0,8460.0
Należności krótkoterminowe,22.0,45.0,1560.0,3008.0,2357.0
Inwestycje krótkoterminowe,18.0,1658.0,4570.0,5150.0,1564.0
Środki pieniężne i inne aktywa pieniężne,18.0,1658.0,4570.0,5150.0,1564.0
Pozostałe aktywa obrotowe,0.0,2.0,73.0,56.0,79.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0
Aktywa razem,716.0,3566.0,9273.0,12194.0,12797.0
Kapitał własny akcjonariuszy jednostki dominującej,584.0,3429.0,8101.0,9532.0,10714.0
Kapitał (fundusz) podstawowy,79.0,109.0,109.0,109.0,109.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,-228.0
Kapitał (fundusz) zapasowy,1099.0,3777.0,3777.0,7993.0,8639.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0
Z tytułu dostaw i usług,35.0,39.0,585.0,1979.0,1377.0
Kredyty i pożyczki,0.0,5.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0
Zobowiązania krótkoterminowe,131.0,136.0,1130.0,2422.0,1800.0
Inne zobowiązania krótkoterminowe,96.0,92.0,545.0,443.0,423.0
Rozliczenia międzyokresowe,1.0,1.0,42.0,240.0,283.0
Pasywa razem,716.0,3566.0,9273.0,12194.0,12797.0
Przepływy pieniężne z działalności operacyjnej,-579.0,-1574.0,3172.0,873.0,-2908.0
Amortyzacja,8.0,11.0,141.0,263.0,346.0
Przepływy pieniężne z działalności inwestycyjnej,0.0,-11.0,-259.0,-293.0,-449.0
CAPEX (niematerialne i rzeczowe),0.0,11.0,259.0,293.0,449.0
Przepływy pieniężne z działalności finansowej,420.0,3224.0,0.0,0.0,-228.0
Emisja akcji,425.0,3301.0,0.0,0.0,228.0
Dywidenda,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,-159.0,1639.0,2913.0,580.0,-3585.0
