,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Period,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,20.41,0.56,-20.3,-27.07,13.74,45.72,-20.56,15.95,15.29,27.52,21.83,17.74,0.47,9.22,4.54,27.5,5.41
Techniczny koszt wytworzenia produkcji sprzedanej,,9.82,-7.13,3.08,-26.46,2.52,64.4,-19.79,21.74,10.76,25.95,15.53,17.65,-3.1,6.42,2.92,30.75,4.31
Koszty sprzedaży,,3.23,34.13,-25.78,18.19,34.17,9.99,3.27,-0.77,14.69,3.82,32.48,11.21,-6.77,-5.63,9.18,14.13,0.62
Koszty ogólnego zarządu,,39.73,7.31,-30.39,0.11,2.29,5.12,-8.6,11.71,3.56,21.07,27.31,21.32,10.63,9.2,14.44,24.03,6.56
Zysk ze sprzedaży,,48.85,12.66,-59.08,-48.49,84.77,6.98,-37.22,-12.97,68.37,50.39,50.55,18.68,13.62,21.88,6.09,21.02,9.29
Pozostałe przychody operacyjne,,-28.93,63.49,8.85,-26.01,-24.31,-1.87,151.19,50.16,-75.31,-15.77,178.46,-62.36,181.1,-52.85,30.11,221.0,35.46
Pozostałe koszty operacyjne,,49.99,12.61,-29.95,-49.82,85.92,-22.37,20.63,-2.1,-3.6,2.85,91.29,-28.29,48.92,11.52,-2.91,61.28,-4.5
Zysk operacyjny (EBIT),,46.07,13.53,-59.37,-46.88,74.73,10.01,-35.31,-6.01,48.45,52.86,50.3,19.81,13.71,20.45,6.93,21.42,11.3
Przychody finansowe,,62.67,4.03,-74.06,62.98,27.29,4.67,-62.95,124.63,-65.04,23.7,26.95,-13.26,63.75,-25.55,87.52,277.18,-1.15
Koszty finansowe,,-48.56,117.79,178.72,-3.44,-47.38,-0.96,-9.52,-14.74,-27.16,-17.16,-28.31,-8.62,122.86,136.08,25.7,-11.15,-34.79
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,49.23,12.16,-64.12,-49.29,101.24,10.41,-38.51,-0.51,44.9,54.95,51.53,19.65,13.39,18.14,7.09,26.42,11.83
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,49.23,12.16,-64.12,-49.29,101.24,10.41,-38.51,-0.51,44.9,54.95,51.53,19.65,13.39,18.14,7.09,26.42,11.83
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,
Zysk netto,,48.41,11.77,-64.24,-49.53,102.87,11.09,-40.22,2.56,44.44,55.69,51.68,18.99,12.77,18.06,7.61,26.15,12.17
Zysk netto akcjonariuszy jednostki dominującej,,48.41,11.78,-64.24,-49.61,104.53,10.35,-40.33,2.27,45.01,55.65,51.75,19.06,12.77,18.06,8.23,25.41,12.18
Aktywa trwałe,,28.36,-4.51,-53.59,136.35,-67.26,9.74,-9.07,75.59,42.28,9.62,50.1,62.22,37.86,2.78,55.73,59.09,-10.63
Wartości niematerialne i prawne,,-3.15,92.36,-47.28,18.83,41.31,0.58,-1.82,118.08,35.13,11.96,166.22,-0.84,37.39,25.32,13.25,1.69,-1.58
Rzeczowe składniki majątku trwałego,,18.31,3.57,-19.55,-15.47,2.21,12.62,-11.64,34.03,11.87,7.74,38.97,14.21,266.09,-13.37,-7.52,33.59,31.91
Należności długoterminowe,,2.31,87.5,-16.22,547.7,-89.94,5.73,-4.65,1.56,-6.33,4.92,0.88,0.37,15.95,-6.13,552.98,-23.32,-17.06
Inwestycje długoterminowe,,21.76,2.54,-3.43,64.4,-100.0,,-76.32,29288.89,151.46,11.46,-8.71,-100.0,,,,,2.67
Pozostałe aktywa trwałe,,43.06,-27.03,-99.16,-100.0,,,,,,,,1709.07,-66.37,49.42,231.68,75.68,-42.73
Aktywa obrotowe,,35.65,41.74,-10.04,2.05,19.23,-8.23,-1.72,-7.45,8.86,12.83,20.59,5.48,16.19,10.04,18.38,4.49,11.94
Zapasy,,44.97,69.09,-10.49,-14.26,31.0,-10.93,3.14,-8.54,20.07,1.96,31.94,6.26,18.74,-3.43,24.83,13.81,11.45
Należności krótkoterminowe,,8.4,-15.77,-50.19,58.22,12.61,-43.21,54.85,-87.21,396.81,-66.05,321.51,33.93,18.6,87.91,-42.6,34.4,-2.64
Inwestycje krótkoterminowe,,9.67,-18.8,3.2,88.3,-12.52,8.01,-20.28,7.76,-36.12,93.92,-24.23,-4.16,-0.78,102.01,5.26,-40.95,2.13
Środki pieniężne i inne aktywa pieniężne,,21.08,-18.8,3.2,88.3,-12.52,-53.74,83.18,-1.21,-30.38,86.93,-32.5,1.02,-10.33,131.2,3.65,-49.88,-5.9
Pozostałe aktywa obrotowe,,,-75.98,-21.47,-31.45,287.74,-45.51,-43.61,-20.81,-17.25,3.71,-100.0,,-6.7,4.83,-0.65,45.9,924.73
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,
Aktywa razem,,35.52,40.93,-10.56,2.88,18.0,-8.16,-1.75,-7.09,9.13,12.8,20.89,6.21,16.62,9.87,19.19,6.04,10.98
Kapitał własny akcjonariuszy jednostki dominującej,,41.53,-1.82,9.57,3.29,8.04,6.86,-4.03,0.17,2.92,5.19,7.83,4.41,3.6,6.75,7.17,13.93,2.56
Kapitał (fundusz) podstawowy,,2.12,0.0,0.0,0.0,0.0,0.63,0.15,0.07,0.0,0.04,0.35,0.4,0.4,0.6,0.71,0.59,0.59
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,36.63,42.61,2.74,10.58,2.57,6.83,0.09,0.01,0.01,3.42,1.28,0.52,-0.36,9.75,2.22,5.62,10.9
