,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Period,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,477.5,296.91,-16.65,37.3,-6.06,20.22,18.61,71.51,25.36,21.6,29.09,12.82,2.83,-36.88,76.35,17.1,50.56
Techniczny koszt wytworzenia produkcji sprzedanej,,329.05,410.48,-25.63,57.56,3.92,27.6,19.97,61.57,23.58,21.82,31.3,11.41,0.6,-33.19,89.11,12.09,59.11
Koszty sprzedaży,,,,-56.41,-24.81,91.34,109.1,-6.06,40.19,29.36,7.01,11.58,13.65,-6.87,-13.06,35.25,21.59,24.3
Koszty ogólnego zarządu,,138.9,-15.17,-42.78,21.0,13.32,9.16,17.99,7.76,41.19,16.52,31.1,-1.22,10.43,-24.31,60.5,8.88,108.28
Zysk ze sprzedaży,,143.65,1838.16,14.94,19.66,-28.46,-1.31,19.53,125.7,26.33,23.41,25.74,18.11,6.9,-47.12,53.49,33.17,21.44
Pozostałe przychody operacyjne,,18158.1,-5.81,-166.79,135.72,177.75,-71.13,67.86,-10.74,-34.74,62.4,-398.23,114.37,-614.99,-141.84,105.02,4.19,-220.23
Pozostałe koszty operacyjne,,2571.72,306.26,-87.62,144.25,17.89,-57.78,-88.45,56.87,162.69,-51.39,88.39,133.23,-38.2,-32.05,35.86,38.63,-32.25
Zysk operacyjny (EBIT),,2666.07,-17.68,-147.38,239.26,52.62,-46.48,62.54,62.36,8.69,31.88,-56.19,184.93,-32.11,-141.94,403.51,31.64,13.9
Przychody finansowe,,692.95,-79.25,19.16,109.13,-32.64,259.28,-71.94,-42.98,4.06,-3.33,847.34,-86.28,158.94,-85.45,-28.62,575.79,228.51
Koszty finansowe,,143.84,353.87,-85.51,-34.53,593.73,-78.27,50.43,326.31,-28.65,69.38,-42.76,81.76,-36.05,71.27,-70.95,40.17,-10.96
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,-2.99,-80.11
Zysk z działalności gospodarczej,,2198.76,-59.72,-190.85,249.77,2.76,0.96,11.62,18.0,25.91,20.59,-33.02,98.13,-25.13,-189.03,249.99,35.47,24.81
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,2198.76,-59.72,-190.85,249.77,2.76,0.96,11.62,18.0,25.91,20.59,-33.02,98.13,-25.13,-189.03,249.99,35.47,24.81
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,
Zysk netto,,2031.48,-60.8,-204.96,215.37,22.67,13.94,4.17,3.69,42.73,3.85,-29.07,99.88,-26.81,-218.25,210.91,50.59,18.79
Zysk netto akcjonariuszy jednostki dominującej,,2031.48,-61.47,-209.99,209.8,23.73,15.23,4.17,3.69,42.73,3.85,-29.07,99.88,-26.81,-218.25,210.91,50.59,18.89
Aktywa trwałe,,101.24,16.84,-33.27,7.88,34.71,22.99,86.22,9.22,10.86,8.68,-0.01,6.55,-39.67,-14.66,-50.13,-53.05,75.21
Wartości niematerialne i prawne,,7350.0,127.29,-25.79,-30.64,-34.61,1.46,7.2,-21.77,-8.25,62.55,4.15,-15.49,-12.57,20.96,7.18,160.28,6256.08
Rzeczowe składniki majątku trwałego,,-75.42,87.38,-99.12,-31.81,38.01,20.99,270.17,0.11,22.41,-7.68,7.76,-2.04,4.71,-23.47,12.96,16.89,74.68
Należności długoterminowe,,,,,,,1351.27,-93.53,235.17,1.02,2.45,62.48,9.12,-31.77,3.61,-71.42,275.54,22.58
Inwestycje długoterminowe,,,7.44,-17.24,7.63,33.58,16.92,96.12,9.1,10.81,9.36,-0.31,6.62,-41.25,-14.15,-50.16,-57.88,42.24
Pozostałe aktywa trwałe,,88.57,-39.75,-44.02,125.78,133.13,131.37,-4.12,-3.84,17.02,-43.72,6.13,-1.83,199.21,-35.03,-54.09,55.72,110.66
Aktywa obrotowe,,321.34,3.77,-14.64,-6.65,3.01,6.81,7.63,9.66,7.36,13.6,8.05,10.82,31.48,-12.28,54.57,-0.81,24.93
Zapasy,,342.22,30.31,-21.56,-2.93,-3.26,8.62,2.58,1.1,13.82,6.53,10.55,0.12,8.47,17.32,25.98,5.58,33.56
Należności krótkoterminowe,,619.25,-23.62,-88.66,8.81,195.53,20.69,50.93,-40.64,61.17,-29.14,23.49,68.25,135.95,-78.44,259.79,-76.65,954.51
Inwestycje krótkoterminowe,,284.33,-67.54,132.5,-22.69,24.46,-2.51,22.86,52.0,-13.25,42.36,0.23,35.12,-24.85,32.27,-1.38,0.68,40.86
Środki pieniężne i inne aktywa pieniężne,,284.33,-67.54,-31.65,162.89,24.47,-4.49,24.37,50.5,-15.48,46.58,-2.99,35.86,-27.11,10.6,-11.74,5.82,41.7
Pozostałe aktywa obrotowe,,213.19,-24.49,-68.35,-6.97,71.37,44.47,83.63,50.1,29.7,122.2,50.99,-20.95,-52.16,23.42,82.96,-18.45,714.68
Aktywa trwałe przeznaczone do sprzedaży,,-100.0,,,,,,,,,,,,,-100.0,,-5.92,-63.67
Aktywa razem,,200.9,8.55,-21.98,-1.75,14.73,13.84,44.51,9.4,9.47,10.59,3.21,8.33,-9.25,-13.18,15.4,-9.26,29.13
Kapitał własny akcjonariuszy jednostki dominującej,,208.57,4.68,-4.8,5.54,6.5,7.34,9.79,5.94,8.72,2.31,3.74,3.41,-0.38,-11.68,6.27,2.44,7.83
Kapitał (fundusz) podstawowy,,199.45,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,3020.84,38.32,2.45,-12.91,14.84,21.88,26.92,10.2,10.51,3.38,10.19,-3.34,4.19,8.83,-20.82,-5.47,9.07
Udziały niekontrolujące,,,,5.25,3.75,2.52,-100.0,,,,,,,,,,,343.06
Zobowiązania długoterminowe,,129.34,12.58,-39.46,-3.74,53.6,35.27,93.62,12.94,2.18,4.04,-5.55,15.25,-14.87,-35.64,-13.19,-16.33,47.25
Z tytułu dostaw i usług,,21.65,31.95,-71.16,33.12,111.96,60.19,51.93,-12.52,23.71,6.96,31.73,19.95,-10.51,-23.76,153.65,-20.81,37.79
