,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Period,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,5955.0,34390.0,136498.0,113765.0,156202.0,146736.0,176401.0,209221.0,358843.0,449861.0,547036.0,706187.0,796734.0,819264.0,517114.0,911934.0,1067919.0,1607825.0
Techniczny koszt wytworzenia produkcji sprzedanej,3415.0,14652.0,74796.0,55624.0,87643.0,91082.0,116222.0,139437.0,225290.0,278423.0,339180.0,445360.0,496158.0,499152.0,333496.0,630666.0,706894.0,1124726.0
Koszty sprzedaży,0.0,0.0,5816.0,2535.0,1906.0,3647.0,7626.0,7164.0,10043.0,12992.0,13903.0,15513.0,17631.0,16419.0,14275.0,19307.0,23475.0,29180.0
Koszty ogólnego zarządu,7378.0,17626.0,14952.0,8556.0,10353.0,11732.0,12807.0,15111.0,16284.0,22991.0,26788.0,35120.0,34690.0,38308.0,28996.0,46540.0,50672.0,105542.0
Zysk ze sprzedaży,-4838.0,2112.0,40934.0,47050.0,56300.0,40275.0,39746.0,47509.0,107226.0,135455.0,167165.0,210194.0,248255.0,265385.0,140347.0,215421.0,286878.0,348377.0
Pozostałe przychody operacyjne,747.0,136388.0,128469.0,-85803.0,30651.0,85132.0,24574.0,41249.0,36818.0,24027.0,39019.0,-116367.0,16725.0,-86132.0,-208304.0,10454.0,10892.0,-13095.0
Pozostałe koszty operacyjne,640.0,17099.0,69466.0,8601.0,21008.0,24767.0,10456.0,1208.0,1895.0,4978.0,2420.0,4559.0,10633.0,6571.0,4465.0,6066.0,8409.0,5697.0
Zysk operacyjny (EBIT),-4731.0,121401.0,99937.0,-47354.0,65943.0,100640.0,53864.0,87550.0,142149.0,154504.0,203764.0,89268.0,254347.0,172682.0,-72422.0,219809.0,289361.0,329585.0
Przychody finansowe,2966.0,23519.0,4881.0,5816.0,12163.0,8193.0,29436.0,8260.0,4710.0,4901.0,4738.0,44885.0,6159.0,15948.0,2320.0,1656.0,11191.0,36763.0
Koszty finansowe,4605.0,11229.0,50965.0,7385.0,4835.0,33542.0,7289.0,10965.0,46745.0,33353.0,56493.0,32336.0,58773.0,37584.0,64371.0,18699.0,26210.0,23338.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1069.0,-1101.0,-1983.0
Zysk z działalności gospodarczej,-6370.0,133691.0,53853.0,-48923.0,73271.0,75291.0,76011.0,84845.0,100114.0,126052.0,152009.0,101817.0,201733.0,151046.0,-134473.0,201697.0,273241.0,341027.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-6370.0,133691.0,53853.0,-48923.0,73271.0,75291.0,76011.0,84845.0,100114.0,126052.0,152009.0,101817.0,201733.0,151046.0,-134473.0,201697.0,273241.0,341027.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,-5514.0,106502.0,41744.0,-43814.0,50548.0,62009.0,70654.0,73602.0,76320.0,108932.0,113124.0,80240.0,160380.0,117382.0,-138800.0,153946.0,231831.0,275385.0
Zysk netto akcjonariuszy jednostki dominującej,-5514.0,106502.0,41034.0,-45134.0,49557.0,61318.0,70654.0,73602.0,76320.0,108932.0,113124.0,80240.0,160380.0,117382.0,-138800.0,153946.0,231832.0,275623.0
Aktywa trwałe,279510.0,562496.0,657216.0,438591.0,473147.0,637357.0,783886.0,1459758.0,1594368.0,1767528.0,1920925.0,1920718.0,2046472.0,1234709.0,1053680.0,525450.0,246685.0,432208.0
