,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Period,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,12.41,-18.64,62.26,-9.21,-1.78,-38.29,-3.86,80.84,-24.09,-10.99,-3.64,-1.21,1.84,3.89,103.22,21.93,7.95,31.61,17.27
Techniczny koszt wytworzenia produkcji sprzedanej,,75.48,-28.51,53.82,-10.35,13.36,2.61,-37.7,57.19,-33.47,-6.69,-18.71,-7.75,20.75,37.25,5.53,15.1,22.24,57.34,27.16
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,3.56,-1.36,7.28,36.52,-3.53,-74.8,66.87,1.74,-23.65,-11.66,-1.58,-28.22,14.5,79.9,57.26,1.15,15.1,16.05,14.89
Zysk ze sprzedaży,,-695.0,22.13,52.5,-157.81,-37.05,-4.02,56.56,102.32,2029.17,-39.33,150.65,53.8,-44.44,-234.04,418.54,48.25,-12.73,-0.44,-6.82
Pozostałe przychody operacyjne,,,,,-48.86,69.01,58.22,-50.3,4976.2,-85.1,1.91,-47.29,-53.67,-26.18,218.51,340.14,-81.61,182.28,112.58,-21.4
Pozostałe koszty operacyjne,,,,,-4.42,-82.87,837.84,34.58,180.09,-59.63,-75.76,104.69,102.29,-27.17,189.38,-89.97,2632.14,-79.12,-16.9,-50.85
Zysk operacyjny (EBIT),,-969.87,-40.98,88.91,-501.92,-14.19,-5.24,42.58,1929.61,-84.22,8.28,-34.92,-34.33,-40.88,-119.39,6621.69,-75.68,174.78,66.72,-15.69
Przychody finansowe,,600.0,2133.33,-19.4,-74.93,-60.69,12.08,238.32,-16.64,238.85,-82.77,-48.36,64.08,56.22,88.74,-97.38,-88.89,0.0,2400.0,-34.0
Koszty finansowe,,38.82,-5.93,1890.09,-61.25,31.19,-77.74,1792.8,-69.42,-100.0,,-98.15,853.12,-93.77,452.63,1133.33,21.62,-49.52,129.43,7.24
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,-643.67,65.47,-62.93,-113.78,-35.16,28.79,-166.41,459.11,-74.94,-59.03,19.58,-40.56,-12.72,-65.36,2195.43,-88.9,507.74,59.7,-19.84
Wynik zdarzeń nadzwyczajnych,,,,,,,,,-100.0,,,,,,,,,,,
Zysk przed opodatkowaniem,,-643.67,65.47,-62.93,-113.78,-35.16,28.79,-129.17,517.47,-74.94,-59.03,19.58,-40.56,-12.72,-65.36,2195.43,-88.9,507.74,59.7,-19.84
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,
Zysk netto,,-646.02,63.94,-57.57,-113.78,-35.16,22.15,-108.58,376.04,-67.4,-46.16,-35.67,-19.2,-16.25,75.0,450.33,-95.41,1089.74,30.31,-1.65
Zysk netto akcjonariuszy jednostki dominującej,,-667.26,65.4,-59.67,-113.78,-35.16,22.15,-89.61,418.38,-67.44,-48.58,-35.67,-19.2,-16.25,75.0,450.33,-95.41,1089.74,30.31,-1.65
