,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Period,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,13.07,16.17,9.55,23.88,3.99,-9.37,7.7,-0.07,16.91,1.29,10.84,26.89,10.82,16.69,41.99,59.98
Techniczny koszt wytworzenia produkcji sprzedanej,,9.68,12.56,6.93,26.29,2.23,-10.98,6.85,13.37,4.35,-1.78,18.54,22.99,12.33,16.42,53.45,59.53
Koszty sprzedaży,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,220.92,91.7,41.71,1.59,24.23,5.91,14.52,-99.93,152040.34,26.75,-38.73,75.39,-2.32,19.4,-70.16,82.83
Pozostałe przychody operacyjne,,17.23,-2.86,7.24,171.4,-52.72,15.65,-8.01,-13.87,45.34,-1.56,72.88,30.58,-1092.95,107.22,-6.22,23.69
Pozostałe koszty operacyjne,,51.07,1.14,21.54,16.65,42.09,10.38,-60.73,168.06,-0.16,-15.2,-23.97,-12.0,17.09,-26.76,75.49,71.26
Zysk operacyjny (EBIT),,201.58,101.15,40.81,18.82,0.07,5.96,32.27,-113.66,790.4,32.91,-30.29,79.01,-191.91,221.16,-72.03,65.27
Przychody finansowe,,106.46,83.45,-17.54,31.02,-19.24,-40.7,-7.9,4.09,-9.64,83.0,-43.64,-18.57,-15.24,130.2,76.59,0.73
Koszty finansowe,,163.89,-35.48,24.18,14.35,79.44,-46.73,179.96,-34.85,55.36,34.39,77.5,45.84,-21.62,-37.98,28.78,75.85
Pozostałe przychody (koszty),,,2339.86,-82.56,238.65,-148.48,111.44,181.57,-26881.01,100.06,6527.03,469.45,-1187.72,0.36,129.24,-239.66,-385.46
Zysk z działalności gospodarczej,,169.39,122.53,24.52,21.63,-8.18,3.58,21.52,-135.78,361.33,37.22,-40.77,0.3,-398.82,182.76,-87.22,-284.49
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,169.39,122.53,24.52,21.63,-8.18,3.58,21.52,-135.78,361.33,37.22,-40.77,0.3,-398.82,182.76,-87.22,-284.49
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,
Zysk netto,,-58.72,138.48,24.49,23.95,-10.21,0.53,27.09,-143.88,312.83,37.22,-38.26,-24.82,-513.23,179.96,-93.34,-472.2
Zysk netto akcjonariuszy jednostki dominującej,,-58.7,138.48,24.47,24.09,-9.59,-0.26,26.97,-147.87,280.38,36.43,-35.83,-38.37,-636.01,174.0,-97.3,-1654.63
Aktywa trwałe,,3.18,2.08,4.34,12.51,12.01,12.33,15.96,26.91,7.05,13.31,4.33,3.28,-8.51,2.62,3.69,-6.58
Wartości niematerialne i prawne,,-3.63,46.5,129.18,-1.46,58.16,1.21,39.35,-9.64,28.67,17.57,3.25,-29.92,-5.19,-2.55,0.5,-4.05
Rzeczowe składniki majątku trwałego,,0.94,1.46,3.08,9.25,15.23,12.93,16.0,24.62,7.66,11.07,2.99,5.53,-11.52,1.86,4.91,-8.96
Należności długoterminowe,,1695.35,-42.57,-87.37,41.07,58.65,946.01,427.31,36.57,8.36,0.13,-24.32,-10.3,249.41,2.91,-82.16,-43.01
Inwestycje długoterminowe,,691.43,15.43,7.65,128.41,-51.87,-66.34,-24.67,91.84,64.89,116.26,68.26,-40.67,-47.86,98.09,-2.03,-36.32
Pozostałe aktywa trwałe,,,,,,,,-9.47,269.39,-34.71,54.68,0.75,14.0,102.24,-2.54,-6.23,41.83
