,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Period,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,5445804.0,6157762.0,7153509.0,7836875.0,9708512.0,10096032.0,9150520.0,9855395.0,9848392.0,11513305.0,11661269.0,12925848.0,16401298.0,18176505.0,21210647.0,30117852.0,48183419.0
Techniczny koszt wytworzenia produkcji sprzedanej,5358196.0,5876612.0,6614541.0,7073122.0,8932583.0,9132096.0,8129628.0,8686232.0,9847579.0,10276404.0,10093458.0,11965194.0,14716400.0,16530760.0,19245575.0,29531508.0,47111418.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,87608.0,281150.0,538968.0,763753.0,775929.0,963936.0,1020892.0,1169163.0,813.0,1236901.0,1567811.0,960654.0,1684898.0,1645745.0,1965072.0,586344.0,1072001.0
Pozostałe przychody operacyjne,69020.0,80914.0,78599.0,84292.0,228768.0,108159.0,125087.0,115066.0,99102.0,144038.0,141790.0,245122.0,320076.0,-3178180.0,229612.0,215329.0,266337.0
Pozostałe koszty operacyjne,73280.0,110705.0,111962.0,136081.0,158736.0,225548.0,248954.0,97754.0,262040.0,261625.0,221871.0,168690.0,148454.0,173824.0,127317.0,223433.0,382659.0
Zysk operacyjny (EBIT),83348.0,251359.0,505605.0,711964.0,845961.0,846547.0,897025.0,1186475.0,-162125.0,1119314.0,1487730.0,1037086.0,1856520.0,-1706259.0,2067367.0,578240.0,955679.0
Przychody finansowe,44982.0,92871.0,170370.0,140493.0,184070.0,148646.0,88144.0,81178.0,84497.0,76350.0,139718.0,78743.0,64121.0,54346.0,125106.0,220929.0,222548.0
Koszty finansowe,19394.0,51178.0,33020.0,41003.0,46887.0,84133.0,44821.0,125483.0,81751.0,127010.0,170689.0,302980.0,441858.0,346336.0,214803.0,276630.0,486445.0
Pozostałe przychody (koszty),0.0,414.0,10101.0,1762.0,5967.0,-2893.0,331.0,932.0,-249599.0,148.0,9808.0,55852.0,-607512.0,-605300.0,176963.0,-247153.0,-1199831.0
Zysk z działalności gospodarczej,108936.0,293466.0,653056.0,813216.0,989111.0,908167.0,940679.0,1143102.0,-408978.0,1068802.0,1466567.0,868701.0,871271.0,-2603549.0,2154633.0,275386.0,-508049.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,108936.0,293466.0,653056.0,813216.0,989111.0,908167.0,940679.0,1143102.0,-408978.0,1068802.0,1466567.0,868701.0,871271.0,-2603549.0,2154633.0,275386.0,-508049.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,521676.0,215367.0,513610.0,639381.0,792521.0,711609.0,715364.0,909122.0,-398878.0,848913.0,1164891.0,719250.0,540697.0,-2234337.0,1786470.0,118920.0,-442623.0
Zysk netto akcjonariuszy jednostki dominującej,521514.0,215361.0,513589.0,639262.0,793292.0,717216.0,715368.0,908319.0,-434857.0,784393.0,1070168.0,686739.0,423205.0,-2268412.0,1678536.0,45304.0,-704308.0
Aktywa trwałe,7951073.0,8204031.0,8374673.0,8737868.0,9830686.0,11011502.0,12369473.0,14344139.0,18203442.0,19486599.0,22080914.0,23037274.0,23792019.0,21767810.0,22337693.0,23161620.0,21636978.0
Wartości niematerialne i prawne,53884.0,51927.0,76075.0,174349.0,171808.0,271726.0,275011.0,383228.0,346276.0,445537.0,523819.0,540853.0,379024.0,359365.0,350188.0,351922.0,337662.0
Rzeczowe składniki majątku trwałego,7871161.0,7944815.0,8060674.0,8308650.0,9076871.0,10459377.0,11811566.0,13701956.0,17074978.0,18382498.0,20416867.0,21027393.0,22190752.0,19633800.0,19999574.0,20981564.0,19101330.0
Należności długoterminowe,129.0,2316.0,1330.0,168.0,237.0,376.0,3933.0,20739.0,28323.0,30690.0,30729.0,23257.0,20862.0,72894.0,75014.0,13381.0,7626.0
Inwestycje długoterminowe,25899.0,204973.0,236594.0,254701.0,581770.0,280023.0,94262.0,71009.0,136226.0,224617.0,485748.0,817315.0,484946.0,252843.0,500865.0,490675.0,312451.0
Pozostałe aktywa trwałe,0.0,0.0,0.0,0.0,0.0,0.0,184701.0,167207.0,617639.0,403257.0,623751.0,628456.0,716435.0,1448908.0,1412052.0,1324078.0,1877909.0
Aktywa obrotowe,1865113.0,3781886.0,3855015.0,4098837.0,4331465.0,3698960.0,3952551.0,3763901.0,4785554.0,5049920.0,6232080.0,6928351.0,9051835.0,8122053.0,12289954.0,14273352.0,17473767.0
Zapasy,149065.0,270044.0,300830.0,242058.0,483022.0,502654.0,521498.0,716883.0,957030.0,866014.0,1441720.0,1851106.0,2751423.0,3659034.0,3975898.0,6072980.0,5685733.0
Należności krótkoterminowe,722641.0,785636.0,938341.0,924279.0,1106535.0,1465340.0,1357421.0,1764148.0,1764700.0,1834029.0,2053427.0,1968164.0,2527356.0,2479510.0,3741182.0,6212106.0,8617390.0
Inwestycje krótkoterminowe,993407.0,2726206.0,2610800.0,2932500.0,2720405.0,1717425.0,2060145.0,1269356.0,2044584.0,2345547.0,2736933.0,3109081.0,3773056.0,1983509.0,4572874.0,1988266.0,3170644.0
Środki pieniężne i inne aktywa pieniężne,940792.0,2620659.0,902543.0,899627.0,1218361.0,1095495.0,1573195.0,687316.0,1822094.0,2340217.0,2687126.0,2650838.0,3761947.0,1941554.0,4153553.0,1563716.0,3026133.0
Pozostałe aktywa obrotowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,5044.0,0.0,21503.0,13541.0,13487.0,13514.0,19240.0,4330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,9816186.0,11985917.0,12229688.0,12836705.0,14162151.0,14710462.0,16322024.0,18108040.0,22988996.0,24536519.0,28312994.0,29965625.0,32843854.0,29889863.0,34627647.0,37434972.0,39110745.0
Kapitał własny akcjonariuszy jednostki dominującej,6763211.0,8993175.0,9348731.0,9852574.0,10450674.0,10915567.0,11468627.0,12014365.0,11337745.0,12176012.0,13078219.0,14097005.0,14455713.0,12036815.0,14010558.0,14874670.0,13938930.0
Kapitał (fundusz) podstawowy,494796.0,588018.0,588018.0,588018.0,588018.0,588018.0,588018.0,588018.0,588018.0,588018.0,588018.0,588018.0,588018.0,588018.0,588018.0,676306.0,676306.0
Udziały (akcje) własne,0.0,17396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,2702188.0,1507582.0,4776800.0,4776800.0,4776800.0,4776800.0,4776800.0,3632464.0,3632464.0,3632464.0,3632464.0,3632464.0,3632464.0,3632464.0,2692784.0,3348670.0,3348670.0
Udziały niekontrolujące,3164.0,31078.0,23897.0,23897.0,29088.0,22721.0,19321.0,49648.0,784858.0,835717.0,921450.0,952157.0,1024058.0,1057538.0,1167450.0,1271441.0,1500669.0
Zobowiązania długoterminowe,1387190.0,1518009.0,1450377.0,1373976.0,1659243.0,1748504.0,2556816.0,4190197.0,8457838.0,8606757.0,10063012.0,10109857.0,10855419.0,10009542.0,7871134.0,7699793.0,8703088.0
Z tytułu dostaw i usług,787702.0,865581.0,971962.0,1017805.0,1238489.0,1290391.0,1407703.0,1135657.0,1223320.0,1141600.0,2051385.0,2534733.0,1913440.0,2037926.0,4439560.0,5165576.0,3270646.0
Kredyty i pożyczki,69244.0,52605.0,49951.0,42398.0,45516.0,24043.0,22648.0,8875.0,43399.0,448902.0,539429.0,355840.0,2102911.0,1224061.0,2177791.0,750273.0,3090033.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,296.0,877.0,1178.0,2134.0,2424.0,3494.0,2940.0,1752.0,1025.0,2141.0,1942.0,2994.0,27939.0,25172.0,30678.0,31338.0,36154.0
Inne zobowiązania długoterminowe,1202342.0,1363001.0,1340972.0,1299870.0,1582139.0,1693459.0,1735123.0,1976460.0,2506959.0,2279743.0,2283691.0,2065013.0,2428207.0,2739853.0,2724180.0,2955101.0,3734900.0
Zobowiązania krótkoterminowe,1662621.0,1443655.0,1406683.0,1586258.0,2023146.0,2023670.0,2277260.0,1853830.0,2408555.0,2918033.0,4250313.0,4806606.0,6508664.0,6785968.0,11578505.0,13589068.0,14968058.0
Inne zobowiązania krótkoterminowe,805379.0,524592.0,383592.0,523921.0,736717.0,705742.0,843969.0,707546.0,1140811.0,1325390.0,1657557.0,1913039.0,2464374.0,3498809.0,4930476.0,7641881.0,8571225.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,9816186.0,11985917.0,12229688.0,12836705.0,14162151.0,14710462.0,16322024.0,18108040.0,22988996.0,24536519.0,28312994.0,29965625.0,32843854.0,29889863.0,34627647.0,37434972.0,39110745.0
Przepływy pieniężne z działalności operacyjnej,650469.0,825491.0,850134.0,1275667.0,1143379.0,1242077.0,1693455.0,1115676.0,2206416.0,2424445.0,2579644.0,2435239.0,2144615.0,3157764.0,5486920.0,1226169.0,2246404.0
Amortyzacja,470557.0,631364.0,661345.0,652672.0,682813.0,749737.0,761759.0,728408.0,790375.0,1110350.0,1194540.0,1477667.0,1548268.0,1598063.0,1539286.0,1584991.0,1651920.0
Przepływy pieniężne z działalności inwestycyjnej,232914.0,-899524.0,-2332519.0,-1067613.0,-590266.0,-1109029.0,-1817028.0,-3048793.0,-3724664.0,-2490580.0,-3482925.0,-2310127.0,-2312818.0,-2576300.0,-1850267.0,-2485638.0,-2855972.0
CAPEX (niematerialne i rzeczowe),334092.0,631650.0,764296.0,852170.0,1493714.0,1841718.0,1989095.0,2561182.0,2847396.0,2668358.0,2057979.0,1979024.0,2076510.0,2382772.0,1901807.0,2586902.0,2936010.0
Przepływy pieniężne z działalności finansowej,-294310.0,1753900.0,-235731.0,-210970.0,-235380.0,-255668.0,601880.0,1045785.0,2653026.0,584258.0,1250190.0,-161400.0,1279312.0,-2401857.0,-1424654.0,-1330368.0,2071985.0
Emisja akcji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750452.0,0.0
Dywidenda,39828.0,100629.0,203064.0,167748.0,194206.0,211892.0,158919.0,251622.0,208313.0,0.0,122382.0,0.0,8673.0,0.0,0.0,30129.0,31387.0
Przepływy pieniężne razem,589073.0,1679867.0,-1718116.0,-2916.0,317733.0,-122620.0,478307.0,-887332.0,1134778.0,518123.0,346909.0,-36288.0,1111109.0,-1820393.0,2211999.0,-2589837.0,1462417.0
