,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Period,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,12.23,-4.47,27.99,-9.44,32.91,35.21,4.62,53.61,56.73,-15.1,-2.17,-82.2,-33.27,5.71,22.67,-30.19,46.28
Techniczny koszt wytworzenia produkcji sprzedanej,,16.22,-8.14,39.5,-2.04,21.54,35.65,7.01,57.42,60.38,-13.81,-0.15,-83.15,-41.38,11.15,47.82,-19.21,4.97
Koszty sprzedaży,,,21.3,129.17,-10.35,5.6,16.55,22.64,139.83,43.19,51.6,76.8,-96.34,-37.45,-15.96,-1.99,-15.13,1974.78
Koszty ogólnego zarządu,,-21.91,34.12,18.88,12.63,-3.14,-2.97,4.03,-0.39,4.1,4.11,-7.83,-18.09,-6.33,0.24,-27.03,-3.12,-81.07
Zysk ze sprzedaży,,3.67,2.57,-58.93,-251.37,224.22,81.16,-26.36,23.38,20.2,-95.46,-2175.98,80.08,146.68,-116.81,-3173.75,-88.25,122.93
Pozostałe przychody operacyjne,,142.4,-67.34,58.65,-41.4,-31.16,63.42,55.28,-60.46,68.55,277.64,47.16,-37.72,69.31,-67.03,119.11,-67.29,-85.94
Pozostałe koszty operacyjne,,-49.81,-53.19,125.65,-21.23,-54.92,518.27,6.3,-67.16,57.68,554.6,24.99,-80.45,234.92,-72.5,207.63,-38.47,13.12
Zysk operacyjny (EBIT),,44.51,-15.99,-52.49,-212.6,240.89,56.98,-23.53,29.04,20.99,-118.36,-520.32,100.89,1629.92,-76.31,-1246.03,-114.47,93.65
Przychody finansowe,,456.45,-58.55,-38.0,141.61,-24.81,-54.83,362.65,-26.57,-75.47,26.67,-22.96,-60.61,-79.34,1117.86,-99.12,-100.0,
Koszty finansowe,,180.88,66.99,-57.28,-59.0,12.54,116.53,-53.24,66.15,32.72,153.19,7.45,-77.34,-29.76,-21.62,-15.06,154.85,5.9
Pozostałe przychody (koszty),,,,100.0,,,,,,,,,-144.25,111.09,-100.0,,,
Zysk z działalności gospodarczej,,41.99,-54.58,-43.35,-290.18,244.41,31.59,2.96,12.55,5.4,-176.29,-140.52,90.56,168.81,-97.53,-21721.88,-118.77,82.49
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,41.99,-54.58,-43.35,-290.18,244.41,31.59,2.96,12.55,5.4,-176.29,-140.52,90.56,168.81,-97.53,-21721.88,-118.77,82.49
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,-100.0,,,,
Zysk netto,,68.21,-60.12,-44.86,-348.89,228.57,33.93,2.54,13.63,4.58,-190.02,-208.62,96.04,188.17,-191.49,-799.61,-108.46,91.92
Zysk netto akcjonariuszy jednostki dominującej,,68.48,-63.64,-61.82,-509.41,222.24,24.82,4.5,-6.37,-7.82,-258.5,-154.41,91.13,132.14,-212.99,-799.61,-108.46,91.92
Aktywa trwałe,,54.39,36.12,10.58,11.63,-3.19,14.09,0.31,-1.27,36.58,0.41,-53.73,-15.37,-5.72,-7.62,93.35,-4.14,3.17
Wartości niematerialne i prawne,,-52.67,149.67,-0.02,-7.95,-7.76,62.13,-0.26,10.92,-41.1,-2.2,-44.56,-96.3,-24.56,-43.02,2.04,-54.0,-52.17
Rzeczowe składniki majątku trwałego,,55.66,44.81,15.76,10.06,-5.49,9.09,-2.21,0.08,-16.52,-5.72,-14.69,-13.69,-2.43,-7.26,91.2,-4.34,4.48
Należności długoterminowe,,,-100.0,,,401.96,-6.64,245.61,-35.23,-38.6,-19.63,-10.42,347.78,-88.39,-39.84,3719.59,-11.43,-6.91
Inwestycje długoterminowe,,0.0,1402.9,3.95,136.09,3.54,-6.87,74.12,-34.47,1981.0,-2.44,-100.0,,,,,,
Pozostałe aktywa trwałe,,2.68,81.48,-62.87,85.45,61.02,65.19,-10.4,-5.19,24.95,88.72,-59.28,-18.82,-2.6,-9.1,-16.78,14.55,-11.64
Aktywa obrotowe,,14.37,6.13,-26.0,20.77,52.0,-16.75,41.56,-5.46,47.72,-1.97,-52.02,-63.86,-6.6,1.75,19.65,-37.22,42.98
Zapasy,,-62.32,37.29,13.59,-31.87,133.89,-27.78,-37.74,73.81,4.42,1.76,-41.89,34.14,8.17,25.87,-96.41,157.63,-29.21
Należności krótkoterminowe,,-15.02,56.3,-31.86,48.91,71.38,-20.45,-17.11,31.65,107.88,1.42,-56.61,-67.01,-6.91,-20.89,82.56,-46.77,71.86
Inwestycje krótkoterminowe,,86.9,-34.81,-19.89,-14.83,-13.23,7.69,299.48,-39.81,-58.13,-34.01,8.08,-69.02,-19.69,126.5,-45.41,30.67,-45.62
Środki pieniężne i inne aktywa pieniężne,,319.97,-32.41,-23.44,-12.98,-11.55,7.48,300.27,-39.89,-58.36,-33.73,8.1,-68.8,-19.69,126.5,-45.41,30.67,-45.62
Pozostałe aktywa obrotowe,,,,,,,,,,,,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,
Aktywa razem,,24.89,15.87,-12.03,16.38,26.59,-5.89,23.96,-4.01,43.76,-1.17,-52.61,-47.63,-6.12,-3.34,57.91,-16.19,14.03
Kapitał własny akcjonariuszy jednostki dominującej,,106.08,5.67,0.13,-7.35,9.48,7.08,6.6,1.29,0.3,-19.78,-51.22,-9.93,2.13,-12.7,53.08,-36.24,9.58
Kapitał (fundusz) podstawowy,,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,
