,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Period,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,-1.98,10.95,56.41,6.27,-2.13,0.2,7.89,13.83,9.68,11.21,11.26,15.03,59.99,10.16,-12.21
Techniczny koszt wytworzenia produkcji sprzedanej,,-0.74,15.2,45.82,9.74,-4.5,-2.39,11.78,11.74,8.3,10.37,11.38,13.44,61.08,15.76,-16.43
Koszty sprzedaży,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,-7.57,-9.65,121.77,-7.81,9.29,11.17,-6.53,23.07,15.25,14.41,10.84,20.87,56.24,-9.69,7.0
Pozostałe przychody operacyjne,,-8.98,124.03,81.03,59.05,-21.42,31.92,2.31,5.08,43.46,-21.39,19.16,21.55,44.74,451.97,-83.55
Pozostałe koszty operacyjne,,-2.19,-2.11,75.93,10.68,-3.33,5.26,5.92,19.61,15.68,15.1,7.79,14.32,82.39,1.49,-1.52
Zysk operacyjny (EBIT),,-11.14,-13.04,157.56,-16.24,16.94,15.52,-13.09,24.54,16.12,12.17,13.15,25.04,40.69,-0.93,-5.2
Przychody finansowe,,38.55,53.46,-96.28,3034.04,-5.77,-82.06,-79.12,17.31,4688.52,-99.83,140.0,29658.33,328.09,-99.91,6246.15
Koszty finansowe,,-27.04,-21.55,430.69,-32.55,-28.14,57.99,-28.37,-29.52,115.13,-33.51,-2.12,-56.63,314.44,126.42,-32.42
Pozostałe przychody (koszty),,-47.37,57.86,-153.62,-113.5,-133.79,-34.4,100.0,,,,,,,,
Zysk z działalności gospodarczej,,-5.84,-5.48,70.32,-1.55,30.26,0.48,-3.4,38.23,11.14,15.52,15.36,41.59,43.87,-28.4,5.11
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,-5.84,-5.48,70.32,-1.55,30.26,0.48,-3.4,38.23,11.14,15.52,15.36,41.59,43.87,-28.4,5.11
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,
Zysk netto,,-1.3,-5.0,77.44,-3.9,25.27,10.06,-7.08,30.43,-61.96,240.83,6.08,55.2,76.5,-39.32,1.34
Zysk netto akcjonariuszy jednostki dominującej,,-1.32,-4.99,77.46,-3.9,25.27,10.06,-7.08,30.43,-61.97,240.86,6.07,55.2,73.69,-39.32,2.46
Aktywa trwałe,,-13.02,8.4,523.31,-4.62,-6.74,-7.35,2.76,2.47,0.07,5.01,3.95,4.95,35.89,7.31,-2.48
Wartości niematerialne i prawne,,-41.67,878.57,60671.17,-4.76,-7.12,1.57,2.54,2.64,-0.69,3.02,0.09,4.39,18.54,6.58,-4.58
Rzeczowe składniki majątku trwałego,,-22.85,-2.38,55.28,-5.01,-6.18,-0.08,3.21,5.54,5.61,15.24,20.17,4.44,100.79,11.53,-0.62
Należności długoterminowe,,,,,-45.42,-67.68,-100.0,,,,,,,,,
Inwestycje długoterminowe,,7.98,24.38,24.2,-2.81,-3.33,-100.0,,,,,,,,,
Pozostałe aktywa trwałe,,353.66,-30.65,353.49,40.17,-3.29,168.98,12.52,-43.54,-29.37,4.91,55.08,76.17,57.46,-45.61,109.45
Aktywa obrotowe,,-9.52,30.67,42.14,4.46,-3.98,7.65,-3.24,11.63,15.25,9.18,6.7,43.21,41.61,5.4,4.81
Zapasy,,-15.79,52.62,35.16,12.22,-20.85,40.49,-7.48,13.48,5.73,11.55,5.44,13.95,81.93,12.54,-19.16
Należności krótkoterminowe,,-9.3,8.01,63.87,-23.98,3.45,1.09,4.67,2.05,18.63,8.68,6.4,27.02,45.38,13.32,15.57
Inwestycje krótkoterminowe,,113.93,-3.75,-20.61,244.85,90.27,-76.48,12.06,51.07,101.97,-2.85,15.81,260.92,-37.06,-51.02,243.89
Środki pieniężne i inne aktywa pieniężne,,72.32,22.28,-20.61,244.85,90.27,-76.48,12.06,51.07,101.97,-7.34,16.71,275.5,-38.69,-49.72,243.89
Pozostałe aktywa obrotowe,,,,,,,,,,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,
Aktywa razem,,-10.63,23.75,173.01,-1.18,-5.64,-1.23,0.1,6.4,6.91,7.04,5.31,24.16,39.2,6.18,1.78
Kapitał własny akcjonariuszy jednostki dominującej,,11.42,45.55,168.18,1.42,2.78,2.19,2.63,10.11,-7.19,17.59,7.34,25.13,23.36,13.61,2.78
Kapitał (fundusz) podstawowy,,4.16,10.55,102.15,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,-1264.94,100.0,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,865.04,0.42,0.0,1.69,-0.02,0.0,0.0,-2.93,0.0,0.0,0.0,0.0,0.0
Udziały niekontrolujące,,8.33,209.09,-91.67,0.0,0.0,50.0,-100.0,,33.33,0.0,25.0,60.0,174150.0,-54.56,-24.39
Zobowiązania długoterminowe,,-43.21,-61.08,14664.03,-14.7,-25.16,-34.27,48.93,-28.91,10.28,-12.96,-0.82,-21.45,170.49,25.68,-38.73
Z tytułu dostaw i usług,,-10.9,-4.15,9.23,10.95,39.47,-34.0,-3.34,24.54,59.83,-43.82,37.5,37.31,97.39,-36.6,38.73
Kredyty i pożyczki,,-32.05,23.85,45.89,6.78,-36.41,89.91,-36.41,19.76,-35.29,163.46,-19.0,31.6,-4.63,38.65,10.92
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,-29.65,-50.1,-65.97,-29.63,-100.0,,,,26.39,28.93,15.78,-3.58
Inne zobowiązania długoterminowe,,5.71,184.68,2883.86,-6.03,-5.65,2.45,3.4,-6.87,-0.17,5.44,1.19,0.81,76.4,-11.14,-4.0
Zobowiązania krótkoterminowe,,-21.91,8.38,30.41,8.62,-5.52,14.71,-25.16,25.04,39.86,-2.77,3.35,36.58,36.68,-9.66,20.72
Inne zobowiązania krótkoterminowe,,14.05,-31.93,63.65,47.28,30.35,-30.44,-21.26,222.87,780.18,-80.48,60.95,66.98,16.11,-40.4,1.68
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,
Pasywa razem,,-10.63,23.75,173.01,-1.18,-5.64,-1.23,0.1,6.4,6.91,7.04,5.31,24.16,39.2,6.18,1.78
Przepływy pieniężne z działalności operacyjnej,,1035.85,-159.28,334.21,8.98,93.52,-124.36,323.31,9.1,55.73,-147.17,317.29,15.04,-6.83,-106.34,4506.72
Amortyzacja,,7.2,9.07,84.8,16.33,0.57,-0.14,4.18,119.67,-19.36,-3.97,67.83,19.34,72.39,17.39,17.22
Przepływy pieniężne z działalności inwestycyjnej,,135.52,-86.65,-27219.76,98.87,23.49,1040.9,-116.42,-76.28,-32.75,-66.49,37.75,0.57,-1569.44,64.87,40.67
CAPEX (niematerialne i rzeczowe),,-57.5,-84.23,99.22,14.92,-25.06,115.96,-32.09,68.13,34.98,65.27,-35.99,0.39,185.23,90.28,-54.46
Przepływy pieniężne z działalności finansowej,,-417.27,135.92,1425.17,-122.4,-44.26,-17.13,54.23,-42.78,0.96,119.24,-1088.97,113.35,-606.81,22.96,-248.5
Emisja akcji,,,2436.41,790.03,-100.0,,,-100.0,,,,,,,,
Dywidenda,,-41.65,-100.0,,,-20.2,317.41,0.36,-25.0,60.0,-70.83,220.0,-64.29,450.01,-31.36,-0.66
Przepływy pieniężne razem,,227.44,-224.73,173.25,16.1,522.89,-320.78,122.65,-66.44,532.66,-224.17,93.43,3788.09,-176.26,-13.37,195.06
