,0,1,2,3,4,5,6
Period,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,,662.46,17.7,-9.35,6.63,67.79
Techniczny koszt wytworzenia produkcji sprzedanej,,9460.0,201.88,-6.14,55.08,-8.82,70.3
Koszty sprzedaży,,,,,,,
Koszty ogólnego zarządu,,,,,,,
Zysk ze sprzedaży,,-5393.33,139.08,338.2,-194.9,66.09,-99.56
Pozostałe przychody operacyjne,,,,-91.67,-100.0,,-55.0
Pozostałe koszty operacyjne,,,23.84,-99.06,12150.0,1836.73,-43.94
Zysk operacyjny (EBIT),,-6540.0,112.15,1065.29,-212.34,-225.69,31.23
Przychody finansowe,,2083.77,33.54,-79.52,20.77,-83.74,30.36
Koszty finansowe,,,,100.0,7600.0,954.22,-89.9
Pozostałe przychody (koszty),,,-94.12,136600.0,-95.21,-212.21,-103.4
Zysk z działalności gospodarczej,,1742.61,75.55,40.79,-103.14,-3263.49,50.66
Wynik zdarzeń nadzwyczajnych,,,,,,,
Zysk przed opodatkowaniem,,1742.61,75.55,40.79,-103.14,-3263.49,50.66
Zysk (strata) netto z działalności zaniechanej,,,,,,,
Zysk netto,,1756.38,69.52,38.05,-105.7,-2014.63,47.88
Zysk netto akcjonariuszy jednostki dominującej,,1756.38,68.11,27.42,-105.89,-2127.22,49.17
Aktywa trwałe,,1419.21,113.1,36.21,-9.79,-31.56,-26.76
Wartości niematerialne i prawne,,,,-23.93,524.72,-19.6,-24.61
Rzeczowe składniki majątku trwałego,,,,-52.0,408.33,22.95,25.33
Należności długoterminowe,,,,,,,
Inwestycje długoterminowe,,702.56,60.7,486.55,-15.73,-41.31,-35.36
Pozostałe aktywa trwałe,,2394.19,129.42,-100.0,,,25.52
Aktywa obrotowe,,5865.33,63.79,246.17,-4.02,-21.67,12.46
Zapasy,,,515.11,65.94,55.71,-21.44,57.59
Należności krótkoterminowe,,8633.33,165.65,-64.8,154.69,58.49,47.02
Inwestycje krótkoterminowe,,4930.56,-29.6,649.41,-24.84,-25.29,-21.65
Środki pieniężne i inne aktywa pieniężne,,4930.56,-30.7,635.7,-22.23,-30.17,-25.05
Pozostałe aktywa obrotowe,,,45800.0,-100.0,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,
Aktywa razem,,2618.71,83.91,146.9,-5.52,-24.13,3.65
Kapitał własny akcjonariuszy jednostki dominującej,,2884.34,73.81,144.76,-4.54,-25.63,3.71
Kapitał (fundusz) podstawowy,,350.0,0.0,24.44,0.54,0.0,0.0
Udziały (akcje) własne,,,,,,,
Kapitał (fundusz) zapasowy,,,28.77,235.9,0.0,0.0,0.0
Udziały niekontrolujące,,,,344.04,-4.13,-6.47,-26.73
Zobowiązania długoterminowe,,,,13922.22,-18.46,-3.5,9.16
Z tytułu dostaw i usług,,,688.24,36.19,3.29,-3.05,12.31
Kredyty i pożyczki,,,,,,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,
Inne zobowiązania długoterminowe,,,,13922.22,-18.46,-3.5,9.16
Zobowiązania krótkoterminowe,,388.46,581.89,10.85,-21.46,-3.05,12.31
Inne zobowiązania krótkoterminowe,,126.92,459.32,-30.3,-100.0,,
Rozliczenia międzyokresowe,,-100.0,,,,,
Pasywa razem,,2618.71,83.91,146.9,-5.52,-24.13,3.65
Przepływy pieniężne z działalności operacyjnej,,-13281.25,-108.03,67.31,-247.46,36.27,-114.76
Amortyzacja,,,150.0,0.0,790.0,50.56,9.7
Przepływy pieniężne z działalności inwestycyjnej,,11308.33,241.64,1.98,-47.44,-145.03,83.59
CAPEX (niematerialne i rzeczowe),,,800.0,-63.89,4584.62,-93.27,39.02
Przepływy pieniężne z działalności finansowej,,4247.0,-128.85,1114.91,-111.86,100.0,
Emisja akcji,,4347.0,-93.75,5000.36,-100.0,,
Dywidenda,,,1385.0,3.03,-1.18,-100.0,
Przepływy pieniężne razem,,4831.94,-131.34,1533.69,-125.73,-5.55,-64.0
