,0,1,2,3,4,5,6
Period,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,0.0,610.0,4651.0,5474.0,4962.0,5291.0,8878.0
Techniczny koszt wytworzenia produkcji sprzedanej,15.0,1434.0,4329.0,4063.0,6301.0,5745.0,9784.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,-15.0,-824.0,322.0,1411.0,-1339.0,-454.0,-906.0
Pozostałe przychody operacyjne,0.0,0.0,12.0,1.0,0.0,40.0,18.0
Pozostałe koszty operacyjne,0.0,172.0,213.0,2.0,245.0,4745.0,2660.0
Zysk operacyjny (EBIT),-15.0,-996.0,121.0,1410.0,-1584.0,-5159.0,-3548.0
Przychody finansowe,191.0,4171.0,5570.0,1141.0,1378.0,224.0,292.0
Koszty finansowe,0.0,0.0,2.0,4.0,308.0,3247.0,328.0
Pozostałe przychody (koszty),0.0,68.0,4.0,5468.0,262.0,-294.0,-598.0
Zysk z działalności gospodarczej,176.0,3243.0,5693.0,8015.0,-252.0,-8476.0,-4182.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,176.0,3243.0,5693.0,8015.0,-252.0,-8476.0,-4182.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,149.0,2766.0,4689.0,6473.0,-369.0,-7803.0,-4067.0
Zysk netto akcjonariuszy jednostki dominującej,149.0,2766.0,4650.0,5925.0,-349.0,-7773.0,-3951.0
Aktywa trwałe,203.0,3084.0,6572.0,8952.0,8076.0,5527.0,4048.0
Wartości niematerialne i prawne,0.0,0.0,117.0,89.0,556.0,447.0,337.0
Rzeczowe składniki majątku trwałego,0.0,0.0,25.0,12.0,61.0,75.0,94.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,117.0,939.0,1509.0,8851.0,7459.0,4378.0,2830.0
Pozostałe aktywa trwałe,86.0,2145.0,4921.0,0.0,0.0,627.0,787.0
Aktywa obrotowe,75.0,4474.0,7328.0,25367.0,24348.0,19073.0,21450.0
Zapasy,0.0,589.0,3623.0,6012.0,9361.0,7354.0,11589.0
Należności krótkoterminowe,3.0,262.0,696.0,245.0,624.0,989.0,1454.0
Inwestycje krótkoterminowe,72.0,3622.0,2550.0,19110.0,14363.0,10730.0,8407.0
Środki pieniężne i inne aktywa pieniężne,72.0,3622.0,2510.0,18466.0,14361.0,10028.0,7516.0
Pozostałe aktywa obrotowe,0.0,1.0,459.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,278.0,7558.0,13900.0,34319.0,32424.0,24600.0,25498.0
Kapitał własny akcjonariuszy jednostki dominującej,249.0,7431.0,12916.0,31613.0,30177.0,22442.0,23275.0
Kapitał (fundusz) podstawowy,100.0,450.0,450.0,560.0,563.0,563.0,563.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,0.0,4216.0,5429.0,18236.0,18236.0,18236.0,18236.0
Udziały niekontrolujące,0.0,0.0,109.0,484.0,464.0,434.0,318.0
Zobowiązania długoterminowe,0.0,0.0,9.0,1262.0,1029.0,993.0,1084.0
Z tytułu dostaw i usług,0.0,68.0,536.0,730.0,754.0,731.0,821.0
Kredyty i pożyczki,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inne zobowiązania długoterminowe,0.0,0.0,9.0,1262.0,1029.0,993.0,1084.0
Zobowiązania krótkoterminowe,26.0,127.0,866.0,960.0,754.0,731.0,821.0
Inne zobowiązania krótkoterminowe,26.0,59.0,330.0,230.0,0.0,0.0,0.0
Rozliczenia międzyokresowe,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,278.0,7558.0,13900.0,34319.0,32424.0,24600.0,25498.0
Przepływy pieniężne z działalności operacyjnej,-16.0,-2141.0,-4454.0,-1456.0,-5059.0,-3224.0,-6924.0
Amortyzacja,0.0,4.0,10.0,10.0,89.0,134.0,147.0
Przepływy pieniężne z działalności inwestycyjnej,-12.0,1345.0,4595.0,4686.0,2463.0,-1109.0,-182.0
CAPEX (niematerialne i rzeczowe),0.0,4.0,36.0,13.0,609.0,41.0,57.0
Przepływy pieniężne z działalności finansowej,100.0,4347.0,-1254.0,12727.0,-1509.0,0.0,0.0
Emisja akcji,100.0,4447.0,278.0,14179.0,0.0,0.0,0.0
Dywidenda,0.0,100.0,1485.0,1530.0,1512.0,0.0,0.0
Przepływy pieniężne razem,72.0,3551.0,-1113.0,15957.0,-4105.0,-4333.0,-7106.0
