,0,1,2,3,4,5,6,7
Period,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,,420.5,55.78,-5.98,28.65,-3.42,15.27
Techniczny koszt wytworzenia produkcji sprzedanej,,1470.0,836.31,112.31,53.09,51.63,0.94,36.62
Koszty sprzedaży,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,
Zysk ze sprzedaży,,8970.0,346.9,34.81,-40.48,-5.88,-13.96,-45.34
Pozostałe przychody operacyjne,,,,,-146.02,561.54,-87.5,266.67
Pozostałe koszty operacyjne,,,,,285.71,86.28,-57.88,-53.15
Zysk operacyjny (EBIT),,8970.0,346.9,32.9,-54.44,-21.83,8.42,-38.54
Przychody finansowe,,,,-69.23,40.38,935.62,118.92,-80.73
Koszty finansowe,,,0.0,1125.0,120.41,-68.52,32.35,2062.22
Pozostałe przychody (koszty),,,,,,,,
Zysk z działalności gospodarczej,,8930.0,367.61,27.66,-55.13,9.85,40.26,-83.75
Wynik zdarzeń nadzwyczajnych,,,,,,,,
Zysk przed opodatkowaniem,,8930.0,367.61,27.66,-55.13,9.85,40.26,-83.75
Zysk (strata) netto z działalności zaniechanej,,,,,,,,
Zysk netto,,7590.0,368.89,20.47,-55.24,30.31,35.37,-77.52
Zysk netto akcjonariuszy jednostki dominującej,,7590.0,368.89,20.47,-55.24,30.31,35.37,-77.52
Aktywa trwałe,,,-50.0,355.63,-1.6,57.46,54.32,251.49
Wartości niematerialne i prawne,,,-50.0,264.24,-24.36,-56.01,3.28,2000.0
Rzeczowe składniki majątku trwałego,,,,,-13.04,497.5,-35.15,-29.68
Należności długoterminowe,,,,,,-1.09,8.79,17.17
Inwestycje długoterminowe,,,,,,,,4.92
Pozostałe aktywa trwałe,,,,,,53.06,276.0,158.87
Aktywa obrotowe,,56150.0,315.02,117.93,73.17,10.26,9.09,-16.48
Zapasy,,,1007.69,226.77,-14.78,-36.1,146.18,46.38
Należności krótkoterminowe,,33800.0,-59.0,343.53,43.55,76.05,-24.42,-12.27
Inwestycje krótkoterminowe,,,810.0,56.01,161.11,14.4,-5.95,-44.35
Środki pieniężne i inne aktywa pieniężne,,,810.0,-8.86,346.95,14.4,-34.81,-19.72
Pozostałe aktywa obrotowe,,,,-76.09,-63.64,37.5,-100.0,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,
Aktywa razem,,71250.0,237.77,125.37,68.43,12.01,11.44,2.82
Kapitał własny akcjonariuszy jednostki dominującej,,24880.0,283.45,125.05,65.38,7.71,5.06,-12.73
Kapitał (fundusz) podstawowy,,9900.0,0.0,2.0,4.9,1.31,1.48,0.0
Udziały (akcje) własne,,,,,,,,
Kapitał (fundusz) zapasowy,,,,695.99,156.0,0.33,-66.89,0.0
Udziały niekontrolujące,,,,,,,,
Zobowiązania długoterminowe,,,,,,254.91,-2.77,-16.25
Z tytułu dostaw i usług,,,,366.67,135.71,232.32,532.22,156.54
Kredyty i pożyczki,,-100.0,,,,,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,21.43
Inne zobowiązania długoterminowe,,,,,,-12.72,113.91,17.96
Zobowiązania krótkoterminowe,,2585.71,-63.3,147.83,158.48,88.91,167.54,147.22
Inne zobowiązania krótkoterminowe,,6166.67,-68.09,115.0,165.89,47.52,-100.0,
Rozliczenia międzyokresowe,,,,,,,,
Pasywa razem,,71250.0,237.77,125.37,68.43,12.01,11.44,2.82
Przepływy pieniężne z działalności operacyjnej,,2044.44,1428.0,-11.03,12.9,32.28,-34.34,-41.15
Amortyzacja,,,331.43,32.45,81.5,23.97,-51.78,23.5
Przepływy pieniężne z działalności inwestycyjnej,,,100.0,,171.6,-97.32,-10197.83,107.41
CAPEX (niematerialne i rzeczowe),,,-100.0,,-66.98,-77.73,9782.98,-18.17
Przepływy pieniężne z działalności finansowej,,5355.56,-100.0,,2138.4,-136.03,-39.43,-37.3
Emisja akcji,,9800.0,-100.0,,,-100.0,,
Dywidenda,,,,,,,29.41,38.36
Przepływy pieniężne razem,,,712.77,-109.91,3683.4,-81.43,-376.35,63.1
