,0,1,2,3,4,5
Period,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,12.31,-18.56,58.74,28.09,19.04
Techniczny koszt wytworzenia produkcji sprzedanej,,8.08,-21.61,52.65,42.65,24.49
Koszty sprzedaży,,,,,,
Koszty ogólnego zarządu,,,,,,
Zysk ze sprzedaży,,18.31,-14.59,65.98,12.13,11.44
Pozostałe przychody operacyjne,,176.67,-86.21,981.55,35.64,64.92
Pozostałe koszty operacyjne,,-90.59,-26.2,-43.74,868.6,25.65
Zysk operacyjny (EBIT),,25.84,-14.87,67.15,11.01,11.58
Przychody finansowe,,-86.02,-36.34,4572.25,-92.95,11.35
Koszty finansowe,,34.64,-28.95,-70.66,1431.15,111.25
Pozostałe przychody (koszty),,13.45,-68.54,38.75,-127.07,1043.75
Zysk z działalności gospodarczej,,8.36,-16.83,139.46,-28.89,1.97
Wynik zdarzeń nadzwyczajnych,,,,,,
Zysk przed opodatkowaniem,,8.36,-16.83,139.46,-28.89,1.97
Zysk (strata) netto z działalności zaniechanej,,,,,,
Zysk netto,,9.1,-16.69,139.12,-33.9,11.07
Zysk netto akcjonariuszy jednostki dominującej,,9.1,-16.69,138.19,-33.64,9.48
Aktywa trwałe,,14.54,-6.28,87.23,254.03,-6.22
Wartości niematerialne i prawne,,1.36,15.5,124.58,8997.07,-4.81
Rzeczowe składniki majątku trwałego,,39.95,-23.69,-14.87,-10.69,60.65
Należności długoterminowe,,,,,,
Inwestycje długoterminowe,,5.39,6.62,171.8,-1.05,-14.87
Pozostałe aktywa trwałe,,0.3,-3.76,28.99,87.07,-28.27
Aktywa obrotowe,,-4.09,28.19,47.52,-19.96,25.72
Zapasy,,,,,,-51.66
Należności krótkoterminowe,,-8.2,-21.58,84.72,31.18,-6.58
Inwestycje krótkoterminowe,,-1.49,47.1,39.64,-47.65,49.2
Środki pieniężne i inne aktywa pieniężne,,-8.14,57.36,36.69,-40.74,49.5
Pozostałe aktywa obrotowe,,-25.35,22.97,62.42,357.99,28.44
Aktywa trwałe przeznaczone do sprzedaży,,,,,,
Aktywa razem,,3.91,11.87,63.27,104.66,0.59
Kapitał własny akcjonariuszy jednostki dominującej,,336.63,85.58,141.44,26.59,15.14
Kapitał (fundusz) podstawowy,,-2.17,-0.15,1.69,0.24,0.0
Udziały (akcje) własne,,,,,,
Kapitał (fundusz) zapasowy,,0.0,8.0,1.18,119.55,26.18
Udziały niekontrolujące,,-42.44,-155.1,105.56,175.0,15.15
Zobowiązania długoterminowe,,-32.33,-61.64,103.25,566.09,-16.3
Z tytułu dostaw i usług,,-16.76,51.23,74.87,108.05,8.66
Kredyty i pożyczki,,-97.68,3091.07,-100.0,,-62.92
Z tytułu emisji dłużnych papierów wartościowych,,,,,,
Zobowiązania z tytułu leasingu finansowego,,24.71,-0.13,8.14,19.05,-4.3
Inne zobowiązania długoterminowe,,54.85,-80.46,1229.63,41.72,-22.44
Zobowiązania krótkoterminowe,,-19.65,17.11,12.06,83.68,3.78
Inne zobowiązania krótkoterminowe,,0.8,-3.98,33.04,48.47,19.87
Rozliczenia międzyokresowe,,,,,,
Pasywa razem,,3.91,11.87,63.27,104.66,0.59
Przepływy pieniężne z działalności operacyjnej,,1.22,-17.58,80.72,6.26,35.1
Amortyzacja,,11.04,4.15,4.93,31.36,117.79
Przepływy pieniężne z działalności inwestycyjnej,,49.57,72.02,-632.27,-1745.72,95.72
CAPEX (niematerialne i rzeczowe),,14.23,-67.69,246.4,95.68,41.93
Przepływy pieniężne z działalności finansowej,,-27.51,51.15,-107.31,238.5,-221.24
Emisja akcji,,7042.86,53.8,720.16,-100.0,
Dywidenda,,3776.13,28.98,72.82,27.85,-25.0
Przepływy pieniężne razem,,-191.36,752.26,0.51,-250.39,172.05
