,0,1,2,3,4,5
Period,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,327229.0,367503.0,299308.0,475113.0,608549.0,724398.0
Techniczny koszt wytworzenia produkcji sprzedanej,192050.0,207574.0,162714.0,248391.0,354329.0,441104.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,135179.0,159929.0,136594.0,226722.0,254220.0,283294.0
Pozostałe przychody operacyjne,270.0,747.0,103.0,1114.0,1511.0,2492.0
Pozostałe koszty operacyjne,8392.0,790.0,583.0,328.0,3177.0,3992.0
Zysk operacyjny (EBIT),127057.0,159886.0,136114.0,227508.0,252554.0,281794.0
Przychody finansowe,21865.0,3057.0,1946.0,90922.0,6407.0,7134.0
Koszty finansowe,7183.0,9671.0,6871.0,2016.0,30868.0,65210.0
Pozostałe przychody (koszty),6327.0,7178.0,2258.0,3133.0,-848.0,8003.0
Zysk z działalności gospodarczej,148066.0,160450.0,133447.0,319547.0,227245.0,231721.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,148066.0,160450.0,133447.0,319547.0,227245.0,231721.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,117651.0,128357.0,106928.0,255683.0,169013.0,187726.0
Zysk netto akcjonariuszy jednostki dominującej,117651.0,128357.0,106928.0,254693.0,169013.0,185029.0
Aktywa trwałe,113076.0,129516.0,121385.0,227271.0,804615.0,754564.0
Wartości niematerialne i prawne,2349.0,2381.0,2750.0,6176.0,561835.0,534805.0
Rzeczowe składniki majątku trwałego,33837.0,47355.0,36136.0,30764.0,27475.0,44139.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,52298.0,55115.0,58762.0,159713.0,158029.0,134535.0
Pozostałe aktywa trwałe,24592.0,24665.0,23737.0,30618.0,57276.0,41085.0
Aktywa obrotowe,150201.0,144060.0,184670.0,272434.0,218058.0,274145.0
Zapasy,0.0,0.0,0.0,0.0,3912.0,1891.0
Należności krótkoterminowe,41915.0,38477.0,30175.0,55739.0,73121.0,68312.0
Inwestycje krótkoterminowe,103726.0,102179.0,150309.0,209896.0,109886.0,163947.0
Środki pieniężne i inne aktywa pieniężne,93544.0,85934.0,135227.0,184836.0,109538.0,163756.0
Pozostałe aktywa obrotowe,4560.0,3404.0,4186.0,6799.0,31139.0,39995.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,263277.0,273576.0,306055.0,499705.0,1022673.0,1028709.0
Kapitał własny akcjonariuszy jednostki dominującej,-23499.0,55606.0,103191.0,249145.0,315381.0,363145.0
Kapitał (fundusz) podstawowy,342815.0,335367.0,334867.0,340521.0,341325.0,341325.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,99299.0,99299.0,107247.0,108516.0,238248.0,300617.0
Udziały niekontrolujące,681.0,392.0,-216.0,12.0,33.0,38.0
Zobowiązania długoterminowe,97062.0,65683.0,25196.0,51212.0,341119.0,285530.0
Z tytułu dostaw i usług,7164.0,5963.0,9018.0,15770.0,32809.0,35650.0
Kredyty i pożyczki,39629.0,918.0,29294.0,0.0,63492.0,23543.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,6824.0,8510.0,8499.0,9191.0,10942.0,10472.0
Inne zobowiązania długoterminowe,5119.0,7927.0,1549.0,20596.0,29189.0,22640.0
Zobowiązania krótkoterminowe,189033.0,151895.0,177884.0,199336.0,366140.0,379996.0
Inne zobowiązania krótkoterminowe,135416.0,136504.0,131073.0,174375.0,258897.0,310331.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,263277.0,273576.0,306055.0,499705.0,1022673.0,1028709.0
Przepływy pieniężne z działalności operacyjnej,149192.0,151016.0,124460.0,224928.0,239019.0,322905.0
Amortyzacja,9919.0,11014.0,11471.0,12037.0,15812.0,34437.0
Przepływy pieniężne z działalności inwestycyjnej,-27147.0,-13690.0,-3830.0,-28046.0,-517650.0,-22141.0
CAPEX (niematerialne i rzeczowe),6318.0,7217.0,2332.0,8078.0,15807.0,22435.0
Przepływy pieniężne z działalności finansowej,-113686.0,-144963.0,-70817.0,-146814.0,203332.0,-246514.0
Emisja akcji,7.0,500.0,769.0,6307.0,0.0,0.0
Dywidenda,1236.0,47909.0,61791.0,106789.0,136530.0,102398.0
Przepływy pieniężne razem,8359.0,-7637.0,49813.0,50068.0,-75299.0,54250.0
