,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Period,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Przychody ze sprzedaży,173577.0,200878.0,228715.0,233592.0,229217.0,223593.0,199290.0,202874.0,312499.0,236458.0,223545.0,232565.0,260332.0,274756.0
Techniczny koszt wytworzenia produkcji sprzedanej,113899.0,134344.0,174663.0,163647.0,157363.0,153294.0,141245.0,150177.0,252823.0,189163.0,169774.0,172418.0,210493.0,213263.0
Koszty sprzedaży,18479.0,31762.0,26340.0,31220.0,33834.0,33146.0,31793.0,30931.0,41207.0,34712.0,29872.0,28755.0,33597.0,33258.0
Koszty ogólnego zarządu,16802.0,18445.0,18879.0,22825.0,23291.0,20759.0,21367.0,23461.0,27465.0,19292.0,18704.0,18520.0,18517.0,20846.0
Zysk ze sprzedaży,24397.0,16327.0,8833.0,15900.0,14729.0,16394.0,4885.0,-1695.0,-8996.0,-6709.0,5195.0,12872.0,-2275.0,7389.0
Pozostałe przychody operacyjne,2697.0,6126.0,2750.0,3557.0,3565.0,2177.0,1540.0,4128.0,7603.0,11259.0,6053.0,6019.0,8042.0,8222.0
Pozostałe koszty operacyjne,613.0,1080.0,2492.0,3175.0,1324.0,4118.0,1552.0,3624.0,6769.0,5901.0,3691.0,6578.0,5621.0,6803.0
Zysk operacyjny (EBIT),26481.0,21373.0,9091.0,16282.0,16970.0,14453.0,4873.0,-1191.0,-8162.0,-1351.0,7557.0,12313.0,146.0,8808.0
Przychody finansowe,3453.0,2625.0,39.0,559.0,33.0,551.0,298.0,71.0,3667.0,1982.0,68.0,2232.0,0.0,2426.0
Koszty finansowe,6751.0,9301.0,10635.0,8044.0,5117.0,4073.0,4902.0,5076.0,6695.0,6884.0,7517.0,5248.0,10384.0,10306.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,23183.0,14697.0,-1505.0,8797.0,11886.0,10931.0,269.0,-6196.0,-11190.0,-6253.0,108.0,9297.0,-10238.0,928.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,23183.0,14697.0,-1505.0,8797.0,11886.0,10931.0,269.0,-6196.0,-11190.0,-6253.0,108.0,9297.0,-10238.0,928.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,18231.0,13440.0,58.0,8255.0,10377.0,29296.0,-1405.0,-5033.0,-10332.0,-8703.0,393.0,7872.0,-10083.0,437.0
Zysk netto akcjonariuszy jednostki dominującej,18231.0,13440.0,-524.0,8255.0,10377.0,29296.0,-1405.0,-5033.0,-10332.0,-8703.0,393.0,7872.0,-10083.0,437.0
Aktywa trwałe,109728.0,72484.0,74158.0,88566.0,150428.0,191006.0,188048.0,180651.0,172608.0,178151.0,170687.0,165930.0,164209.0,159074.0
Wartości niematerialne i prawne,1008.0,7466.0,8929.0,8891.0,8713.0,7897.0,7828.0,7558.0,7282.0,7800.0,7513.0,7363.0,7730.0,1140.0
Rzeczowe składniki majątku trwałego,55651.0,61968.0,61621.0,75939.0,138145.0,162456.0,162988.0,154202.0,142259.0,149945.0,138518.0,139074.0,136376.0,138113.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,1507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,53045.0,2917.0,2917.0,3571.0,3477.0,2039.0,1739.0,2176.0,5313.0,3797.0,4319.0,227.0,227.0,227.0
Pozostałe aktywa trwałe,24.0,133.0,691.0,165.0,93.0,17107.0,15493.0,16715.0,17754.0,16609.0,20337.0,19266.0,19876.0,19594.0
Aktywa obrotowe,69885.0,72767.0,75027.0,92069.0,68485.0,67483.0,60924.0,54617.0,79098.0,68096.0,84183.0,81312.0,116097.0,125849.0
Zapasy,18336.0,19663.0,24198.0,19704.0,19682.0,23069.0,21462.0,21145.0,30952.0,28728.0,29726.0,34964.0,46372.0,39566.0
Należności krótkoterminowe,46312.0,44743.0,42577.0,42343.0,34562.0,36234.0,24858.0,27150.0,39724.0,35844.0,51413.0,42554.0,67282.0,83502.0
Inwestycje krótkoterminowe,5012.0,3249.0,7145.0,28117.0,12491.0,6860.0,13431.0,5213.0,558.0,567.0,794.0,1865.0,1919.0,404.0
