,0,1,2,3,4,5,6
Period,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,67.65,10.96,26.94,21.34,-7.57,-20.47
Techniczny koszt wytworzenia produkcji sprzedanej,,73.21,11.35,24.57,18.85,-4.16,-23.81
Koszty sprzedaży,,41.46,-4.02,-3.82,26.25,-34.16,-49.52
Koszty ogólnego zarządu,,154.41,47.79,84.91,38.63,1.77,-27.04
Zysk ze sprzedaży,,267.75,168.16,141.08,-5.53,56.38,32.2
Pozostałe przychody operacyjne,,-563.41,-3735.47,94.79,222.16,-7102.9,99.37
Pozostałe koszty operacyjne,,,,,,,
Zysk operacyjny (EBIT),,263.15,87.86,249.48,-4.04,-6.1,117.82
Przychody finansowe,,28951.2,94.89,296.81,-98.96,11674.27,140.45
Koszty finansowe,,-17.19,84.25,2064.01,-61.67,-95.9,-40.44
Pozostałe przychody (koszty),,,,,,,
Zysk z działalności gospodarczej,,154.68,90.75,-952.31,98.58,4329.95,126.07
Wynik zdarzeń nadzwyczajnych,,,,,,,
Zysk przed opodatkowaniem,,154.68,90.75,-952.31,98.58,4329.95,126.07
Zysk (strata) netto z działalności zaniechanej,,,,,,,
Zysk netto,,135.21,46.06,-2014.5,87.34,458.46,129.52
Zysk netto akcjonariuszy jednostki dominującej,,-64.79,46.06,-2014.5,87.34,458.46,129.52
Aktywa trwałe,,-3.71,134.85,263.56,320.42,-39.87,-28.86
Wartości niematerialne i prawne,,-56.67,73.38,3597.85,978.74,-63.32,-23.6
Rzeczowe składniki majątku trwałego,,63.24,308.58,165.46,101.96,-17.29,-47.94
Należności długoterminowe,,,,,,,287.54
Inwestycje długoterminowe,,,,,,,
Pozostałe aktywa trwałe,,-30.13,-58.63,347.71,114.91,98.54,-18.94
Aktywa obrotowe,,14.73,-5.24,154.58,101.7,16.09,-32.6
Zapasy,,,,,,,
Należności krótkoterminowe,,-2.0,34.38,35.66,-0.2,3.04,19.25
Inwestycje krótkoterminowe,,24.86,-24.09,254.71,134.52,17.88,-38.82
Środki pieniężne i inne aktywa pieniężne,,24.86,-24.09,254.71,134.52,17.88,-38.82
Pozostałe aktywa obrotowe,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,
Aktywa razem,,13.9,0.07,164.26,128.45,3.49,-32.11
Kapitał własny akcjonariuszy jednostki dominującej,,49.52,-111.4,-379.24,354.4,15.43,-34.25
Kapitał (fundusz) podstawowy,,8.0,1.01,-1.03,8.02,8.42,-55.3
Udziały (akcje) własne,,-8.0,-86.13,8.09,36.59,-13.79,28.92
Kapitał (fundusz) zapasowy,,95.1,1.17,6.82,2246.76,2.84,-55.97
Udziały niekontrolujące,,,,,,,
Zobowiązania długoterminowe,,-1.59,6.8,261.2,-92.34,-16.69,-35.33
Z tytułu dostaw i usług,,-100.0,,241.51,50.58,-49.99,-36.98
Kredyty i pożyczki,,,,,,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,129.76,66.18,1.82,-15.48
Inne zobowiązania długoterminowe,,-1.59,3.24,260.83,-100.0,,103.86
Zobowiązania krótkoterminowe,,-11.24,47.04,138.01,19.93,-36.56,-16.79
Inne zobowiązania krótkoterminowe,,845462.6,-31.33,32.43,-70.4,102.7,49.74
Rozliczenia międzyokresowe,,,,,,,
Pasywa razem,,13.9,0.07,164.26,128.45,3.49,-32.11
Przepływy pieniężne z działalności operacyjnej,,201.03,194.71,457.83,-56.09,158.43,3.84
Amortyzacja,,40.21,285.97,62.42,160.17,49.79,-26.92
Przepływy pieniężne z działalności inwestycyjnej,,17.82,-2.64,-854.33,-215.78,-121.22,111.32
CAPEX (niematerialne i rzeczowe),,7.87,32.68,213.5,401.46,130.37,-92.57
Przepływy pieniężne z działalności finansowej,,-99.77,-37511.18,99.93,745547.51,-124.52,-534.33
Emisja akcji,,412.99,-62.79,38703.77,1906.33,-100.0,
Dywidenda,,,,,,,
Przepływy pieniężne razem,,-80.01,-321.93,872.11,76.04,-83.75,-469.77
