,0,1,2,3,4,5,6
Period,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,529537.0,887778.0,985089.0,1250499.0,1517380.0,1402510.0,1115352.0
Techniczny koszt wytworzenia produkcji sprzedanej,155851.0,269946.0,300577.0,374419.0,444980.0,426473.0,324909.0
Koszty sprzedaży,360147.0,509462.0,488992.0,470300.0,593730.0,390941.0,197360.0
Koszty ogólnego zarządu,31050.0,78995.0,116749.0,215875.0,299267.0,304552.0,222213.0
Zysk ze sprzedaży,-17511.0,29375.0,78772.0,189904.0,179403.0,280544.0,370870.0
Pozostałe przychody operacyjne,-97.0,-647.0,-24803.0,-1293.0,1579.0,-110600.0,-693.0
Pozostałe koszty operacyjne,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk operacyjny (EBIT),-17608.0,28728.0,53969.0,188612.0,180983.0,169945.0,370177.0
Przychody finansowe,3.0,1011.0,1971.0,7821.0,81.0,9561.0,22988.0
Koszty finansowe,14628.0,12114.0,22319.0,482988.0,185128.0,7598.0,4525.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,-32233.0,17625.0,33621.0,-286555.0,-4064.0,171908.0,388640.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-32233.0,17625.0,33621.0,-286555.0,-4064.0,171908.0,388640.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,-31530.0,11102.0,16216.0,-310459.0,-39305.0,140893.0,323370.0
Zysk netto akcjonariuszy jednostki dominującej,31530.0,11102.0,16216.0,-310459.0,-39305.0,140893.0,323370.0
Aktywa trwałe,7930.0,7636.0,17933.0,65197.0,274099.0,164812.0,117239.0
Wartości niematerialne i prawne,581.0,252.0,437.0,16150.0,174215.0,63910.0,48825.0
Rzeczowe składniki majątku trwałego,2409.0,3933.0,16068.0,42654.0,86145.0,71248.0,37091.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,2377.0,9212.0
Inwestycje długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,4940.0,3451.0,1428.0,6393.0,13739.0,27278.0,22111.0
Aktywa obrotowe,169045.0,193940.0,183782.0,467864.0,943682.0,1095498.0,738340.0
Zapasy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Należności krótkoterminowe,63795.0,62520.0,84017.0,113981.0,113757.0,117220.0,139787.0
Inwestycje krótkoterminowe,105250.0,131420.0,99766.0,353883.0,829925.0,978278.0,598553.0
Środki pieniężne i inne aktywa pieniężne,105250.0,131420.0,99766.0,353883.0,829925.0,978278.0,598553.0
Pozostałe aktywa obrotowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,176975.0,201576.0,201715.0,533061.0,1217781.0,1260310.0,855579.0
Kapitał własny akcjonariuszy jednostki dominującej,-70549.0,-35616.0,-75293.0,-360836.0,917962.0,1059632.0,696731.0
Kapitał (fundusz) podstawowy,7.0,8.0,8.0,8.0,8.0,9.0,4.0
Udziały (akcje) własne,-69156.0,-74686.0,-139011.0,-127763.0,-81013.0,-92182.0,-65526.0
Kapitał (fundusz) zapasowy,26409.0,51523.0,52123.0,55677.0,1306601.0,1343698.0,591682.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,181198.0,178319.0,190439.0,687859.0,52707.0,43912.0,28399.0
Z tytułu dostaw i usług,66319.0,0.0,41596.0,142056.0,213909.0,106973.0,67414.0
Kredyty i pożyczki,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,4546.0,10445.0,17357.0,17673.0,14937.0
Inne zobowiązania długoterminowe,181198.0,178319.0,184090.0,664248.0,0.0,722.0,1472.0
Zobowiązania krótkoterminowe,66326.0,58873.0,86569.0,206039.0,247112.0,156766.0,130449.0
Inne zobowiązania krótkoterminowe,7.0,58873.0,40427.0,53538.0,15846.0,32120.0,48098.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,176975.0,201576.0,201715.0,533061.0,1217781.0,1260310.0,855579.0
Przepływy pieniężne z działalności operacyjnej,-16571.0,16742.0,49340.0,275231.0,120862.0,312339.0,324323.0
Amortyzacja,1424.0,1996.0,7706.0,12515.0,32561.0,48772.0,35643.0
Przepływy pieniężne z działalności inwestycyjnej,-2548.0,-2094.0,-2149.0,-20513.0,-64777.0,-143301.0,16224.0
CAPEX (niematerialne i rzeczowe),2879.0,3106.0,4121.0,12918.0,64777.0,149225.0,11093.0
Przepływy pieniężne z działalności finansowej,93476.0,214.0,-80173.0,-53.0,392237.0,-96166.0,-610008.0
Emisja akcji,42.0,214.0,80.0,30947.0,620892.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,74357.0,14862.0,-32983.0,254665.0,448321.0,72872.0,-269461.0
