,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Period,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,18.38,-41.85,-6.46,13.95,12.74,-10.51,16.56,8.98,19.86,19.49,14.49,21.3,14.62,38.29,28.65,19.11
Techniczny koszt wytworzenia produkcji sprzedanej,,9.64,-31.7,-17.89,0.43,21.34,-19.97,10.38,16.49,10.7,23.43,24.03,18.74,16.63,20.72,25.27,24.75
Koszty sprzedaży,,487.19,17.95,-58.53,8.49,-11.27,15.99,14.95,20.85,1.11,7.43,6.83,7.35,45.42,43.57,54.99,30.44
Koszty ogólnego zarządu,,44.67,-2.76,-23.28,17.37,8.16,2.55,11.57,-3.51,-9.37,20.43,16.3,10.76,13.44,15.82,17.45,13.92
Zysk ze sprzedaży,,-117.71,-3095.12,81.26,143.58,-102.8,4566.67,182.46,-35.54,305.74,9.39,-26.55,67.25,-10.79,186.9,33.48,0.04
Pozostałe przychody operacyjne,,33.33,-40.62,610.53,208.15,-34.38,34.07,-87.16,-12.77,58.54,116.92,-89.36,-53.33,500.0,128.57,-90.62,411.11
Pozostałe koszty operacyjne,,283.33,30.43,-13.33,-5.77,-73.47,7.69,57.14,672.73,-50.59,173.81,-84.35,52.78,105.45,34.51,30.92,-36.68
Zysk operacyjny (EBIT),,-120.21,-2671.88,84.67,242.4,-56.28,144.09,26.13,-54.09,446.24,5.92,-24.41,66.43,-11.86,193.31,31.77,1.28
Przychody finansowe,,1020.0,-32.14,-50.75,-16.03,30.0,-15.38,-14.88,-34.95,38.81,5.38,12.24,-2.73,-32.71,-95.83,8166.67,312.9
Koszty finansowe,,15.38,-80.0,133.33,-100.0,,-55.56,-95.0,3200.0,-90.91,933.33,-93.55,750.0,-100.0,,-40.0,116.67
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,-46.71,-1057.77,87.6,331.88,-49.06,104.83,22.61,-55.54,421.88,4.53,-21.74,61.08,-12.13,183.28,35.72,9.52
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,-46.71,-1057.77,87.6,331.88,-49.06,104.83,22.61,-55.54,421.88,4.53,-21.74,61.08,-12.13,183.28,35.72,9.52
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,
Zysk netto,,-51.83,-1562.57,87.33,317.35,-39.91,65.94,25.62,-65.01,444.7,4.62,-21.62,58.71,-13.17,184.08,41.28,7.29
Zysk netto akcjonariuszy jednostki dominującej,,-51.83,-1562.57,87.33,317.35,-39.91,65.94,25.62,-65.01,444.7,4.62,-21.62,58.71,-13.17,184.08,41.28,7.29
Aktywa trwałe,,107.83,-32.75,33.84,38.81,2.09,15.91,29.41,-14.92,1.42,6.06,5.46,-3.3,44.97,4.59,399.04,13.61
Wartości niematerialne i prawne,,1050.0,-11.59,244.26,16.67,-13.47,-31.6,342.76,-19.47,-8.7,-64.83,32.53,-40.91,-43.08,-36.49,-31.91,3.12
Rzeczowe składniki majątku trwałego,,132.57,-25.06,0.33,76.8,3.88,7.47,-1.16,-12.9,-3.65,27.15,15.38,-8.71,70.49,-5.94,22.12,-18.57
Należności długoterminowe,,1250.0,-7.41,0.0,-100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,8.33,155.77
Inwestycje długoterminowe,,,,,,,,,,,,,,,,,20.33
Pozostałe aktywa trwałe,,8.84,-70.0,14.58,38.18,6.58,203.7,-77.24,8.93,131.15,169.5,-22.63,38.1,28.08,34.04,22.96,-0.7
Aktywa obrotowe,,211.27,-47.19,-14.32,18.19,5.26,2.56,9.3,-1.87,37.42,19.57,8.03,18.98,12.0,40.1,-29.19,-5.23
Zapasy,,0.0,-100.0,,-3.33,-79.31,520.83,-100.0,,,,,,,,,
Należności krótkoterminowe,,28.62,-74.71,1.69,41.49,19.06,-43.47,138.78,-42.43,111.09,-0.08,-2.03,41.95,12.91,27.18,41.84,20.8
Inwestycje krótkoterminowe,,577.71,-39.71,-20.53,8.36,17.39,8.46,-0.45,7.22,28.45,20.73,9.32,17.45,12.74,43.61,-42.2,-17.31
Środki pieniężne i inne aktywa pieniężne,,577.71,-39.71,-20.53,8.36,17.39,-48.59,-0.95,-29.72,155.31,32.3,-17.53,98.75,-11.02,111.7,-68.79,-35.85
Pozostałe aktywa obrotowe,,-36.36,-40.82,23.45,145.81,-89.55,21.74,8.93,70.49,-2.88,208.91,20.83,-27.85,-19.85,-6.42,15.2,25.96
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,
Aktywa razem,,200.41,-46.14,-9.95,20.97,4.77,4.57,12.66,-4.38,31.27,17.79,7.73,16.39,15.18,35.78,10.92,2.71
Kapitał własny akcjonariuszy jednostki dominującej,,360.52,-51.78,-7.27,19.25,3.0,11.14,8.64,-3.66,28.36,13.41,6.9,9.11,9.53,29.04,10.79,-6.29
