,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Period,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,13.92,7.52,4.08,15.63,17.36,9.69,3.11,10.69,10.75,11.72,-38.17,13.74,37.02,17.46
Techniczny koszt wytworzenia produkcji sprzedanej,,22.83,-2.97,6.7,4.96,15.63,5.97,7.17,6.49,7.34,19.42,-34.71,15.74,28.66,13.84
Koszty sprzedaży,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,-87.15,1145.45,-18.07,133.01,25.95,26.6,-12.34,30.22,23.75,-13.69,-53.98,0.79,99.31,34.88
Pozostałe przychody operacyjne,,-61.45,243.75,17.27,19.38,109.74,-10.53,-7.96,68.42,-57.81,719.58,-90.9,2664.54,-103.8,575.0
Pozostałe koszty operacyjne,,73.51,-61.92,222.52,-35.34,-27.0,-36.39,109.3,23.11,-12.27,-27.57,26.99,-30.65,-16.77,111.24
Zysk operacyjny (EBIT),,-120.71,964.06,-35.99,192.82,33.17,27.95,-15.16,32.01,22.07,-1.66,-61.2,85.37,10.82,42.34
Przychody finansowe,,-68.71,-73.62,138.27,-38.34,45.38,9.83,-52.63,107.78,-60.43,-39.19,-68.89,1285.71,88.14,-72.33
Koszty finansowe,,1531.65,-93.04,25.3,-38.02,-36.92,22.8,4.7,-35.26,76.24,11.24,34.51,-48.94,187.25,108.11
Pozostałe przychody (koszty),,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,-670.73,119.68,-50.93,357.85,42.03,27.76,-17.03,37.39,18.82,-2.49,-66.25,117.84,3.98,28.6
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,-670.73,119.68,-50.93,357.85,42.03,27.76,-17.03,37.39,18.82,-2.49,-66.25,117.84,3.98,28.6
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,100.0,,
Zysk netto,,-651.53,106.7,78.99,191.16,48.27,24.07,-16.89,39.13,16.87,1.16,-67.61,133.59,-1.88,28.17
Zysk netto akcjonariuszy jednostki dominującej,,-635.75,110.84,11.58,193.85,49.51,25.12,-16.93,37.31,18.23,1.21,-67.01,131.96,-1.07,20.95
