,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Period,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,62414.0,82626.0,127439.0,105629.0,123209.0,134163.0,153318.0,96730.0,89747.0,4305.0,2373.0,19320.0,28715.0,2368.0,23019.0,48678.0,1603.0
Techniczny koszt wytworzenia produkcji sprzedanej,59575.0,79672.0,116376.0,87875.0,101160.0,122476.0,140177.0,108636.0,80247.0,1968.0,51.0,13724.0,21145.0,1901.0,19031.0,38848.0,1092.0
Koszty sprzedaży,0.0,0.0,0.0,225.0,505.0,789.0,850.0,7342.0,6209.0,40.0,4261.0,945.0,5125.0,4473.0,91.0,2.0,20.0
Koszty ogólnego zarządu,0.0,0.0,0.0,3910.0,4782.0,6497.0,8009.0,695.0,889.0,3896.0,136.0,5416.0,26.0,79.0,3894.0,4357.0,3310.0
Zysk ze sprzedaży,2839.0,2954.0,11063.0,13619.0,16762.0,4401.0,4282.0,-19943.0,2402.0,-1599.0,-2075.0,-765.0,2419.0,-4085.0,3.0,5471.0,-2819.0
Pozostałe przychody operacyjne,60.0,67.0,1775.0,6537.0,17472.0,735.0,6129.0,29995.0,16180.0,9713.0,4079.0,1143.0,7863.0,5121.0,4840.0,1223.0,10352.0
Pozostałe koszty operacyjne,190.0,404.0,1538.0,6200.0,18737.0,1624.0,3609.0,30027.0,6427.0,31988.0,2587.0,1080.0,2143.0,3354.0,1938.0,1978.0,780.0
Zysk operacyjny (EBIT),2709.0,2617.0,11300.0,13956.0,15497.0,3512.0,6802.0,-19975.0,12155.0,-23874.0,-583.0,-702.0,8139.0,-2318.0,2905.0,4716.0,6753.0
Przychody finansowe,359.0,249.0,191.0,83.0,263.0,213.0,23.0,79.0,540.0,130.0,19.0,20.0,107.0,1562.0,71.0,2289.0,8081.0
Koszty finansowe,245.0,549.0,814.0,1081.0,4208.0,5554.0,5728.0,4989.0,4260.0,4672.0,3348.0,6765.0,4523.0,910.0,473.0,559.0,107.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-220.0,-220.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,2823.0,2317.0,10677.0,12958.0,11552.0,-1829.0,1097.0,-24885.0,8435.0,-28416.0,-3912.0,-7447.0,3503.0,-1886.0,2503.0,6446.0,14727.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,2823.0,2317.0,10677.0,12958.0,11552.0,-1829.0,1097.0,-24885.0,8435.0,-28416.0,-3912.0,-7447.0,3503.0,-1886.0,2503.0,6446.0,14727.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,2225.0,1826.0,8249.0,15072.0,9176.0,-1735.0,186.0,-23758.0,5855.0,-28566.0,-3803.0,-8280.0,3687.0,-1832.0,3360.0,5308.0,14651.0
Zysk netto akcjonariuszy jednostki dominującej,2225.0,1826.0,8249.0,15072.0,9176.0,-1735.0,186.0,-23758.0,5855.0,-28566.0,-3803.0,-8280.0,3687.0,-1832.0,3360.0,5308.0,14651.0
Aktywa trwałe,2139.0,2893.0,3357.0,47079.0,54959.0,57147.0,57063.0,32265.0,48600.0,59242.0,55678.0,38820.0,29820.0,24716.0,2016.0,1805.0,1938.0
Wartości niematerialne i prawne,0.0,238.0,268.0,215.0,218.0,1917.0,1283.0,1289.0,1110.0,880.0,660.0,440.0,220.0,0.0,11.0,5.0,0.0
Rzeczowe składniki majątku trwałego,1841.0,1910.0,2088.0,1945.0,2097.0,6150.0,5538.0,4995.0,3614.0,2725.0,2235.0,1666.0,1503.0,848.0,678.0,502.0,273.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,200.0,230.0,212.0,43561.0,48008.0,48800.0,50242.0,23945.0,43067.0,55637.0,52225.0,36714.0,27808.0,23608.0,240.0,646.0,1113.0
Pozostałe aktywa trwałe,98.0,515.0,789.0,1358.0,4636.0,280.0,0.0,2036.0,809.0,0.0,558.0,0.0,289.0,260.0,1087.0,652.0,552.0
Aktywa obrotowe,24852.0,46812.0,62085.0,106391.0,110005.0,144707.0,122670.0,103932.0,59694.0,31735.0,43266.0,53368.0,30462.0,36970.0,61877.0,23316.0,17778.0
Zapasy,11325.0,27527.0,35117.0,56617.0,68863.0,97813.0,68867.0,81939.0,51299.0,27015.0,38010.0,38985.0,20729.0,28152.0,44372.0,14877.0,16308.0
Należności krótkoterminowe,9117.0,13315.0,16086.0,35933.0,32968.0,29132.0,43758.0,18802.0,7618.0,4512.0,4474.0,3356.0,4432.0,1347.0,9425.0,1001.0,401.0
Inwestycje krótkoterminowe,4227.0,4118.0,9151.0,9313.0,5801.0,11514.0,2398.0,599.0,777.0,208.0,782.0,11027.0,5301.0,7398.0,7993.0,7355.0,1033.0
Środki pieniężne i inne aktywa pieniężne,4227.0,4118.0,9151.0,9313.0,1773.0,11514.0,2398.0,599.0,777.0,208.0,782.0,11027.0,5301.0,7398.0,7993.0,7355.0,1033.0
Pozostałe aktywa obrotowe,183.0,1852.0,1731.0,4528.0,2373.0,6248.0,7647.0,2592.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,83.0,36.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0
Aktywa razem,26991.0,49705.0,65442.0,153470.0,164964.0,201854.0,179733.0,136197.0,108294.0,90977.0,98944.0,92188.0,60282.0,61686.0,63893.0,25121.0,19716.0
Kapitał własny akcjonariuszy jednostki dominującej,7673.0,7994.0,15073.0,50020.0,61928.0,57688.0,57875.0,19813.0,27451.0,-2434.0,-6237.0,-14518.0,-10831.0,-12663.0,-9303.0,-3995.0,10656.0
Kapitał (fundusz) podstawowy,502.0,502.0,502.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,4950.0,5617.0,6500.0,38773.0,49267.0,28263.0,25264.0,28263.0,28264.0,28264.0,28264.0,28264.0,28264.0,28264.0,28284.0,28264.0,28264.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,1077.0,4250.0,4087.0,42475.0,45268.0,43689.0,39497.0,20842.0,13444.0,13161.0,643.0,457.0,491.0,7338.0,13521.0,3843.0,19.0
