,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Period,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,603556.0,780183.0,853960.0,778219.0,834159.0,992755.0,991734.0,1041606.0,1111311.0,1002594.0,898044.0,991000.0,1045992.0,1014796.0,960622.0,1093001.0,1183441.0,1434506.0,1812201.0,3164375.0
Techniczny koszt wytworzenia produkcji sprzedanej,524931.0,660145.0,739201.0,664037.0,703126.0,724587.0,763987.0,820330.0,929059.0,853402.0,817135.0,813549.0,837815.0,844053.0,943696.0,970466.0,1073026.0,1291115.0,1544492.0,2171100.0
Koszty sprzedaży,8462.0,11204.0,11088.0,11771.0,12609.0,12412.0,3859.0,10083.0,8164.0,7029.0,3226.0,3002.0,2903.0,3236.0,1930.0,21789.0,26429.0,31741.0,62082.0,620806.0
Koszty ogólnego zarządu,27548.0,33164.0,35902.0,38462.0,36985.0,37966.0,31527.0,29113.0,28304.0,23466.0,12960.0,6189.0,6500.0,7139.0,6040.0,5414.0,63877.0,62658.0,60355.0,72092.0
Zysk ze sprzedaży,42615.0,75670.0,67769.0,63949.0,81439.0,217790.0,192361.0,182080.0,145784.0,118697.0,64723.0,168260.0,198774.0,160368.0,8956.0,95332.0,20109.0,48992.0,145272.0,300377.0
Pozostałe przychody operacyjne,32028.0,20775.0,29251.0,47713.0,25515.0,20900.0,5006.0,7857.0,8289.0,33181.0,35867.0,17880.0,13654.0,11874.0,7716.0,15525.0,150655.0,21476.0,19239.0,16616.0
Pozostałe koszty operacyjne,29877.0,24464.0,10293.0,13638.0,15194.0,12805.0,12672.0,7281.0,18481.0,52073.0,42909.0,17108.0,7557.0,7128.0,4846.0,6843.0,13673.0,3664.0,3742.0,6977.0
Zysk operacyjny (EBIT),44766.0,71981.0,86727.0,98024.0,91760.0,225885.0,184695.0,182656.0,135592.0,99805.0,57681.0,169032.0,204871.0,165114.0,11826.0,104014.0,157091.0,66804.0,160769.0,310016.0
Przychody finansowe,13685.0,13904.0,6384.0,9397.0,14156.0,8418.0,8341.0,9754.0,6899.0,16021.0,4305.0,2218.0,3109.0,6216.0,8799.0,10669.0,7919.0,9279.0,36243.0,41967.0
Koszty finansowe,41525.0,34573.0,29605.0,24597.0,30278.0,26430.0,23770.0,30484.0,23299.0,17733.0,13708.0,12848.0,12761.0,6786.0,5515.0,8233.0,7242.0,3309.0,7474.0,30299.0
Pozostałe przychody (koszty),0.0,0.0,-8767.0,251.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,16926.0,51312.0,54739.0,83075.0,75637.0,207873.0,169266.0,161926.0,119192.0,98093.0,48278.0,158402.0,195219.0,164544.0,15110.0,106450.0,157768.0,72774.0,189538.0,321684.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,16926.0,51312.0,54739.0,83075.0,75637.0,207873.0,169266.0,161926.0,119192.0,98093.0,48278.0,158402.0,195219.0,164544.0,15110.0,106450.0,157768.0,72774.0,189538.0,321684.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,791.0,-5525.0,-1167.0,0.0,10913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,12724.0,40098.0,41597.0,67834.0,60127.0,167399.0,139299.0,122300.0,93898.0,79782.0,50018.0,126737.0,158212.0,132275.0,11270.0,83827.0,125954.0,56787.0,151982.0,256719.0
Zysk netto akcjonariuszy jednostki dominującej,15882.0,33495.0,42536.0,66653.0,75563.0,163970.0,137116.0,126509.0,92523.0,78573.0,49306.0,125395.0,156775.0,131225.0,11929.0,83827.0,123935.0,56254.0,149534.0,255697.0
Aktywa trwałe,1116570.0,1097054.0,1086797.0,1091193.0,1144868.0,1258444.0,1345441.0,1385872.0,1438536.0,1455091.0,1631474.0,1758163.0,1785228.0,1725453.0,1735771.0,1826550.0,1846018.0,1989894.0,2363930.0,2798699.0
Wartości niematerialne i prawne,23779.0,48699.0,42870.0,54123.0,53240.0,56465.0,52750.0,55228.0,61414.0,48083.0,46055.0,44056.0,42161.0,42815.0,42667.0,42506.0,42495.0,42353.0,42215.0,42523.0
Rzeczowe składniki majątku trwałego,1034926.0,993250.0,1004923.0,986992.0,1053479.0,1156999.0,1252126.0,1301027.0,1349762.0,1367401.0,1545698.0,1661996.0,1677238.0,1609634.0,1589656.0,1676888.0,1678789.0,1728408.0,2143095.0,2602951.0
Należności długoterminowe,106.0,0.0,2045.0,7889.0,5950.0,6359.0,6360.0,4579.0,6978.0,4233.0,6143.0,9441.0,8406.0,8938.0,9936.0,10984.0,5393.0,5086.0,4800.0,3818.0
Inwestycje długoterminowe,28025.0,14508.0,29568.0,31842.0,29382.0,37789.0,33425.0,23994.0,19575.0,30187.0,31282.0,30868.0,29902.0,29014.0,28417.0,15533.0,14948.0,14066.0,17427.0,16963.0
