,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Period,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,12168.0,14473.0,35184.0,48454.0,84726.0,104792.0,110330.0,102395.0,107057.0,113936.0,123333.0,149158.0,201594.0,211810.0,257162.0,284819.0,294205.0
Techniczny koszt wytworzenia produkcji sprzedanej,5629.0,6799.0,21228.0,28403.0,67601.0,79560.0,82294.0,65724.0,83567.0,95930.0,101268.0,124958.0,173914.0,176041.0,192709.0,220716.0,228933.0
Koszty sprzedaży,188.0,237.0,1292.0,1135.0,1141.0,823.0,1472.0,6210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,3711.0,3545.0,4872.0,7974.0,6115.0,5771.0,7316.0,9308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,2640.0,3892.0,7792.0,10942.0,9869.0,18638.0,19248.0,21153.0,23490.0,18006.0,22065.0,24200.0,27680.0,35769.0,64453.0,64103.0,65272.0
Pozostałe przychody operacyjne,45.0,78.0,158.0,447.0,108.0,76.0,3431.0,329.0,277.0,1789.0,400.0,18267.0,1669.0,347.0,79.0,620.0,1885.0
Pozostałe koszty operacyjne,28.0,72.0,440.0,168.0,170.0,1412.0,2111.0,5355.0,3025.0,1423.0,1242.0,899.0,3246.0,1004.0,4694.0,3985.0,649.0
Zysk operacyjny (EBIT),2657.0,3898.0,7510.0,11221.0,9807.0,17302.0,20568.0,16127.0,20742.0,18372.0,21223.0,41568.0,26103.0,35112.0,59838.0,60738.0,66508.0
Przychody finansowe,1.0,29.0,0.0,1402.0,753.0,369.0,218.0,245.0,202.0,141.0,43.0,16.0,44.0,196.0,794.0,758.0,906.0
Koszty finansowe,267.0,205.0,301.0,285.0,411.0,765.0,1224.0,595.0,89.0,560.0,1216.0,2402.0,2874.0,2241.0,1300.0,1307.0,1781.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,2391.0,3722.0,7209.0,12338.0,10149.0,16906.0,19562.0,15777.0,20855.0,17953.0,20050.0,39182.0,23273.0,33067.0,59332.0,60189.0,65633.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,2391.0,3722.0,7209.0,12338.0,10149.0,16906.0,19562.0,15777.0,20855.0,17953.0,20050.0,39182.0,23273.0,33067.0,59332.0,60189.0,65633.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-597.0,-1763.0,1483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,2136.0,3815.0,6074.0,10454.0,8384.0,13463.0,18290.0,12963.0,16071.0,15349.0,15909.0,35991.0,18564.0,27244.0,48642.0,47666.0,51871.0
Zysk netto akcjonariuszy jednostki dominującej,2136.0,3815.0,6074.0,10346.0,8381.0,13532.0,19028.0,12963.0,16422.0,15310.0,15909.0,36282.0,18543.0,27242.0,48642.0,47666.0,51871.0
Aktywa trwałe,7547.0,11086.0,12446.0,17833.0,36615.0,36374.0,74436.0,43769.0,43959.0,82563.0,84230.0,158809.0,152176.0,149252.0,146746.0,145371.0,170704.0
Wartości niematerialne i prawne,6951.0,10309.0,10928.0,15108.0,28838.0,28294.0,62407.0,33445.0,34645.0,76146.0,72723.0,152376.0,140171.0,140193.0,136996.0,136251.0,155532.0
Rzeczowe składniki majątku trwałego,464.0,480.0,1385.0,2635.0,7580.0,7756.0,6739.0,5851.0,5143.0,5234.0,4344.0,5489.0,9454.0,7301.0,6412.0,5563.0,7165.0
Należności długoterminowe,0.0,0.0,0.0,12.0,12.0,12.0,7.0,187.0,182.0,305.0,175.0,181.0,180.0,195.0,194.0,0.0,0.0
Inwestycje długoterminowe,0.0,0.0,0.0,0.0,105.0,105.0,953.0,4219.0,3649.0,0.0,6158.0,0.0,0.0,0.0,92.0,0.0,0.0
Pozostałe aktywa trwałe,132.0,297.0,133.0,78.0,80.0,207.0,4330.0,67.0,340.0,878.0,830.0,763.0,2371.0,1563.0,3052.0,3557.0,8007.0
Aktywa obrotowe,2440.0,3284.0,8309.0,12017.0,36037.0,39422.0,62427.0,53653.0,53513.0,48043.0,39266.0,49540.0,72713.0,81154.0,115068.0,151038.0,176718.0
