,0,1,2,3,4,5,6,7,8,9,10,11
Period,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,105473.0,133064.0,166916.0,165331.0,166723.0,206870.0,269271.0,296783.0,445942.0,395308.0,377158.0,359230.0
Techniczny koszt wytworzenia produkcji sprzedanej,81025.0,99604.0,121865.0,120646.0,123038.0,177153.0,239755.0,258497.0,326329.0,336775.0,310906.0,307460.0
Koszty sprzedaży,8941.0,12486.0,11566.0,11388.0,12915.0,19088.0,16915.0,20680.0,25903.0,28029.0,28279.0,24859.0
Koszty ogólnego zarządu,9879.0,11782.0,14628.0,15822.0,21883.0,4137.0,4887.0,5669.0,10811.0,12253.0,16590.0,19796.0
Zysk ze sprzedaży,5628.0,9192.0,18857.0,17475.0,8887.0,6492.0,7714.0,11937.0,82899.0,18251.0,21383.0,7115.0
Pozostałe przychody operacyjne,782.0,794.0,1275.0,2492.0,2129.0,2254.0,4095.0,5053.0,4956.0,5502.0,1781.0,2509.0
Pozostałe koszty operacyjne,1480.0,2446.0,3207.0,1795.0,7091.0,1181.0,3664.0,6434.0,13499.0,3229.0,6476.0,12663.0
Zysk operacyjny (EBIT),4930.0,7540.0,16925.0,18172.0,3925.0,7565.0,8145.0,10556.0,74356.0,20524.0,16688.0,-3039.0
Przychody finansowe,203.0,230.0,289.0,127.0,60.0,602.0,0.0,70.0,4.0,1773.0,1439.0,856.0
Koszty finansowe,1555.0,1681.0,1312.0,1310.0,1315.0,1038.0,2117.0,2364.0,2809.0,1379.0,3979.0,4551.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,3578.0,6089.0,15902.0,16989.0,2670.0,7129.0,6028.0,8262.0,71551.0,20918.0,14148.0,-6734.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,3578.0,6089.0,15902.0,16989.0,2670.0,7129.0,6028.0,8262.0,71551.0,20918.0,14148.0,-6734.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,2845.0,4335.0,12073.0,13560.0,2556.0,5747.0,5050.0,7063.0,56932.0,15580.0,13080.0,-6681.0
Zysk netto akcjonariuszy jednostki dominującej,2845.0,4335.0,12073.0,13560.0,2556.0,5746.0,5050.0,7063.0,56932.0,15580.0,13080.0,-6681.0
Aktywa trwałe,49098.0,51243.0,57787.0,64572.0,80699.0,78819.0,102881.0,124146.0,131554.0,136786.0,139811.0,134507.0
Wartości niematerialne i prawne,461.0,378.0,582.0,580.0,509.0,348.0,436.0,2838.0,2415.0,2787.0,2370.0,1995.0
Rzeczowe składniki majątku trwałego,45827.0,48344.0,54237.0,60706.0,76738.0,76837.0,99282.0,119005.0,125353.0,129323.0,133090.0,129601.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,1978.0,1978.0,1978.0,1978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,832.0,543.0,990.0,1308.0,3452.0,1634.0,3163.0,2303.0,3786.0,4676.0,4351.0,2911.0
Aktywa obrotowe,26799.0,37233.0,34051.0,42866.0,42891.0,54528.0,48664.0,48191.0,78894.0,90517.0,93245.0,93090.0
Zapasy,10287.0,14435.0,10965.0,18981.0,18717.0,20904.0,24788.0,23569.0,25135.0,32991.0,42033.0,41284.0
Należności krótkoterminowe,14040.0,18412.0,20113.0,21973.0,23436.0,32517.0,23299.0,22874.0,46994.0,54011.0,49013.0,47310.0
Inwestycje krótkoterminowe,1899.0,3668.0,2093.0,1362.0,200.0,675.0,577.0,760.0,6321.0,2147.0,873.0,2578.0
Środki pieniężne i inne aktywa pieniężne,1697.0,3668.0,2093.0,1362.0,200.0,675.0,577.0,760.0,6321.0,2077.0,770.0,2472.0
Pozostałe aktywa obrotowe,573.0,718.0,880.0,550.0,538.0,432.0,0.0,988.0,444.0,1368.0,1326.0,1918.0
