,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Period,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,295926.0,266725.0,232680.0,224206.0,287117.0,209472.0,219958.0,269723.0,286553.0,284236.0,288206.0,177891.0,199967.0,250178.0,284475.0,257049.0,151735.0
Techniczny koszt wytworzenia produkcji sprzedanej,216560.0,195727.0,183403.0,163455.0,215570.0,166619.0,169454.0,223093.0,220486.0,237517.0,248263.0,160488.0,155681.0,206730.0,248449.0,233891.0,148315.0
Koszty sprzedaży,14495.0,13473.0,7898.0,5740.0,19640.0,24567.0,24149.0,25929.0,37370.0,36391.0,36871.0,23784.0,17452.0,21428.0,27406.0,22017.0,15404.0
Koszty ogólnego zarządu,22581.0,19190.0,19997.0,13352.0,11049.0,11480.0,11121.0,11490.0,13197.0,17217.0,20265.0,17247.0,16411.0,17052.0,15827.0,16340.0,14730.0
Zysk ze sprzedaży,42290.0,38335.0,21382.0,41659.0,40858.0,6806.0,15234.0,9211.0,15500.0,-6889.0,-17193.0,-23628.0,10423.0,4968.0,-7207.0,-15199.0,-26714.0
Pozostałe przychody operacyjne,4845.0,7068.0,6346.0,151114.0,9321.0,3760.0,2101.0,8556.0,2777.0,5860.0,1838.0,2673.0,16239.0,1202.0,1022.0,32830.0,31357.0
Pozostałe koszty operacyjne,14551.0,14356.0,7418.0,8068.0,2971.0,2164.0,1739.0,8511.0,9264.0,414.0,1297.0,492.0,1429.0,801.0,4365.0,19015.0,7787.0
Zysk operacyjny (EBIT),32584.0,31047.0,20310.0,184705.0,47208.0,8402.0,15596.0,9256.0,9013.0,-1443.0,-16652.0,-21447.0,25233.0,5369.0,-10550.0,-1384.0,-3144.0
Przychody finansowe,1800.0,2940.0,2204.0,1913.0,996.0,407.0,305.0,262.0,226.0,130.0,24.0,91.0,86.0,75.0,110.0,26.0,9115.0
Koszty finansowe,2209.0,117.0,905.0,7048.0,8598.0,7780.0,7563.0,7298.0,6051.0,6026.0,6269.0,8117.0,9207.0,6708.0,5316.0,8764.0,9723.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,32175.0,33870.0,21609.0,179570.0,39606.0,1029.0,8338.0,2220.0,3188.0,-7339.0,-22897.0,-29473.0,16112.0,-1264.0,-15756.0,-10122.0,-3752.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,32175.0,33870.0,21609.0,179570.0,39606.0,1029.0,8338.0,2220.0,3188.0,-7339.0,-22897.0,-29473.0,16112.0,-1264.0,-15756.0,-10122.0,-3752.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,23418.0,26746.0,15891.0,172259.0,31612.0,3454.0,6133.0,261.0,-4214.0,-6072.0,-21299.0,-30749.0,17778.0,-1637.0,-13423.0,-9990.0,-5353.0
Zysk netto akcjonariuszy jednostki dominującej,23418.0,26746.0,15891.0,172259.0,31612.0,3454.0,6133.0,261.0,-4214.0,-6072.0,-21299.0,-30749.0,17778.0,-1637.0,-13423.0,-9990.0,-5353.0
Aktywa trwałe,204683.0,195338.0,186007.0,258264.0,270387.0,270379.0,255526.0,276692.0,273264.0,262017.0,258115.0,229025.0,254927.0,246431.0,246405.0,184573.0,129749.0
Wartości niematerialne i prawne,18017.0,15797.0,13593.0,68381.0,65989.0,63301.0,67464.0,55971.0,52541.0,49716.0,48880.0,43860.0,45610.0,43125.0,41683.0,25089.0,17962.0
