,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Period,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,30364.0,25118.0,38310.0,35442.0,43736.0,21733.0,38242.0,164005.0,190088.0,210801.0,236133.0,240250.0,273977.0,230801.0,239551.0,258123.0,237680.0,265433.0,332005.0,377613.0
Techniczny koszt wytworzenia produkcji sprzedanej,18769.0,16379.0,26924.0,24186.0,29831.0,16245.0,29270.0,123865.0,150553.0,170411.0,186313.0,204880.0,211958.0,180377.0,192405.0,193283.0,158436.0,186784.0,238827.0,260331.0
Koszty sprzedaży,348.0,808.0,284.0,687.0,1446.0,1488.0,2115.0,6214.0,8599.0,9881.0,10814.0,11172.0,11815.0,13914.0,13791.0,17128.0,17284.0,19861.0,26318.0,21595.0
Koszty ogólnego zarządu,5856.0,6368.0,4284.0,3857.0,5304.0,4106.0,4657.0,23247.0,23108.0,21648.0,24059.0,24287.0,27952.0,27799.0,23276.0,24774.0,23321.0,29558.0,33825.0,39762.0
Zysk ze sprzedaży,5391.0,1563.0,6818.0,6712.0,7155.0,-106.0,2200.0,10679.0,7828.0,8861.0,14947.0,-89.0,22252.0,8711.0,10079.0,22938.0,38639.0,29230.0,33035.0,55925.0
Pozostałe przychody operacyjne,878.0,1521.0,2583.0,878.0,525.0,4072.0,490.0,4531.0,6144.0,3011.0,6599.0,9360.0,4375.0,4364.0,6659.0,4152.0,6105.0,4348.0,3362.0,8199.0
Pozostałe koszty operacyjne,1364.0,273.0,267.0,537.0,1115.0,1851.0,4978.0,5613.0,3201.0,3231.0,4702.0,2983.0,7557.0,7498.0,3600.0,4242.0,2955.0,3173.0,7474.0,10978.0
Zysk operacyjny (EBIT),4905.0,2811.0,9134.0,7053.0,6565.0,2115.0,-2288.0,9597.0,10771.0,8641.0,16844.0,6288.0,19070.0,5577.0,13138.0,22848.0,41789.0,30405.0,28923.0,53146.0
Przychody finansowe,195.0,3603.0,2177.0,8825.0,3009.0,1665.0,433.0,39880.0,412.0,928.0,1280.0,1061.0,626.0,2530.0,273.0,6215.0,620.0,826.0,57.0,3779.0
Koszty finansowe,594.0,249.0,547.0,3346.0,4059.0,1818.0,3471.0,7614.0,5127.0,3862.0,4228.0,3481.0,4834.0,3618.0,4428.0,3448.0,3937.0,1787.0,4042.0,3198.0
Pozostałe przychody (koszty),0.0,0.0,5015.0,915.0,0.0,0.0,0.0,0.0,0.0,0.0,-359.0,88.0,357.0,-117.0,-385.0,-109.0,15.0,0.0,-44.0,-30.0
Zysk z działalności gospodarczej,4506.0,6165.0,15779.0,13447.0,5515.0,1962.0,-5326.0,41863.0,6056.0,5707.0,13537.0,3956.0,15219.0,4372.0,8598.0,25506.0,38487.0,29444.0,24894.0,53697.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,4506.0,6165.0,15779.0,13447.0,5515.0,1962.0,-5326.0,41863.0,6056.0,5707.0,13537.0,3956.0,15219.0,4372.0,8598.0,25506.0,38487.0,29444.0,24894.0,53697.0
