,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Period,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,91.73,22.1,20.86,10.57,10.97,11.52,16.42,-12.58,11.11,15.1,43.78,0.21,8.27,-16.54,25.47,6.14,-0.76
Techniczny koszt wytworzenia produkcji sprzedanej,,67.63,50.07,22.58,11.5,21.22,14.94,13.95,-15.49,-3.73,23.41,43.67,6.08,14.49,-2.9,-7.26,16.27,-15.47
Koszty sprzedaży,,430.93,47.77,-35.61,69.59,16.25,22.98,10.69,-3.19,12.57,48.71,118.63,-50.98,-33.01,-36.14,907.06,17.3,0.43
Koszty ogólnego zarządu,,160.31,87.03,-30.4,-26.86,-1.05,-1.58,-5.67,21.98,-3.4,15.48,14.39,4.18,-0.3,-23.95,23.56,23.62,8.63
Zysk ze sprzedaży,,89.6,-181.1,163.28,105.35,-49.47,-25.19,164.41,-26.29,233.31,-26.09,28.24,4.83,-10.99,-129.26,328.53,-177.95,249.23
Pozostałe przychody operacyjne,,13.27,132.43,68.6,-13.79,81.6,34.95,63.33,-18.32,-38.34,213.36,-40.99,42.99,17.46,84.41,-15.87,16.11,-84.94
Pozostałe koszty operacyjne,,2.42,44.09,15.85,156.6,-36.76,6.1,192.05,79.64,-23.24,-63.54,-7.09,-16.27,5.28,207.29,-45.59,-61.58,16.31
Zysk operacyjny (EBIT),,92.89,-177.92,181.07,54.5,-27.3,-3.39,87.44,-66.55,421.93,27.81,2.32,15.98,-3.45,-74.07,256.04,-72.98,138.31
Przychody finansowe,,,111.68,130.34,-94.16,464.1,137.27,-46.93,-23.1,54.46,-80.85,298.41,-19.52,161.39,4.17,-74.91,-29.71,19.59
Koszty finansowe,,29.68,756.72,-39.95,-64.02,4.03,-20.41,-42.53,1048.59,-95.18,51.02,-15.54,-7.2,150.0,61.03,-31.69,35.11,116.47
Pozostałe przychody (koszty),,,,,,,,,,100.0,,,,,,,,
Zysk z działalności gospodarczej,,120.3,-256.41,129.36,81.31,-22.52,27.42,68.04,-156.6,412.33,19.57,6.19,14.95,-1.14,-73.75,228.75,-77.94,136.65
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,120.3,-256.41,129.36,81.31,-22.52,27.42,68.04,-156.6,412.33,19.57,6.19,14.95,-1.14,-73.75,228.75,-77.94,136.65
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,
Zysk netto,,135.74,-292.89,127.96,78.42,-21.22,26.05,41.89,-163.71,385.14,21.81,11.68,20.4,2.13,-61.23,169.11,-57.35,15.67
Zysk netto akcjonariuszy jednostki dominującej,,135.74,-292.89,127.96,78.42,-21.22,26.05,41.89,-163.71,385.14,21.81,11.68,20.4,2.13,-61.23,169.11,-57.35,15.67
Aktywa trwałe,,172.43,21.19,-7.66,-2.42,0.37,8.55,4.15,-3.07,-0.16,20.58,23.17,-11.97,18.69,2.92,10.6,27.04,4.63
Wartości niematerialne i prawne,,68.35,23.82,-11.06,-9.44,5.32,6.58,20.93,-5.73,0.8,24.05,40.05,-19.64,5.04,4.48,28.21,8.57,9.46
Rzeczowe składniki majątku trwałego,,756.1,-10.63,-4.97,4.57,-3.4,10.36,-14.02,-5.55,-6.77,18.73,3.49,33.76,53.24,-4.84,-10.3,44.82,-2.05
Należności długoterminowe,,,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,348.51,-0.04,5.32,-5.05,0.04,0.0,0.0,0.0,20.79,-9.03,-65.15,-100.0,,,,0.0
Pozostałe aktywa trwałe,,124.44,258.42,-5.52,14.04,-12.05,83.38,-41.02,92.18,32.4,-8.69,1.62,-7.08,57.25,56.56,-10.78,83.95,3.41
Aktywa obrotowe,,515.72,-50.34,4.46,39.42,0.95,21.65,29.09,-21.25,44.22,6.04,6.23,21.25,27.05,-5.03,14.51,-24.93,14.07
Zapasy,,2119.4,23.54,-30.43,69.17,2.36,-2.49,2.04,-11.49,-0.67,25.83,17.32,2.73,65.5,-33.88,78.99,32.57,-48.83
Należności krótkoterminowe,,114.81,16.82,11.18,70.27,-1.7,4.37,42.37,-14.77,0.63,10.12,24.26,4.32,51.46,-50.13,21.41,10.44,24.32
Inwestycje krótkoterminowe,,5187.27,-96.22,507.27,-53.44,23.79,309.09,50.03,-50.4,395.31,-7.91,-28.02,80.87,-25.3,153.82,-3.87,-78.23,156.9
