,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Period,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,6566.0,12589.0,15371.0,18577.0,20540.0,22794.0,25419.0,29594.0,25870.0,28744.0,33084.0,47568.0,47667.0,51611.0,43075.0,54047.0,57366.0,56928.0
Techniczny koszt wytworzenia produkcji sprzedanej,4350.0,7292.0,10943.0,13414.0,14956.0,18129.0,20838.0,23745.0,20067.0,19318.0,23840.0,34251.0,36332.0,41598.0,40390.0,37457.0,43551.0,36812.0
Koszty sprzedaży,97.0,515.0,761.0,490.0,831.0,966.0,1188.0,1315.0,1273.0,1433.0,2131.0,4659.0,2284.0,1530.0,977.0,9839.0,11541.0,11591.0
Koszty ogólnego zarządu,1081.0,2814.0,5263.0,3663.0,2679.0,2651.0,2609.0,2461.0,3002.0,2900.0,3349.0,3831.0,3991.0,3979.0,3026.0,3739.0,4622.0,5021.0
Zysk ze sprzedaży,1038.0,1968.0,-1596.0,1010.0,2074.0,1048.0,784.0,2073.0,1528.0,5093.0,3764.0,4827.0,5060.0,4504.0,-1318.0,3012.0,-2348.0,3504.0
Pozostałe przychody operacyjne,98.0,111.0,258.0,435.0,375.0,681.0,919.0,1501.0,1226.0,756.0,2369.0,1398.0,1999.0,2348.0,4330.0,3643.0,4230.0,637.0
Pozostałe koszty operacyjne,124.0,127.0,183.0,212.0,544.0,344.0,365.0,1066.0,1915.0,1470.0,536.0,498.0,417.0,439.0,1349.0,734.0,282.0,328.0
Zysk operacyjny (EBIT),1012.0,1952.0,-1521.0,1233.0,1905.0,1385.0,1338.0,2508.0,839.0,4379.0,5597.0,5727.0,6642.0,6413.0,1663.0,5921.0,1600.0,3813.0
Przychody finansowe,0.0,137.0,290.0,668.0,39.0,220.0,522.0,277.0,213.0,329.0,63.0,251.0,202.0,528.0,550.0,138.0,97.0,116.0
Koszty finansowe,155.0,201.0,1722.0,1034.0,372.0,387.0,308.0,177.0,2033.0,98.0,148.0,125.0,116.0,290.0,467.0,319.0,431.0,933.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,857.0,1888.0,-2953.0,867.0,1572.0,1218.0,1552.0,2608.0,-1476.0,4610.0,5512.0,5853.0,6728.0,6651.0,1746.0,5740.0,1266.0,2996.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,857.0,1888.0,-2953.0,867.0,1572.0,1218.0,1552.0,2608.0,-1476.0,4610.0,5512.0,5853.0,6728.0,6651.0,1746.0,5740.0,1266.0,2996.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,638.0,1504.0,-2901.0,811.0,1447.0,1140.0,1437.0,2039.0,-1299.0,3704.0,4512.0,5039.0,6067.0,6196.0,2402.0,6464.0,2757.0,3189.0
Zysk netto akcjonariuszy jednostki dominującej,638.0,1504.0,-2901.0,811.0,1447.0,1140.0,1437.0,2039.0,-1299.0,3704.0,4512.0,5039.0,6067.0,6196.0,2402.0,6464.0,2757.0,3189.0
Aktywa trwałe,5596.0,15245.0,18475.0,17059.0,16646.0,16707.0,18136.0,18889.0,18309.0,18279.0,22041.0,27149.0,23899.0,28365.0,29194.0,32288.0,41018.0,42919.0
Wartości niematerialne i prawne,4781.0,8049.0,9966.0,8864.0,8027.0,8454.0,9010.0,10896.0,10272.0,10354.0,12844.0,17988.0,14455.0,15184.0,15865.0,20341.0,22085.0,24175.0
