,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Period,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,122847.0,147255.0,167222.0,175759.0,200860.0,216695.0,262892.0,375022.0,428697.0,438866.0,428485.0,990376.0,922803.0,575900.0
Techniczny koszt wytworzenia produkcji sprzedanej,116771.0,140310.0,159542.0,169020.0,190145.0,203840.0,240878.0,347510.0,394888.0,406509.0,398361.0,765486.0,836748.0,527401.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36374.0,40760.0,38420.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22898.0,13130.0,12330.0
Zysk ze sprzedaży,6076.0,6945.0,7680.0,6739.0,10715.0,12855.0,22014.0,27512.0,33809.0,32357.0,30124.0,165618.0,32165.0,-2251.0
Pozostałe przychody operacyjne,300.0,172.0,166.0,1171.0,1374.0,1231.0,1412.0,1533.0,1438.0,1755.0,1541.0,1884.0,2416.0,2815.0
Pozostałe koszty operacyjne,461.0,1745.0,993.0,694.0,927.0,445.0,854.0,396.0,370.0,188.0,427.0,853.0,635.0,521.0
Zysk operacyjny (EBIT),5915.0,5372.0,6853.0,7216.0,11162.0,13641.0,22572.0,28649.0,34877.0,33924.0,31238.0,166649.0,33946.0,43.0
Przychody finansowe,148.0,172.0,166.0,246.0,26.0,38.0,66.0,17.0,1028.0,2.0,2935.0,0.0,692.0,0.0
Koszty finansowe,791.0,1745.0,993.0,831.0,744.0,1200.0,759.0,2611.0,1276.0,2270.0,1039.0,2553.0,4326.0,13118.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,5272.0,3799.0,6026.0,6631.0,10444.0,12479.0,21879.0,26055.0,34629.0,31656.0,33134.0,164096.0,30312.0,-13075.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,5272.0,3799.0,6026.0,6631.0,10444.0,12479.0,21879.0,26055.0,34629.0,31656.0,33134.0,164096.0,30312.0,-13075.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,3955.0,4240.0,4942.0,5952.0,8380.0,10135.0,17753.0,20715.0,27901.0,25410.0,26953.0,132964.0,24632.0,-14777.0
Zysk netto akcjonariuszy jednostki dominującej,3955.0,4240.0,4942.0,5952.0,8380.0,10135.0,17753.0,20715.0,27901.0,25410.0,26953.0,132964.0,24632.0,-14777.0
Aktywa trwałe,22039.0,25298.0,34626.0,35825.0,56331.0,64513.0,78479.0,99448.0,132796.0,145472.0,159972.0,168619.0,206455.0,208421.0
Wartości niematerialne i prawne,14.0,22.0,13.0,7.0,39.0,58.0,76.0,68.0,101.0,28418.0,27697.0,27434.0,46479.0,44692.0
Rzeczowe składniki majątku trwałego,21978.0,25208.0,34529.0,35717.0,56158.0,64299.0,68802.0,82288.0,104545.0,115068.0,115298.0,138882.0,158350.0,163705.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,47.0,68.0,84.0,101.0,134.0,156.0,9601.0,17092.0,28150.0,1986.0,16977.0,2303.0,1626.0,24.0
