,0,1,2,3,4,5,6,7,8,9
Period,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,49642.0,50731.0,34550.0,54348.0,123287.0,93378.0,127274.0,188805.0,281664.0,193265.0
Techniczny koszt wytworzenia produkcji sprzedanej,47579.0,38230.0,22293.0,40773.0,107348.0,81435.0,96585.0,162221.0,244639.0,161356.0
Koszty sprzedaży,0.0,0.0,30.0,224.0,102.0,620.0,1989.0,5945.0,8862.0,7907.0
Koszty ogólnego zarządu,0.0,0.0,11345.0,7298.0,10735.0,14746.0,20985.0,24021.0,21740.0,27164.0
Zysk ze sprzedaży,2063.0,12501.0,882.0,6053.0,5102.0,-3423.0,7715.0,-3382.0,6423.0,-3162.0
Pozostałe przychody operacyjne,10053.0,3083.0,6924.0,8118.0,8587.0,19706.0,9140.0,20116.0,30310.0,20036.0
Pozostałe koszty operacyjne,9527.0,1026.0,4984.0,6896.0,6488.0,11167.0,5313.0,12322.0,29640.0,13798.0
Zysk operacyjny (EBIT),2589.0,14558.0,2822.0,7275.0,7201.0,5116.0,11542.0,4412.0,7093.0,3076.0
Przychody finansowe,9.0,49.0,7.0,54.0,35.0,20.0,110.0,169.0,336.0,1775.0
Koszty finansowe,582.0,754.0,691.0,1256.0,1550.0,1622.0,1393.0,1407.0,6539.0,8599.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,2016.0,13853.0,2138.0,6073.0,5686.0,3514.0,10259.0,3174.0,890.0,-3748.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,2016.0,13853.0,2138.0,6073.0,5686.0,3514.0,10259.0,3174.0,890.0,-3748.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,2016.0,13853.0,2138.0,6072.0,5652.0,3465.0,10175.0,1746.0,215.0,-4643.0
Zysk netto akcjonariuszy jednostki dominującej,2016.0,13853.0,2138.0,6072.0,5652.0,3465.0,10175.0,1746.0,215.0,-4643.0
Aktywa trwałe,24554.0,64402.0,67592.0,97012.0,111842.0,146110.0,184770.0,247907.0,256375.0,433090.0
Wartości niematerialne i prawne,2262.0,4275.0,5621.0,5742.0,6601.0,7253.0,10986.0,11856.0,17004.0,25135.0
Rzeczowe składniki majątku trwałego,21963.0,59482.0,61370.0,90657.0,104804.0,137956.0,171961.0,234187.0,237725.0,405206.0
Należności długoterminowe,242.0,561.0,538.0,613.0,214.0,171.0,1767.0,1805.0,1518.0,2206.0
Inwestycje długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0
Pozostałe aktywa trwałe,87.0,84.0,63.0,0.0,223.0,730.0,56.0,59.0,128.0,186.0
Aktywa obrotowe,14922.0,16588.0,24684.0,38465.0,67504.0,70080.0,118758.0,142308.0,174815.0,145586.0
Zapasy,1296.0,3795.0,7234.0,5320.0,7290.0,9615.0,38266.0,57706.0,66483.0,44079.0
Należności krótkoterminowe,10128.0,10265.0,15767.0,30423.0,45104.0,44842.0,59956.0,59855.0,81273.0,80790.0
Inwestycje krótkoterminowe,3397.0,2397.0,1586.0,2375.0,14654.0,15132.0,20536.0,24747.0,27059.0,20717.0
Środki pieniężne i inne aktywa pieniężne,3397.0,2397.0,1586.0,2375.0,14650.0,15132.0,20536.0,24747.0,27059.0,20717.0
Pozostałe aktywa obrotowe,101.0,131.0,97.0,347.0,456.0,491.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,39476.0,80990.0,92276.0,135477.0,179346.0,216190.0,303528.0,390215.0,431190.0,578676.0
Kapitał własny akcjonariuszy jednostki dominującej,8437.0,22290.0,24464.0,35702.0,74838.0,77376.0,144350.0,146200.0,146407.0,197910.0
Kapitał (fundusz) podstawowy,4000.0,4000.0,4000.0,4368.0,5650.0,5650.0,6380.0,6484.0,6484.0,7381.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,5133.0,8038.0,18872.0,24128.0,61533.0,67174.0,91239.0,91239.0,81239.0,146522.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,12671.0,37246.0,40088.0,58080.0,59857.0,92687.0,95258.0,146929.0,133801.0,228838.0
Z tytułu dostaw i usług,5622.0,4802.0,9093.0,22625.0,23915.0,24678.0,31645.0,56089.0,75678.0,71609.0
Kredyty i pożyczki,5486.0,10049.0,12385.0,14474.0,15818.0,15079.0,29756.0,33067.0,68714.0,71609.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,296.0,336.0,324.0,396.0,580.0,537.0,1788.0,4100.0,3335.0,3691.0
Inne zobowiązania długoterminowe,10224.0,22422.0,24251.0,37911.0,47903.0,59991.0,67605.0,87144.0,84789.0,155308.0
Zobowiązania krótkoterminowe,18368.0,21454.0,27724.0,41695.0,44651.0,46127.0,63920.0,97086.0,150982.0,151928.0
Inne zobowiązania krótkoterminowe,6964.0,6267.0,5922.0,4200.0,4338.0,5833.0,731.0,3830.0,3255.0,5019.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,39476.0,80990.0,92276.0,135477.0,179346.0,216190.0,303528.0,390215.0,431190.0,578676.0
Przepływy pieniężne z działalności operacyjnej,-2527.0,8578.0,-2964.0,2948.0,-4202.0,-7555.0,-21912.0,10205.0,10320.0,6186.0
Amortyzacja,1995.0,3450.0,4898.0,6533.0,7362.0,8923.0,10604.0,19961.0,29412.0,22602.0
Przepływy pieniężne z działalności inwestycyjnej,-9413.0,-42960.0,-6176.0,-30843.0,-25492.0,-38731.0,-49015.0,-55367.0,-45853.0,-171635.0
CAPEX (niematerialne i rzeczowe),9717.0,42982.0,6510.0,31109.0,25594.0,40165.0,53177.0,58813.0,46008.0,175175.0
Przepływy pieniężne z działalności finansowej,10085.0,33382.0,8279.0,28684.0,41969.0,46768.0,76331.0,49373.0,37845.0,159107.0
Emisja akcji,0.0,0.0,0.0,5018.0,32615.0,0.0,0.0,0.0,0.0,56180.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,1130.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,-1855.0,-1000.0,-861.0,789.0,12275.0,482.0,5404.0,4211.0,2312.0,-6342.0
